time,Indiana,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Smith (L. Galloway gains possession),,,,Jump ball: R. Hibbert vs. J. Smith (L. Galloway gains possession)
11:34.0,,,0-0,,T. Hardaway misses 2-pt shot from 20 ft
11:33.0,,,0-0,,Offensive rebound by Team
11:33.0,,,0-0,,Turnover by Team (shot clock)
11:15.0,D. West makes 2-pt shot from 21 ft (assist by G. Hill),2,2-0,,
10:53.0,,,2-0,,T. Hardaway misses 3-pt shot from 25 ft
10:52.0,,,2-0,,Offensive rebound by A. Bargnani
10:47.0,,,2-2,2,A. Bargnani makes 2-pt shot from 9 ft
10:31.0,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill),3,5-2,,
10:17.0,,,5-2,,C. Early misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by R. Hibbert,,5-2,,
9:53.0,D. West makes 2-pt shot from 4 ft,2,7-2,,
9:38.0,,,7-4,2,A. Bargnani makes 2-pt shot from 19 ft
9:25.0,,,7-4,,Personal foul by J. Smith (drawn by D. West)
9:14.0,G. Hill misses 2-pt shot from 8 ft,,7-4,,
9:13.0,Offensive rebound by G. Hill,,7-4,,
9:10.0,G. Hill misses 3-pt shot from 25 ft,,7-4,,
9:09.0,,,7-4,,Defensive rebound by A. Bargnani
9:03.0,,,7-4,,Shooting foul by S. Hill (drawn by C. Early)
9:03.0,,,7-4,,C. Early misses free throw 1 of 2
9:03.0,,,7-4,,Offensive rebound by Team
9:03.0,,,7-5,1,C. Early makes free throw 2 of 2
8:52.0,G. Hill misses 2-pt shot from 11 ft,,7-5,,
8:51.0,,,7-5,,Defensive rebound by C. Early
8:44.0,,,7-5,,Shooting foul by R. Hibbert (drawn by T. Hardaway)
8:44.0,,,7-5,,T. Hardaway misses free throw 1 of 2
8:44.0,,,7-5,,Offensive rebound by Team
8:44.0,,,7-6,1,T. Hardaway makes free throw 2 of 2
8:40.0,C. Miles misses 2-pt shot from 4 ft,,7-6,,
8:39.0,,,7-6,,Defensive rebound by T. Hardaway
8:33.0,,,7-6,,T. Hardaway misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by D. West,,7-6,,
8:18.0,R. Hibbert misses 2-pt shot from 3 ft (block by A. Bargnani),,7-6,,
8:17.0,Offensive rebound by G. Hill,,7-6,,
8:11.0,G. Hill makes 2-pt shot from 20 ft,2,9-6,,
7:52.0,,,9-6,,A. Bargnani misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by D. West,,9-6,,
7:40.0,Offensive foul by D. West,,9-6,,
7:40.0,Turnover by D. West (offensive foul),,9-6,,
7:40.0,,,9-6,,A. Shved enters the game for T. Hardaway
7:27.0,,,9-8,2,J. Smith makes 2-pt shot at rim (assist by A. Shved)
7:14.0,,,9-8,,Personal foul by C. Early (drawn by D. West)
7:02.0,Shooting foul by J. Smith (drawn by D. West),,9-8,,
7:02.0,D. West misses free throw 1 of 2,,9-8,,
7:02.0,Offensive rebound by Team,,9-8,,
7:02.0,,,9-8,,C. Aldrich enters the game for J. Smith
7:02.0,D. West misses free throw 2 of 2,,9-8,,
7:01.0,,,9-8,,Defensive rebound by L. Galloway
6:46.0,,,9-11,3,L. Galloway makes 3-pt shot from 25 ft (assist by C. Early)
6:26.0,Turnover by C. Miles (lost ball),,9-11,,
6:15.0,,,9-11,,A. Bargnani misses 2-pt shot from 13 ft
6:14.0,Defensive rebound by D. West,,9-11,,
6:07.0,G. Hill misses 2-pt shot from 2 ft,,9-11,,
6:06.0,Offensive rebound by R. Hibbert,,9-11,,
6:06.0,R. Hibbert misses 2-pt shot at rim,,9-11,,
6:05.0,,,9-11,,Defensive rebound by L. Galloway
5:55.0,,,9-11,,Turnover by A. Bargnani (bad pass; steal by C. Miles)
5:48.0,G. Hill makes 2-pt shot from 13 ft,2,11-11,,
5:32.0,,,11-11,,Turnover by C. Early (bad pass; steal by G. Hill)
5:25.0,,,11-11,,Personal foul by L. Galloway (drawn by G. Hill)
5:25.0,,,11-11,,New York full timeout
5:25.0,,,11-11,,S. Larkin enters the game for C. Early
5:25.0,,,11-11,,L. Thomas enters the game for L. Galloway
5:14.0,D. West misses 2-pt shot from 15 ft,,11-11,,
5:13.0,Offensive rebound by Team,,11-11,,
5:13.0,,,11-11,,Loose ball foul by C. Aldrich (drawn by R. Hibbert)
5:13.0,R. Hibbert makes free throw 1 of 2,1,12-11,,
5:13.0,R. Hibbert makes free throw 2 of 2,1,13-11,,
4:58.0,,,13-13,2,S. Larkin makes 2-pt shot from 8 ft
4:42.0,C. Miles misses 3-pt shot from 25 ft,,13-13,,
4:41.0,,,13-13,,Defensive rebound by Team
4:23.0,,,13-13,,C. Aldrich misses 2-pt shot from 7 ft
4:22.0,Defensive rebound by R. Hibbert,,13-13,,
4:06.0,S. Hill makes 2-pt shot from 1 ft,2,15-13,,
3:53.0,,,15-13,,Turnover by A. Shved (lost ball)
3:53.0,I. Mahinmi enters the game for R. Hibbert,,15-13,,
3:53.0,R. Stuckey enters the game for C. Miles,,15-13,,
3:39.0,Shooting foul by L. Thomas (drawn by S. Hill),,15-13,,
3:39.0,S. Hill makes free throw 1 of 2,1,16-13,,
3:39.0,S. Hill makes free throw 2 of 2,1,17-13,,
3:18.0,,,17-16,3,A. Shved makes 3-pt shot from 25 ft
3:02.0,Turnover by R. Stuckey (bad pass),,17-16,,
2:48.0,,,17-16,,A. Shved misses 2-pt shot from 3 ft
2:47.0,,,17-16,,Offensive rebound by C. Aldrich
2:47.0,,,17-16,,C. Aldrich misses 2-pt shot from 2 ft
2:46.0,,,17-16,,Offensive rebound by C. Aldrich
2:45.0,,,17-18,2,C. Aldrich makes 2-pt shot from 2 ft
2:42.0,Indiana full timeout,,17-18,,
2:42.0,C. Watson enters the game for G. Hill,,17-18,,
2:42.0,,,17-18,,Q. Acy enters the game for A. Bargnani
2:27.0,D. West misses 2-pt shot from 9 ft,,17-18,,
2:26.0,Offensive rebound by I. Mahinmi,,17-18,,
2:10.0,C. Watson misses 3-pt shot from 24 ft,,17-18,,
2:09.0,Offensive rebound by Team,,17-18,,
1:58.0,R. Stuckey misses 2-pt shot from 19 ft,,17-18,,
1:57.0,Offensive rebound by D. West,,17-18,,
1:52.0,C. Watson makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,20-18,,
1:30.0,,,20-18,,L. Thomas misses 2-pt shot from 20 ft
1:29.0,Defensive rebound by I. Mahinmi,,20-18,,
1:23.0,Shooting foul by A. Shved (drawn by R. Stuckey),,20-18,,
1:23.0,R. Stuckey makes free throw 1 of 2,1,21-18,,
1:23.0,,,21-18,,T. Hardaway enters the game for A. Shved
1:23.0,D. Rudez enters the game for S. Hill,,21-18,,
1:23.0,L. Scola enters the game for D. West,,21-18,,
1:23.0,R. Stuckey makes free throw 2 of 2,1,22-18,,
1:06.0,,,22-18,,S. Larkin misses 2-pt shot from 14 ft
1:05.0,Defensive rebound by R. Stuckey,,22-18,,
0:50.0,C. Watson misses 3-pt shot from 23 ft,,22-18,,
0:48.0,,,22-18,,Defensive rebound by Q. Acy
0:28.0,,,22-18,,Q. Acy misses 2-pt shot from 19 ft
0:26.0,Defensive rebound by I. Mahinmi,,22-18,,
0:05.0,R. Stuckey misses 2-pt shot from 17 ft,,22-18,,
0:04.0,,,22-18,,Defensive rebound by C. Aldrich
0:00.0,,,22-18,,T. Hardaway misses 3-pt shot from 26 ft
0:00.0,,,22-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,R. Stuckey misses 2-pt shot from 12 ft,,22-18,,
11:36.0,Offensive rebound by Team,,22-18,,
11:36.0,Turnover by Team (shot clock),,22-18,,
11:18.0,,,22-20,2,A. Bargnani makes 2-pt shot from 20 ft (assist by Q. Acy)
10:55.0,R. Stuckey makes 2-pt shot from 5 ft,2,24-20,,
10:43.0,Personal foul by R. Stuckey (drawn by T. Hardaway),,24-20,,
10:36.0,,,24-20,,S. Larkin misses 3-pt shot from 24 ft
10:35.0,,,24-20,,Offensive rebound by S. Larkin
10:18.0,,,24-22,2,T. Wear makes 2-pt shot from 19 ft
9:59.0,D. Rudez makes 3-pt shot from 24 ft (assist by R. Stuckey),3,27-22,,
9:42.0,,,27-22,,Turnover by T. Hardaway (bad pass; steal by C. Watson)
9:37.0,C. Watson makes 2-pt shot at rim,2,29-22,,
9:14.0,Personal foul by I. Mahinmi (drawn by A. Bargnani),,29-22,,
9:04.0,,,29-22,,T. Hardaway misses 2-pt shot from 3 ft
9:03.0,Defensive rebound by I. Mahinmi,,29-22,,
8:56.0,C. Watson misses 3-pt shot from 24 ft,,29-22,,
8:55.0,,,29-22,,Defensive rebound by T. Wear
