time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. D. Jordan (C. Paul gains possession),,,,Jump ball: G. Dieng vs. D. Jordan (C. Paul gains possession)
11:42.0,,,0-0,,M. Barnes misses 2-pt shot from 3 ft
11:41.0,Defensive rebound by G. Dieng,,0-0,,
11:22.0,G. Dieng misses 2-pt shot from 15 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by M. Barnes
11:13.0,,,0-3,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
10:53.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,2-3,,
10:53.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,2-3,,
10:53.0,A. Wiggins makes free throw 1 of 1,1,3-3,,
10:43.0,,,3-3,,M. Barnes misses 3-pt shot from 23 ft
10:41.0,,,3-3,,Offensive rebound by B. Griffin
10:38.0,,,3-3,,B. Griffin misses 2-pt shot at rim
10:35.0,,,3-3,,Offensive rebound by D. Jordan
10:32.0,,,3-3,,Turnover by D. Jordan (lost ball; steal by A. Wiggins)
10:25.0,T. Young makes 2-pt shot at rim,2,5-3,,
10:17.0,,,5-5,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
9:53.0,C. Brewer makes 3-pt shot from 24 ft (assist by G. Dieng),3,8-5,,
9:41.0,,,8-7,2,B. Griffin makes 2-pt shot at rim (assist by D. Jordan)
9:21.0,C. Brewer misses 2-pt shot from 17 ft,,8-7,,
9:19.0,,,8-7,,Defensive rebound by B. Griffin
9:06.0,,,8-9,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
8:50.0,T. Young makes 2-pt shot from 2 ft (assist by M. Williams),2,10-9,,
8:40.0,Personal foul by T. Young (drawn by B. Griffin),,10-9,,
8:32.0,,,10-11,2,B. Griffin makes 2-pt shot from 2 ft (assist by D. Jordan)
8:18.0,Turnover by M. Williams (bad pass),,10-11,,
8:12.0,,,10-11,,Turnover by C. Paul (bad pass; steal by G. Dieng)
7:59.0,T. Young misses 3-pt shot from 24 ft,,10-11,,
7:57.0,Offensive rebound by G. Dieng,,10-11,,
7:53.0,C. Brewer makes 2-pt shot at rim (assist by G. Dieng),2,12-11,,
7:46.0,,,12-14,3,J. Redick makes 3-pt shot from 26 ft
7:46.0,,,12-14,,Shooting foul by C. Brewer (drawn by J. Redick)
7:46.0,,,12-15,1,J. Redick makes free throw 1 of 1
7:32.0,Shooting foul by J. Redick (drawn by C. Brewer),,12-15,,
7:32.0,C. Brewer makes free throw 1 of 2,1,13-15,,
7:32.0,C. Brewer makes free throw 2 of 2,1,14-15,,
7:23.0,,,14-18,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:09.0,T. Young misses 2-pt shot from 4 ft,,14-18,,
7:07.0,,,14-18,,Defensive rebound by M. Barnes
7:01.0,,,14-18,,C. Paul misses 3-pt shot from 26 ft
7:01.0,,,14-18,,Offensive rebound by Team
7:01.0,Loose ball foul by G. Dieng (drawn by D. Jordan),,14-18,,
6:53.0,Personal foul by C. Brewer (drawn by D. Jordan),,14-18,,
6:53.0,Minnesota full timeout,,14-18,,
6:53.0,Technical foul by C. Brewer (drawn by D. Jordan),,14-18,,
6:53.0,S. Muhammad enters the game for C. Brewer,,14-18,,
6:53.0,,,14-19,1,J. Redick makes technical free throw
6:45.0,,,14-21,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
6:29.0,G. Dieng makes 2-pt shot from 2 ft (assist by M. Williams),2,16-21,,
6:29.0,Shooting foul by D. Jordan (drawn by G. Dieng),,16-21,,
6:29.0,G. Dieng makes free throw 1 of 1,1,17-21,,
6:29.0,,,17-21,,Technical foul by Team
6:29.0,M. Williams makes technical free throw,1,18-21,,
6:09.0,,,18-21,,J. Redick misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by S. Muhammad,,18-21,,
5:56.0,T. Young misses 2-pt shot from 2 ft,,18-21,,
5:54.0,,,18-21,,Defensive rebound by Team
5:46.0,Personal foul by T. Young (drawn by B. Griffin),,18-21,,
5:46.0,,,18-21,,B. Griffin misses free throw 1 of 2
5:46.0,,,18-21,,Offensive rebound by Team
5:46.0,A. Bennett enters the game for T. Young,,18-21,,
5:46.0,,,18-22,1,B. Griffin makes free throw 2 of 2
5:28.0,M. Williams misses 2-pt shot from 19 ft (block by D. Jordan),,18-22,,
5:26.0,,,18-22,,Defensive rebound by C. Paul
5:26.0,Personal foul by M. Williams (drawn by C. Paul),,18-22,,
5:26.0,,,18-23,1,C. Paul makes free throw 1 of 2
5:26.0,,,18-24,1,C. Paul makes free throw 2 of 2
5:13.0,S. Muhammad makes 2-pt shot from 11 ft (assist by G. Dieng),2,20-24,,
4:54.0,,,20-24,,Turnover by J. Redick (lost ball; steal by M. Williams)
4:49.0,A. Wiggins makes 2-pt shot at rim (assist by M. Williams),2,22-24,,
4:33.0,,,22-24,,J. Redick misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by A. Bennett,,22-24,,
