time,Oklahoma City,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. C. Zeller (A. Roberson gains possession),,,,Jump ball: S. Ibaka vs. C. Zeller (A. Roberson gains possession)
11:47.0,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook),2,2-0,,
11:32.0,,,2-2,2,C. Zeller makes 2-pt shot from 20 ft (assist by M. Williams)
11:09.0,E. Kanter makes 2-pt shot at rim (assist by K. Singler),2,4-2,,
10:53.0,,,4-4,2,A. Jefferson makes 2-pt shot at rim (assist by C. Zeller)
10:35.0,A. Roberson misses 3-pt shot from 23 ft,,4-4,,
10:33.0,,,4-4,,Defensive rebound by A. Jefferson
10:25.0,,,4-4,,Turnover by M. Williams (bad pass; steal by S. Ibaka)
10:15.0,R. Westbrook makes 2-pt shot from 7 ft,2,6-4,,
10:03.0,,,6-4,,M. Williams misses 3-pt shot from 23 ft
10:02.0,Defensive rebound by S. Ibaka,,6-4,,
9:58.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,6-4,,
9:58.0,R. Westbrook makes free throw 1 of 2,1,7-4,,
9:58.0,R. Westbrook makes free throw 2 of 2,1,8-4,,
9:47.0,,,8-4,,G. Henderson misses 2-pt shot from 15 ft
9:46.0,Defensive rebound by S. Ibaka,,8-4,,
9:37.0,S. Ibaka makes 2-pt shot from 20 ft (assist by R. Westbrook),2,10-4,,
9:23.0,,,10-4,,C. Zeller misses 2-pt shot from 19 ft
9:22.0,Defensive rebound by E. Kanter,,10-4,,
9:09.0,Turnover by R. Westbrook (bad pass; steal by M. Kidd-Gilchrist),,10-4,,
9:04.0,,,10-6,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Henderson)
8:43.0,R. Westbrook misses 2-pt shot from 20 ft,,10-6,,
8:41.0,,,10-6,,Defensive rebound by A. Jefferson
8:36.0,,,10-8,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
8:21.0,K. Singler misses 2-pt shot from 17 ft,,10-8,,
8:19.0,,,10-8,,Defensive rebound by C. Zeller
8:13.0,,,10-8,,A. Jefferson misses 2-pt shot from 10 ft
8:10.0,Defensive rebound by S. Ibaka,,10-8,,
8:06.0,R. Westbrook misses 2-pt shot at rim,,10-8,,
8:04.0,Offensive rebound by R. Westbrook,,10-8,,
8:00.0,R. Westbrook misses 3-pt shot from 24 ft,,10-8,,
7:58.0,Offensive rebound by E. Kanter,,10-8,,
7:58.0,E. Kanter makes 2-pt shot at rim,2,12-8,,
7:45.0,,,12-10,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Williams)
7:28.0,R. Westbrook makes 2-pt shot at rim,2,14-10,,
7:28.0,Shooting foul by A. Jefferson (drawn by R. Westbrook),,14-10,,
