time,Detroit,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (B. Griffin gains possession)
11:45.0,,,0-2,2,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul)
11:24.0,J. Smith misses 3-pt shot from 23 ft,,0-2,,
11:21.0,Offensive rebound by J. Smith,,0-2,,
11:12.0,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings),3,3-2,,
10:58.0,,,3-4,2,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul)
10:36.0,A. Drummond makes 2-pt shot from 9 ft,2,5-4,,
10:23.0,,,5-6,2,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul)
10:08.0,K. Singler makes 3-pt shot from 24 ft (assist by B. Jennings),3,8-6,,
9:54.0,,,8-6,,M. Barnes misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by J. Smith,,8-6,,
9:46.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,10-6,,
9:30.0,,,10-8,2,B. Griffin makes 2-pt shot from 20 ft (assist by M. Barnes)
9:06.0,,,10-8,,Personal foul by M. Barnes (drawn by B. Jennings)
8:56.0,Turnover by A. Drummond (offensive goaltending),,10-8,,
8:41.0,,,10-10,2,J. Redick makes 2-pt shot from 11 ft (assist by B. Griffin)
8:29.0,B. Jennings misses 3-pt shot from 24 ft,,10-10,,
8:29.0,Offensive rebound by Team,,10-10,,
8:29.0,,,10-10,,Loose ball foul by B. Griffin (drawn by J. Smith)
8:16.0,A. Drummond misses 2-pt shot from 1 ft,,10-10,,
8:16.0,Offensive rebound by A. Drummond,,10-10,,
8:16.0,Shooting foul by D. Jordan (drawn by A. Drummond),,10-10,,
8:16.0,A. Drummond misses free throw 1 of 2,,10-10,,
8:16.0,Offensive rebound by Team,,10-10,,
8:16.0,A. Drummond misses free throw 2 of 2,,10-10,,
8:14.0,,,10-10,,Defensive rebound by D. Jordan
8:05.0,,,10-10,,Turnover by C. Paul (bad pass; steal by J. Smith)
8:00.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings),2,12-10,,
7:51.0,,,12-10,,C. Paul misses 2-pt shot from 12 ft
7:51.0,,,12-10,,Offensive rebound by Team
7:51.0,Loose ball foul by K. Singler (drawn by D. Jordan),,12-10,,
7:43.0,,,12-10,,Turnover by D. Jordan (offensive goaltending)
7:34.0,Offensive foul by B. Jennings,,12-10,,
7:34.0,Turnover by B. Jennings (offensive foul),,12-10,,
7:34.0,Technical foul by Team,,12-10,,
7:34.0,,,12-10,,J. Redick misses technical free throw
7:24.0,,,12-10,,Offensive rebound by Team
7:24.0,,,12-10,,C. Paul misses 2-pt shot from 3 ft (block by A. Drummond)
7:22.0,Defensive rebound by B. Jennings,,12-10,,
7:18.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),2,14-10,,
7:13.0,,,14-10,,Turnover by B. Griffin (lost ball; steal by B. Jennings)
6:58.0,K. Singler misses 3-pt shot from 27 ft,,14-10,,
6:55.0,Offensive rebound by A. Drummond,,14-10,,
6:50.0,B. Jennings makes 2-pt shot from 2 ft (assist by A. Drummond),2,16-10,,
6:31.0,,,16-10,,Turnover by M. Barnes (bad pass; steal by J. Smith)
6:26.0,B. Jennings makes 3-pt shot from 25 ft (assist by J. Smith),3,19-10,,
6:17.0,,,19-10,,LA Clippers full timeout
6:08.0,,,19-12,2,D. Jordan makes 2-pt shot from 5 ft (assist by B. Griffin)
5:49.0,J. Smith misses 2-pt shot from 5 ft,,19-12,,
5:47.0,Offensive rebound by J. Smith,,19-12,,
5:43.0,J. Smith misses 2-pt shot from 3 ft,,19-12,,
5:39.0,Offensive rebound by A. Drummond,,19-12,,
5:39.0,A. Drummond misses 2-pt shot from 2 ft,,19-12,,
5:36.0,Offensive rebound by A. Drummond,,19-12,,
5:35.0,A. Drummond misses 2-pt shot from 1 ft,,19-12,,
5:34.0,,,19-12,,Defensive rebound by C. Paul
5:30.0,,,19-14,2,J. Redick makes 2-pt shot from 3 ft (assist by C. Paul)
5:30.0,Technical foul by A. Drummond,,19-14,,
5:30.0,,,19-15,1,C. Paul makes technical free throw
5:15.0,J. Smith misses 2-pt shot from 4 ft (block by B. Griffin),,19-15,,
5:12.0,,,19-15,,Defensive rebound by B. Griffin
5:09.0,,,19-15,,Shooting foul by A. Drummond (drawn by B. Griffin)
5:09.0,,,19-15,,B. Griffin misses free throw 1 of 2
5:09.0,,,19-15,,Offensive rebound by Team
5:09.0,,,19-16,1,B. Griffin makes free throw 2 of 2
4:55.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,19-16,,
4:52.0,Offensive rebound by Team,,19-16,,
4:40.0,K. Singler misses 2-pt shot from 3 ft,,19-16,,
4:36.0,Offensive rebound by A. Drummond,,19-16,,
4:36.0,A. Drummond makes 2-pt shot at rim,2,21-16,,
4:27.0,,,21-16,,Turnover by D. Jordan (lost ball; steal by K. Caldwell-Pope)
4:20.0,K. Singler misses 3-pt shot from 23 ft,,21-16,,
4:18.0,,,21-16,,Defensive rebound by B. Griffin
4:08.0,,,21-16,,Shooting foul by J. Smith (drawn by D. Jordan)
4:08.0,,,21-16,,D. Jordan misses free throw 1 of 2
4:08.0,,,21-16,,Offensive rebound by Team
4:08.0,G. Monroe enters the game for K. Caldwell-Pope,,21-16,,
4:08.0,J. Meeks enters the game for A. Drummond,,21-16,,
4:08.0,,,21-17,1,D. Jordan makes free throw 2 of 2
3:52.0,G. Monroe makes 2-pt shot at rim,2,23-17,,
3:33.0,,,23-17,,Turnover by J. Redick (bad pass; steal by J. Smith)
3:29.0,J. Smith makes 2-pt shot from 1 ft,2,25-17,,
3:18.0,,,25-20,3,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul)
2:59.0,K. Singler misses 3-pt shot from 24 ft,,25-20,,
2:57.0,,,25-20,,Defensive rebound by D. Jordan
2:48.0,,,25-20,,M. Barnes misses 3-pt shot from 22 ft
