time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (T. Ross gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (T. Ross gains possession)
11:43.0,,,0-0,,K. Lowry misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by P. Pierce,,0-0,,
11:26.0,N. Hilario misses 2-pt shot from 15 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by K. Lowry
11:12.0,,,0-0,,A. Johnson misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by P. Pierce,,0-0,,
10:58.0,G. Temple misses 3-pt shot from 24 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by A. Johnson
10:53.0,,,0-0,,D. DeRozan misses 2-pt shot from 2 ft (block by G. Temple)
10:50.0,Defensive rebound by P. Pierce,,0-0,,
10:44.0,P. Pierce misses 2-pt shot from 19 ft,,0-0,,
10:43.0,Offensive rebound by M. Gortat,,0-0,,
10:31.0,J. Wall misses 3-pt shot from 23 ft,,0-0,,
10:30.0,Offensive rebound by M. Gortat,,0-0,,
10:23.0,J. Wall misses 2-pt shot from 16 ft,,0-0,,
10:22.0,,,0-0,,Defensive rebound by T. Ross
10:12.0,,,0-3,3,T. Ross makes 3-pt shot from 24 ft
9:55.0,N. Hilario misses 2-pt shot from 17 ft,,0-3,,
9:54.0,,,0-3,,Defensive rebound by D. DeRozan
9:44.0,,,0-5,2,D. DeRozan makes 2-pt shot from 18 ft
9:22.0,M. Gortat misses 2-pt shot from 9 ft,,0-5,,
9:21.0,Offensive rebound by P. Pierce,,0-5,,
9:17.0,G. Temple misses 3-pt shot from 24 ft,,0-5,,
9:15.0,,,0-5,,Defensive rebound by A. Johnson
9:11.0,,,0-5,,Toronto full timeout
9:00.0,,,0-5,,Turnover by T. Ross (bad pass; steal by N. Hilario)
8:43.0,P. Pierce makes 2-pt shot from 17 ft,2,2-5,,
8:27.0,,,2-7,2,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry)
8:13.0,P. Pierce misses 2-pt shot from 3 ft (block by A. Johnson),,2-7,,
8:10.0,,,2-7,,Defensive rebound by T. Ross
7:59.0,,,2-10,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
