time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Jones vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Jones vs. D. Jordan (C. Paul gains possession)
11:43.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-0,,
11:24.0,,,2-0,,J. Terry misses 2-pt shot from 10 ft
11:20.0,,,2-0,,Offensive rebound by J. Terry
11:08.0,,,2-0,,D. Motiejunas misses 2-pt shot from 7 ft
11:07.0,Defensive rebound by Team,,2-0,,
10:55.0,S. Hawes misses 3-pt shot from 25 ft,,2-0,,
10:53.0,Offensive rebound by Team,,2-0,,
10:47.0,C. Paul misses 2-pt shot from 20 ft,,2-0,,
10:45.0,,,2-0,,Defensive rebound by D. Motiejunas
10:37.0,,,2-0,,D. Motiejunas misses 2-pt shot from 10 ft
10:36.0,,,2-0,,Offensive rebound by T. Jones
10:36.0,,,2-0,,T. Jones misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by D. Jordan,,2-0,,
10:26.0,S. Hawes misses 2-pt shot from 3 ft (block by T. Jones),,2-0,,
10:25.0,Offensive rebound by Team,,2-0,,
10:17.0,S. Hawes misses 3-pt shot from 24 ft,,2-0,,
10:16.0,,,2-0,,Defensive rebound by J. Terry
10:10.0,,,2-0,,J. Harden misses 2-pt shot from 5 ft
10:08.0,Defensive rebound by D. Jordan,,2-0,,
10:03.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,5-0,,
9:47.0,,,5-3,3,J. Terry makes 3-pt shot from 24 ft (assist by T. Ariza)
9:38.0,Turnover by S. Hawes (bad pass),,5-3,,
9:24.0,,,5-3,,J. Harden misses 3-pt shot from 23 ft
9:23.0,Defensive rebound by D. Jordan,,5-3,,
9:18.0,M. Barnes misses 2-pt shot from 3 ft,,5-3,,
9:16.0,,,5-3,,Defensive rebound by J. Harden
9:10.0,,,5-5,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden)
8:54.0,J. Redick misses 3-pt shot from 24 ft,,5-5,,
8:52.0,,,5-5,,Defensive rebound by T. Ariza
8:32.0,,,5-5,,T. Ariza misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by D. Jordan,,5-5,,
8:13.0,J. Redick makes 2-pt shot from 19 ft (assist by S. Hawes),2,7-5,,
7:50.0,,,7-5,,Shooting foul by J. Redick (drawn by D. Motiejunas)
7:50.0,,,7-5,,D. Motiejunas misses free throw 1 of 2
7:50.0,,,7-5,,Offensive rebound by Team
7:50.0,,,7-6,1,D. Motiejunas makes free throw 2 of 2
7:37.0,S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul),3,10-6,,
7:25.0,,,10-9,3,T. Ariza makes 3-pt shot from 24 ft (assist by D. Motiejunas)
7:15.0,Turnover by J. Redick (bad pass),,10-9,,
6:58.0,,,10-9,,J. Harden misses 2-pt shot from 15 ft
6:57.0,,,10-9,,Offensive rebound by D. Motiejunas
6:57.0,,,10-11,2,D. Motiejunas makes 2-pt shot from 1 ft
