time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,A. Baynes misses 2-pt shot from 2 ft (block by A. Bogut),,0-0,,
12:00.0,Jump ball: A. Bogut vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Bogut vs. T. Duncan (T. Parker gains possession)
11:41.0,,,0-0,,Defensive rebound by K. Thompson
11:33.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson)
11:11.0,A. Baynes misses 2-pt shot from 1 ft (block by A. Bogut),,0-3,,
11:10.0,,,0-3,,Defensive rebound by K. Thompson
10:58.0,,,0-6,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
10:44.0,T. Parker misses 2-pt shot from 6 ft,,0-6,,
10:43.0,,,0-6,,Defensive rebound by A. Bogut
10:39.0,,,0-8,2,H. Barnes makes 2-pt shot from 2 ft (assist by S. Curry)
10:22.0,A. Baynes misses 2-pt shot from 16 ft,,0-8,,
10:21.0,Offensive rebound by K. Leonard,,0-8,,
10:12.0,K. Leonard makes 2-pt shot from 13 ft,2,2-8,,
9:53.0,,,2-8,,D. Green misses 2-pt shot from 3 ft
9:52.0,Defensive rebound by T. Duncan,,2-8,,
9:46.0,Turnover by T. Parker (lost ball; steal by S. Curry),,2-8,,
9:43.0,Personal foul by A. Baynes (drawn by S. Curry),,2-8,,
9:35.0,,,2-8,,K. Thompson misses 2-pt shot from 19 ft
9:34.0,,,2-8,,Offensive rebound by H. Barnes
9:26.0,,,2-8,,Turnover by S. Curry (bad pass; steal by T. Duncan)
9:21.0,Turnover by T. Parker (lost ball; steal by S. Curry),,2-8,,
9:13.0,,,2-8,,S. Curry misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by Team,,2-8,,
9:12.0,,,2-8,,Loose ball foul by D. Green (drawn by D. Green)
8:56.0,A. Baynes makes 2-pt shot from 16 ft (assist by T. Parker),2,4-8,,
8:36.0,,,4-10,2,S. Curry makes 2-pt shot from 10 ft
8:16.0,T. Duncan misses 2-pt shot from 8 ft,,4-10,,
8:15.0,,,4-10,,Defensive rebound by H. Barnes
8:06.0,,,4-10,,D. Green misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by K. Leonard,,4-10,,
7:51.0,A. Baynes makes 2-pt shot from 6 ft (assist by T. Duncan),2,6-10,,
7:38.0,,,6-10,,Turnover by K. Thompson (lost ball; steal by T. Parker)
7:29.0,K. Leonard makes 2-pt shot from 13 ft (assist by T. Parker),2,8-10,,
7:28.0,,,8-10,,Golden State full timeout
7:18.0,,,8-10,,A. Bogut misses 2-pt shot from 10 ft
7:17.0,Defensive rebound by K. Leonard,,8-10,,
7:04.0,A. Baynes misses 2-pt shot from 8 ft,,8-10,,
7:02.0,Offensive rebound by T. Duncan,,8-10,,
7:02.0,T. Duncan misses 2-pt shot from 1 ft,,8-10,,
7:01.0,,,8-10,,Defensive rebound by A. Bogut
6:59.0,,,8-12,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
6:39.0,Shooting foul by H. Barnes (drawn by T. Duncan),,8-12,,
6:39.0,T. Duncan misses free throw 1 of 2,,8-12,,
6:39.0,Offensive rebound by Team,,8-12,,
6:39.0,M. Ginobili enters the game for D. Green,,8-12,,
6:39.0,T. Duncan makes free throw 2 of 2,1,9-12,,
6:28.0,,,9-12,,S. Curry misses 2-pt shot from 19 ft
6:26.0,Defensive rebound by A. Baynes,,9-12,,
6:10.0,K. Leonard makes 2-pt shot from 9 ft (assist by M. Ginobili),2,11-12,,
6:03.0,,,11-14,2,H. Barnes makes 2-pt shot from 18 ft (assist by S. Curry)
5:50.0,,,11-14,,D. Lee enters the game for D. Green
5:42.0,T. Duncan makes 2-pt shot from 16 ft (assist by M. Ginobili),2,13-14,,
5:33.0,,,13-14,,S. Curry misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by T. Duncan,,13-14,,
5:25.0,,,13-14,,Personal foul by A. Bogut (drawn by A. Baynes)
5:25.0,B. Diaw enters the game for A. Baynes,,13-14,,
5:25.0,P. Mills enters the game for T. Parker,,13-14,,
5:18.0,M. Ginobili makes 2-pt shot from 15 ft,2,15-14,,
5:01.0,,,15-14,,Turnover by K. Thompson (lost ball)
5:01.0,T. Splitter enters the game for T. Duncan,,15-14,,
5:01.0,,,15-14,,A. Iguodala enters the game for H. Barnes
4:48.0,Shooting foul by D. Lee (drawn by K. Leonard),,15-14,,
4:48.0,K. Leonard misses free throw 1 of 2,,15-14,,
4:48.0,Offensive rebound by Team,,15-14,,
4:48.0,K. Leonard makes free throw 2 of 2,1,16-14,,
4:39.0,Personal foul by M. Ginobili (drawn by A. Iguodala),,16-14,,
4:28.0,,,16-14,,K. Thompson misses 3-pt shot from 23 ft
4:27.0,Defensive rebound by M. Ginobili,,16-14,,
4:20.0,M. Ginobili misses 3-pt shot from 26 ft,,16-14,,
4:19.0,,,16-14,,Defensive rebound by A. Bogut
4:08.0,,,16-14,,Shooting foul by B. Diaw (drawn by D. Lee)
4:08.0,,,16-14,,D. Lee misses free throw 1 of 2
4:08.0,,,16-14,,Offensive rebound by Team
4:08.0,,,16-14,,L. Barbosa enters the game for K. Thompson
4:08.0,,,16-15,1,D. Lee makes free throw 2 of 2
3:57.0,Offensive foul by K. Leonard,,16-15,,
