time,Phoenix,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. M. Plumlee (E. Bledsoe gains possession),,,,Jump ball: K. Olynyk vs. M. Plumlee (E. Bledsoe gains possession)
11:39.0,M. Morris makes 2-pt shot from 12 ft (assist by G. Dragic),2,2-0,,
11:19.0,,,2-0,,J. Sullinger misses 2-pt shot from 5 ft
11:18.0,Defensive rebound by E. Bledsoe,,2-0,,
11:13.0,M. Plumlee misses 2-pt shot from 1 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by K. Olynyk
11:04.0,,,2-0,,J. Sullinger misses 2-pt shot at rim
11:03.0,,,2-0,,Offensive rebound by J. Sullinger
11:03.0,,,2-2,2,J. Sullinger makes 2-pt shot at rim
10:44.0,M. Morris misses 2-pt shot from 11 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by K. Olynyk
10:33.0,,,2-2,,K. Olynyk misses 2-pt shot from 2 ft (block by M. Plumlee)
10:32.0,,,2-2,,Offensive rebound by J. Sullinger
10:30.0,,,2-5,3,A. Bradley makes 3-pt shot from 23 ft (assist by J. Sullinger)
10:13.0,E. Bledsoe misses 2-pt shot from 14 ft,,2-5,,
10:12.0,,,2-5,,Defensive rebound by R. Rondo
10:05.0,,,2-5,,Shooting foul by M. Plumlee (drawn by J. Sullinger)
10:05.0,,,2-6,1,J. Sullinger makes free throw 1 of 2
10:05.0,,,2-7,1,J. Sullinger makes free throw 2 of 2
9:47.0,,,2-7,,Personal foul by J. Sullinger (drawn by E. Bledsoe)
9:36.0,M. Morris makes 3-pt shot from 25 ft (assist by M. Morris),3,5-7,,
9:22.0,,,5-9,2,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger)
9:12.0,G. Dragic makes 2-pt shot from 1 ft (assist by M. Morris),2,7-9,,
9:12.0,Shooting foul by K. Olynyk (drawn by G. Dragic),,7-9,,
9:12.0,G. Dragic makes free throw 1 of 1,1,8-9,,
