time,Boston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. T. Zeller (J. Sullinger gains possession),,,,Jump ball: N. Vucevic vs. T. Zeller (J. Sullinger gains possession)
11:44.0,J. Green misses 2-pt shot from 20 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by N. Vucevic
11:22.0,,,0-3,3,T. Harris makes 3-pt shot from 26 ft (assist by N. Vucevic)
11:06.0,A. Bradley misses 3-pt shot from 25 ft,,0-3,,
11:05.0,,,0-3,,Defensive rebound by K. O'Quinn
10:55.0,,,0-3,,K. O'Quinn misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by T. Zeller,,0-3,,
10:42.0,Shooting foul by K. O'Quinn (drawn by T. Zeller),,0-3,,
10:42.0,T. Zeller makes free throw 1 of 2,1,1-3,,
10:42.0,T. Zeller makes free throw 2 of 2,1,2-3,,
10:28.0,,,2-5,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
10:17.0,A. Bradley misses 2-pt shot from 17 ft,,2-5,,
10:15.0,Offensive rebound by T. Zeller,,2-5,,
10:13.0,T. Zeller misses 2-pt shot from 1 ft,,2-5,,
10:11.0,,,2-5,,Defensive rebound by N. Vucevic
9:51.0,,,2-5,,V. Oladipo misses 2-pt shot from 20 ft
9:49.0,Defensive rebound by J. Nelson,,2-5,,
9:43.0,J. Nelson misses 3-pt shot from 27 ft,,2-5,,
9:42.0,,,2-5,,Defensive rebound by T. Harris
9:23.0,,,2-7,2,N. Vucevic makes 2-pt shot from 7 ft (assist by E. Payton)
9:02.0,J. Sullinger misses 2-pt shot from 10 ft,,2-7,,
9:01.0,,,2-7,,Defensive rebound by N. Vucevic
8:40.0,,,2-7,,E. Payton misses 2-pt shot from 19 ft
8:39.0,Defensive rebound by J. Sullinger,,2-7,,
8:28.0,J. Green misses 3-pt shot from 25 ft,,2-7,,
8:27.0,,,2-7,,Defensive rebound by K. O'Quinn
8:07.0,,,2-7,,T. Harris misses 2-pt shot from 3 ft
8:05.0,,,2-7,,Offensive rebound by K. O'Quinn
8:02.0,,,2-9,2,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic)
7:43.0,J. Sullinger misses 2-pt shot from 22 ft,,2-9,,
7:41.0,Offensive rebound by J. Nelson,,2-9,,
7:27.0,J. Sullinger misses 2-pt shot from 5 ft,,2-9,,
