time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (B. Jennings gains possession)
11:44.0,,,0-2,2,A. Drummond makes 2-pt shot from 5 ft (assist by B. Jennings)
11:28.0,K. Garnett makes 2-pt shot from 18 ft (assist by B. Bogdanovic),2,2-2,,
11:06.0,,,2-2,,B. Jennings misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by M. Plumlee,,2-2,,
10:54.0,J. Jack misses 2-pt shot from 1 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by G. Monroe
10:48.0,,,2-4,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
10:30.0,J. Johnson misses 2-pt shot from 5 ft,,2-4,,
10:29.0,,,2-4,,Defensive rebound by A. Drummond
10:06.0,,,2-4,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by K. Garnett,,2-4,,
9:56.0,Turnover by J. Jack (lost ball; steal by B. Jennings),,2-4,,
9:50.0,,,2-6,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
9:31.0,B. Bogdanovic misses 3-pt shot from 27 ft,,2-6,,
9:30.0,Offensive rebound by K. Garnett,,2-6,,
9:26.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by K. Singler),,2-6,,
9:24.0,,,2-6,,Defensive rebound by K. Caldwell-Pope
9:19.0,,,2-6,,B. Jennings misses 2-pt shot from 11 ft
9:18.0,,,2-6,,Offensive rebound by G. Monroe
9:17.0,,,2-8,2,G. Monroe makes 2-pt shot at rim
8:59.0,Turnover by K. Garnett (lost ball; steal by K. Caldwell-Pope),,2-8,,
8:47.0,,,2-8,,Turnover by G. Monroe (lost ball; steal by J. Jack)
8:42.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack),2,4-8,,
8:17.0,,,4-8,,G. Monroe misses 2-pt shot from 9 ft
8:15.0,,,4-8,,Offensive rebound by A. Drummond
8:12.0,,,4-8,,A. Drummond misses 2-pt shot from 7 ft
8:11.0,Defensive rebound by J. Jack,,4-8,,
8:01.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack),3,7-8,,
7:52.0,Personal foul by B. Bogdanovic (drawn by K. Caldwell-Pope),,7-8,,
7:40.0,,,7-11,3,K. Singler makes 3-pt shot from 25 ft (assist by B. Jennings)
7:24.0,J. Johnson makes 2-pt shot from 6 ft,2,9-11,,
7:04.0,,,9-14,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by K. Singler)
6:43.0,J. Jack misses 3-pt shot from 26 ft,,9-14,,
6:42.0,Offensive rebound by K. Garnett,,9-14,,
