time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. N. Vucevic,,,,Jump ball: J. Henson vs. N. Vucevic
11:45.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by N. Vucevic
11:27.0,,,0-0,,N. Vucevic misses 2-pt shot from 6 ft
11:25.0,,,0-0,,Offensive rebound by N. Vucevic
11:25.0,,,0-0,,N. Vucevic misses 2-pt shot from 2 ft
11:24.0,,,0-0,,Offensive rebound by N. Vucevic
11:24.0,,,0-0,,N. Vucevic misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by J. Dudley,,0-0,,
11:02.0,J. Dudley makes 2-pt shot from 18 ft (assist by B. Knight),2,2-0,,
10:49.0,,,2-0,,Shooting foul by J. Henson (drawn by A. Gordon)
10:49.0,,,2-0,,A. Gordon misses free throw 1 of 2
10:49.0,,,2-0,,Offensive rebound by Team
10:49.0,,,2-1,1,A. Gordon makes free throw 2 of 2
10:36.0,K. Middleton misses 2-pt shot from 19 ft,,2-1,,
10:36.0,,,2-1,,Defensive rebound by A. Gordon
10:28.0,,,2-1,,Turnover by A. Gordon (bad pass; steal by K. Middleton)
10:24.0,Turnover by K. Middleton (lost ball),,2-1,,
10:06.0,,,2-1,,V. Oladipo misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by J. Henson,,2-1,,
9:57.0,J. Dudley misses 3-pt shot from 25 ft,,2-1,,
9:56.0,Offensive rebound by J. Henson,,2-1,,
9:53.0,J. Henson makes 2-pt shot from 2 ft,2,4-1,,
9:42.0,,,4-1,,V. Oladipo misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by J. Dudley,,4-1,,
9:38.0,B. Knight makes 2-pt shot at rim (assist by J. Dudley),2,6-1,,
9:32.0,Personal foul by K. Middleton (drawn by C. Frye),,6-1,,
9:19.0,,,6-3,2,E. Payton makes 2-pt shot from 11 ft
9:04.0,J. Henson makes 2-pt shot from 1 ft,2,8-3,,
8:55.0,,,8-3,,E. Payton misses 2-pt shot from 6 ft
8:54.0,Defensive rebound by J. Henson,,8-3,,
8:44.0,B. Knight misses 3-pt shot from 22 ft,,8-3,,
8:43.0,,,8-3,,Defensive rebound by V. Oladipo
8:30.0,,,8-5,2,A. Gordon makes 2-pt shot from 2 ft
8:14.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,10-5,,
8:04.0,,,10-7,2,V. Oladipo makes 2-pt shot from 1 ft
7:42.0,B. Knight misses 3-pt shot from 23 ft,,10-7,,
7:40.0,Offensive rebound by J. Henson,,10-7,,
