time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. B. Lopez (T. Young gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (T. Young gains possession)
11:41.0,,,0-0,,B. Lopez misses 2-pt shot from 10 ft
11:40.0,Defensive rebound by R. Sessions,,0-0,,
11:17.0,N. Hilario misses 2-pt shot from 17 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by J. Johnson
11:07.0,,,0-0,,D. Williams misses 2-pt shot from 1 ft
11:06.0,,,0-0,,Offensive rebound by T. Young
10:59.0,,,0-0,,T. Young misses 2-pt shot from 14 ft
10:58.0,Defensive rebound by M. Gortat,,0-0,,
10:49.0,P. Pierce makes 3-pt shot from 25 ft (assist by R. Sessions),3,3-0,,
10:38.0,,,3-0,,Turnover by D. Williams (lost ball)
10:14.0,Turnover by Team (shot clock),,3-0,,
9:57.0,,,3-0,,M. Brown misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by M. Gortat,,3-0,,
9:48.0,N. Hilario makes 2-pt shot at rim (assist by R. Sessions),2,5-0,,
9:36.0,,,5-2,2,B. Lopez makes 2-pt shot from 11 ft (assist by D. Williams)
9:11.0,B. Beal misses 2-pt shot from 22 ft,,5-2,,
9:10.0,,,5-2,,Defensive rebound by J. Johnson
8:49.0,,,5-4,2,B. Lopez makes 2-pt shot from 12 ft (assist by J. Johnson)
8:41.0,Turnover by R. Sessions (bad pass),,5-4,,
8:29.0,,,5-7,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Williams)
8:05.0,P. Pierce misses 2-pt shot from 23 ft,,5-7,,
8:04.0,,,5-7,,Defensive rebound by B. Lopez
7:56.0,,,5-9,2,M. Brown makes 2-pt shot at rim (assist by J. Johnson)
7:43.0,R. Sessions misses 2-pt shot from 5 ft,,5-9,,
7:42.0,Offensive rebound by R. Sessions,,5-9,,
7:19.0,B. Beal misses 2-pt shot from 10 ft,,5-9,,
7:18.0,Offensive rebound by Team,,5-9,,
7:18.0,Turnover by Team (shot clock),,5-9,,
7:06.0,,,5-11,2,B. Lopez makes 2-pt shot from 7 ft
7:06.0,,,5-11,,Shooting foul by M. Gortat (drawn by B. Lopez)
7:06.0,,,5-11,,B. Lopez misses free throw 1 of 1
7:05.0,Defensive rebound by M. Gortat,,5-11,,
6:49.0,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce),2,7-11,,
6:49.0,Shooting foul by T. Young (drawn by M. Gortat),,7-11,,
6:49.0,M. Gortat makes free throw 1 of 1,1,8-11,,
6:31.0,,,8-11,,B. Lopez misses 2-pt shot from 10 ft
