time,Toronto,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Speights vs. J. Valanciunas (S. Curry gains possession),,,,Jump ball: M. Speights vs. J. Valanciunas (S. Curry gains possession)
11:43.0,,,0-3,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
11:29.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,2-3,,
11:22.0,,,2-6,3,S. Curry makes 3-pt shot from 27 ft
10:59.0,A. Johnson makes 2-pt shot from 8 ft (assist by L. Fields),2,4-6,,
10:48.0,,,4-6,,M. Speights misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by L. Fields,,4-6,,
10:36.0,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,6-6,,
10:18.0,,,6-8,2,K. Thompson makes 2-pt shot from 1 ft
10:01.0,T. Ross misses 3-pt shot from 24 ft,,6-8,,
10:00.0,,,6-8,,Defensive rebound by H. Barnes
9:50.0,,,6-10,2,M. Speights makes 2-pt shot from 19 ft (assist by D. Green)
9:32.0,K. Lowry misses 2-pt shot from 17 ft,,6-10,,
9:31.0,,,6-10,,Defensive rebound by M. Speights
9:27.0,,,6-10,,Shooting foul by K. Lowry (drawn by S. Curry)
9:27.0,,,6-11,1,S. Curry makes free throw 1 of 2
9:27.0,,,6-12,1,S. Curry makes free throw 2 of 2
9:06.0,K. Lowry makes 2-pt shot from 14 ft (assist by T. Ross),2,8-12,,
8:47.0,,,8-12,,H. Barnes misses 2-pt shot from 16 ft
8:46.0,Defensive rebound by A. Johnson,,8-12,,
8:39.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,10-12,,
8:27.0,,,10-14,2,M. Speights makes 2-pt shot from 12 ft (assist by S. Curry)
8:03.0,T. Ross misses 2-pt shot from 21 ft,,10-14,,
8:02.0,,,10-14,,Defensive rebound by S. Curry
7:56.0,,,10-14,,S. Curry misses 2-pt shot from 2 ft
7:56.0,Defensive rebound by K. Lowry,,10-14,,
7:48.0,Shooting foul by S. Curry (drawn by J. Valanciunas),,10-14,,
7:48.0,J. Valanciunas makes free throw 1 of 2,1,11-14,,
7:48.0,J. Valanciunas makes free throw 2 of 2,1,12-14,,
7:38.0,,,12-14,,K. Thompson misses 2-pt shot from 13 ft
7:38.0,Defensive rebound by A. Johnson,,12-14,,
7:31.0,Shooting foul by K. Thompson (drawn by K. Lowry),,12-14,,
7:31.0,K. Lowry misses free throw 1 of 2,,12-14,,
7:31.0,Offensive rebound by Team,,12-14,,
7:31.0,K. Lowry makes free throw 2 of 2,1,13-14,,
7:15.0,,,13-16,2,M. Speights makes 2-pt shot from 18 ft (assist by D. Green)
6:58.0,Turnover by J. Valanciunas (bad pass; steal by K. Thompson),,13-16,,
6:53.0,,,13-18,2,S. Curry makes 2-pt shot at rim (assist by K. Thompson)
6:46.0,Toronto full timeout,,13-18,,
6:36.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by K. Lowry),2,15-18,,
6:15.0,,,15-20,2,M. Speights makes 2-pt shot from 17 ft (assist by D. Green)
5:50.0,T. Ross makes 2-pt shot from 12 ft,2,17-20,,
5:38.0,,,17-22,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
5:11.0,J. Valanciunas misses 2-pt shot from 15 ft,,17-22,,
5:09.0,Offensive rebound by L. Fields,,17-22,,
5:09.0,L. Fields misses 2-pt shot from 1 ft,,17-22,,
5:07.0,,,17-22,,Defensive rebound by M. Speights
5:01.0,,,17-24,2,K. Thompson makes 2-pt shot from 17 ft
4:45.0,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry),3,20-24,,
4:34.0,,,20-24,,Turnover by K. Thompson (bad pass; steal by T. Ross)
4:14.0,T. Ross misses 3-pt shot from 25 ft,,20-24,,
4:13.0,,,20-24,,Defensive rebound by S. Curry
4:04.0,,,20-27,3,D. Green makes 3-pt shot from 25 ft (assist by H. Barnes)
3:46.0,Offensive foul by J. Valanciunas,,20-27,,
3:46.0,Turnover by J. Valanciunas (offensive foul),,20-27,,
3:46.0,,,20-27,,A. Iguodala enters the game for H. Barnes
