time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. K. Faried (T. Parker gains possession),,,,Jump ball: T. Duncan vs. K. Faried (T. Parker gains possession)
11:41.0,,,0-2,2,K. Leonard makes 2-pt shot from 12 ft (assist by T. Parker)
11:26.0,R. Foye makes 3-pt shot from 24 ft,3,3-2,,
11:08.0,,,3-4,2,T. Splitter makes 2-pt shot at rim
11:08.0,,,3-4,,Shooting foul by K. Faried (drawn by T. Splitter)
11:08.0,,,3-5,1,T. Splitter makes free throw 1 of 1
10:55.0,Shooting foul by T. Duncan (drawn by W. Chandler),,3-5,,
10:55.0,W. Chandler misses free throw 1 of 2,,3-5,,
10:55.0,Offensive rebound by Team,,3-5,,
10:55.0,W. Chandler makes free throw 2 of 2,1,4-5,,
10:47.0,,,4-7,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
10:29.0,T. Lawson makes 2-pt shot from 20 ft,2,6-7,,
10:11.0,,,6-7,,T. Parker misses 2-pt shot from 6 ft (block by T. Lawson)
10:08.0,Defensive rebound by W. Chandler,,6-7,,
10:06.0,Turnover by W. Chandler (bad pass),,6-7,,
9:54.0,,,6-9,2,K. Leonard makes 2-pt shot from 14 ft (assist by D. Green)
9:50.0,Turnover by T. Lawson (bad pass),,6-9,,
9:35.0,,,6-11,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Parker)
9:19.0,T. Lawson misses 2-pt shot from 12 ft,,6-11,,
9:18.0,,,6-11,,Defensive rebound by K. Leonard
9:07.0,Personal foul by W. Chandler (drawn by T. Splitter),,6-11,,
9:03.0,Violation by R. Foye (kicked ball),,6-11,,
8:50.0,,,6-14,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
8:31.0,R. Foye makes 3-pt shot from 25 ft (assist by T. Lawson),3,9-14,,
8:14.0,,,9-16,2,K. Leonard makes 2-pt shot from 18 ft (assist by T. Parker)
8:03.0,K. Faried misses 2-pt shot from 2 ft,,9-16,,
8:03.0,,,9-16,,Defensive rebound by T. Duncan
7:58.0,,,9-19,3,D. Green makes 3-pt shot from 24 ft
7:50.0,Denver full timeout,,9-19,,
7:42.0,K. Faried misses 2-pt shot from 3 ft,,9-19,,
7:41.0,,,9-19,,Defensive rebound by T. Duncan
7:26.0,,,9-21,2,K. Leonard makes 2-pt shot from 19 ft
7:05.0,D. Gallinari makes 2-pt shot from 9 ft,2,11-21,,
7:05.0,Shooting foul by K. Leonard (drawn by D. Gallinari),,11-21,,
7:05.0,D. Gallinari makes free throw 1 of 1,1,12-21,,
6:44.0,,,12-21,,D. Green misses 2-pt shot from 1 ft
6:43.0,,,12-21,,Offensive rebound by T. Splitter
6:43.0,,,12-21,,T. Splitter misses 2-pt shot at rim
6:42.0,,,12-21,,Offensive rebound by T. Splitter
6:42.0,,,12-23,2,T. Splitter makes 2-pt shot at rim
6:21.0,W. Chandler misses 2-pt shot from 1 ft,,12-23,,
6:20.0,,,12-23,,Defensive rebound by T. Duncan
6:11.0,,,12-23,,Turnover by T. Duncan (bad pass; steal by D. Gallinari)
6:06.0,K. Faried makes 2-pt shot from 3 ft (assist by T. Lawson),2,14-23,,
5:51.0,,,14-26,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
5:34.0,R. Foye misses 2-pt shot from 9 ft,,14-26,,
5:33.0,,,14-26,,Defensive rebound by Team
5:33.0,,,14-26,,M. Ginobili enters the game for D. Green
5:33.0,,,14-26,,B. Diaw enters the game for T. Splitter
5:33.0,J. Nelson enters the game for W. Chandler,,14-26,,
5:20.0,Personal foul by D. Gallinari (drawn by B. Diaw),,14-26,,
5:20.0,J. Hickson enters the game for K. Faried,,14-26,,
5:09.0,,,14-28,2,K. Leonard makes 2-pt shot from 15 ft
4:59.0,T. Lawson makes 2-pt shot from 14 ft,2,16-28,,
4:39.0,,,16-30,2,B. Diaw makes 2-pt shot from 6 ft
4:31.0,T. Lawson misses 2-pt shot from 20 ft,,16-30,,
4:30.0,,,16-30,,Defensive rebound by M. Ginobili
4:19.0,Personal foul by R. Foye (drawn by K. Leonard),,16-30,,
4:19.0,J. Nurkic enters the game for R. Foye,,16-30,,
4:19.0,,,16-30,,A. Baynes enters the game for T. Duncan
4:06.0,,,16-32,2,M. Ginobili makes 2-pt shot from 14 ft (assist by K. Leonard)
3:54.0,J. Nelson misses 3-pt shot from 24 ft,,16-32,,
3:53.0,,,16-32,,Defensive rebound by Team
3:41.0,,,16-32,,Turnover by B. Diaw (bad pass; steal by J. Nurkic)
3:35.0,Turnover by T. Lawson (bad pass),,16-32,,
3:20.0,,,16-32,,Shooting foul by J. Nurkic (drawn by B. Diaw)
3:20.0,,,16-33,1,B. Diaw makes free throw 1 of 2
3:20.0,,,16-34,1,B. Diaw makes free throw 2 of 2
3:09.0,D. Gallinari makes 2-pt shot from 1 ft,2,18-34,,
3:08.0,,,18-34,,San Antonio full timeout
3:08.0,W. Barton enters the game for T. Lawson,,18-34,,
3:08.0,,,18-34,,C. Joseph enters the game for T. Parker
2:55.0,,,18-34,,K. Leonard misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by D. Gallinari,,18-34,,
2:48.0,D. Gallinari makes 2-pt shot from 15 ft,2,20-34,,
2:36.0,,,20-34,,K. Leonard misses 3-pt shot from 22 ft
2:34.0,,,20-34,,Offensive rebound by M. Ginobili
2:32.0,,,20-36,2,M. Ginobili makes 2-pt shot from 7 ft
2:32.0,,,20-36,,Shooting foul by W. Barton (drawn by M. Ginobili)
2:32.0,,,20-36,,M. Ginobili misses free throw 1 of 1
2:31.0,Defensive rebound by J. Nurkic,,20-36,,
2:15.0,Shooting foul by A. Baynes (drawn by J. Nurkic),,20-36,,
2:15.0,J. Nurkic misses free throw 1 of 2,,20-36,,
2:15.0,Offensive rebound by Team,,20-36,,
2:15.0,,,20-36,,M. Belinelli enters the game for K. Leonard
2:15.0,J. Nurkic misses free throw 2 of 2,,20-36,,
2:15.0,,,20-36,,Defensive rebound by A. Baynes
1:57.0,,,20-39,3,B. Diaw makes 3-pt shot from 25 ft (assist by C. Joseph)
1:35.0,D. Gallinari makes 2-pt shot from 15 ft,2,22-39,,
1:21.0,,,22-41,2,B. Diaw makes 2-pt shot from 9 ft
1:01.0,J. Hickson misses 2-pt shot from 4 ft (block by B. Diaw),,22-41,,
1:00.0,,,22-41,,Defensive rebound by M. Ginobili
0:52.0,,,22-43,2,M. Belinelli makes 2-pt shot from 19 ft (assist by C. Joseph)
0:42.0,J. Nelson misses 2-pt shot from 3 ft (block by A. Baynes),,22-43,,
0:41.0,Offensive rebound by Team,,22-43,,
0:29.0,J. Hickson misses 2-pt shot from 15 ft,,22-43,,
0:28.0,,,22-43,,Defensive rebound by M. Belinelli
0:10.0,,,22-45,2,B. Diaw makes 2-pt shot from 5 ft
0:01.0,J. Nelson makes 3-pt shot from 35 ft (assist by D. Gallinari),3,25-45,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Nelson makes 2-pt shot from 22 ft (assist by J. Hickson),2,27-45,,
11:28.0,,,27-45,,M. Ginobili misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by J. Hickson,,27-45,,
11:11.0,W. Barton misses 3-pt shot from 23 ft,,27-45,,
11:10.0,,,27-45,,Defensive rebound by M. Belinelli
11:01.0,,,27-45,,B. Diaw misses 2-pt shot from 18 ft
11:00.0,,,27-45,,Offensive rebound by A. Baynes
11:00.0,,,27-45,,A. Baynes misses 2-pt shot from 2 ft (block by J. Nelson)
11:00.0,Defensive rebound by Team,,27-45,,
10:51.0,Turnover by J. Nelson (lost ball; steal by C. Joseph),,27-45,,
10:46.0,,,27-45,,Turnover by C. Joseph (bad pass; steal by W. Barton)
10:40.0,J. Nelson misses 3-pt shot from 23 ft,,27-45,,
10:38.0,Offensive rebound by J. Nelson,,27-45,,
10:14.0,W. Barton misses 3-pt shot from 25 ft,,27-45,,
10:13.0,,,27-45,,Defensive rebound by B. Diaw
9:55.0,,,27-45,,Turnover by B. Diaw (step out of bounds)
9:39.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,29-45,,
9:11.0,,,29-45,,M. Belinelli misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by J. Hickson,,29-45,,
9:09.0,Turnover by J. Hickson (lost ball; steal by M. Ginobili),,29-45,,
9:05.0,,,29-45,,M. Ginobili misses 3-pt shot from 25 ft
9:04.0,,,29-45,,Offensive rebound by M. Belinelli
8:58.0,,,29-47,2,B. Diaw makes 2-pt shot from 5 ft (assist by C. Joseph)
8:58.0,Away from play foul by J. Nurkic (drawn by A. Baynes),,29-47,,
8:58.0,Official timeout,,29-47,,
8:58.0,,,29-48,1,A. Baynes makes free throw 1 of 1
8:37.0,W. Chandler makes 2-pt shot from 5 ft,2,31-48,,
8:22.0,,,31-50,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
8:09.0,Offensive charge foul by J. Nurkic,,31-50,,
8:09.0,Turnover by J. Nurkic (offensive foul),,31-50,,
8:09.0,,,31-50,,M. Bonner enters the game for B. Diaw
8:09.0,K. Faried enters the game for J. Nurkic,,31-50,,
8:09.0,D. Gallinari enters the game for J. Hickson,,31-50,,
8:09.0,R. Foye enters the game for W. Barton,,31-50,,
8:09.0,T. Lawson enters the game for J. Nelson,,31-50,,
7:59.0,Violation by K. Faried (kicked ball),,31-50,,
7:55.0,Violation by T. Lawson (kicked ball),,31-50,,
7:46.0,,,31-50,,Offensive charge foul by C. Joseph
7:46.0,,,31-50,,Turnover by C. Joseph (offensive foul)
7:27.0,Turnover by D. Gallinari (lost ball; steal by M. Ginobili),,31-50,,
7:11.0,,,31-50,,M. Belinelli misses 3-pt shot from 26 ft
7:10.0,,,31-50,,Offensive rebound by M. Ginobili
7:06.0,,,31-52,2,C. Joseph makes 2-pt shot from 7 ft (assist by M. Ginobili)
6:53.0,K. Faried misses 2-pt shot from 6 ft,,31-52,,
6:52.0,,,31-52,,Defensive rebound by M. Bonner
6:37.0,,,31-52,,Turnover by M. Belinelli (bad pass; steal by R. Foye)
6:30.0,T. Lawson misses 3-pt shot from 25 ft,,31-52,,
6:29.0,Offensive rebound by K. Faried,,31-52,,
6:29.0,,,31-52,,Personal foul by M. Ginobili (drawn by K. Faried)
6:29.0,,,31-52,,D. Green enters the game for M. Ginobili
6:29.0,,,31-52,,T. Parker enters the game for C. Joseph
6:29.0,,,31-52,,T. Duncan enters the game for A. Baynes
6:17.0,Turnover by T. Lawson (lost ball; steal by T. Parker),,31-52,,
6:11.0,,,31-52,,Turnover by D. Green (bad pass)
5:59.0,Shooting foul by M. Belinelli (drawn by T. Lawson),,31-52,,
5:59.0,,,31-52,,San Antonio full timeout
5:59.0,,,31-52,,K. Leonard enters the game for M. Belinelli
5:59.0,T. Lawson misses free throw 1 of 2,,31-52,,
5:59.0,Offensive rebound by Team,,31-52,,
5:59.0,T. Lawson makes free throw 2 of 2,1,32-52,,
