time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. N. Vucevic (T. Harris gains possession),,,,Jump ball: I. Mahinmi vs. N. Vucevic (T. Harris gains possession)
11:44.0,C. Frye misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by S. Hill
11:34.0,,,0-2,2,D. West makes 2-pt shot from 1 ft (assist by S. Hill)
11:18.0,N. Vucevic misses 2-pt shot from 15 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by D. West
11:10.0,,,0-2,,D. West misses 2-pt shot from 21 ft
11:09.0,Defensive rebound by T. Harris,,0-2,,
10:59.0,T. Harris misses 2-pt shot from 1 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by D. West
10:53.0,,,0-2,,S. Hill misses 2-pt shot from 5 ft
10:52.0,Defensive rebound by N. Vucevic,,0-2,,
10:43.0,C. Frye makes 3-pt shot from 26 ft (assist by V. Oladipo),3,3-2,,
10:43.0,Shooting foul by D. West (drawn by C. Frye),,3-2,,
10:43.0,C. Frye misses free throw 1 of 1,,3-2,,
10:43.0,,,3-2,,Defensive rebound by I. Mahinmi
10:20.0,,,3-2,,D. Sloan misses 2-pt shot from 14 ft (block by N. Vucevic)
10:19.0,,,3-2,,Offensive rebound by D. Sloan
10:17.0,,,3-2,,D. Sloan misses 2-pt shot from 16 ft
10:16.0,,,3-2,,Offensive rebound by D. West
10:14.0,,,3-4,2,D. West makes 2-pt shot from 2 ft
10:05.0,,,3-4,,Personal foul by D. West (drawn by C. Frye)
10:05.0,,,3-4,,L. Scola enters the game for D. West
9:57.0,N. Vucevic misses 2-pt shot from 5 ft,,3-4,,
9:56.0,,,3-4,,Defensive rebound by L. Scola
9:51.0,,,3-4,,Offensive foul by I. Mahinmi
9:51.0,,,3-4,,Turnover by I. Mahinmi (offensive foul)
9:37.0,N. Vucevic misses 2-pt shot from 6 ft,,3-4,,
9:36.0,,,3-4,,Defensive rebound by R. Stuckey
9:32.0,,,3-6,2,R. Stuckey makes 2-pt shot from 6 ft
9:32.0,,,3-6,,Shooting foul by E. Fournier (drawn by R. Stuckey)
9:32.0,,,3-7,1,R. Stuckey makes free throw 1 of 1
9:14.0,E. Fournier misses 2-pt shot from 1 ft,,3-7,,
9:13.0,,,3-7,,Defensive rebound by S. Hill
9:09.0,,,3-7,,R. Stuckey misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by V. Oladipo,,3-7,,
9:02.0,Shooting foul by S. Hill (drawn by T. Harris),,3-7,,
9:02.0,T. Harris makes free throw 1 of 2,1,4-7,,
9:02.0,T. Harris makes free throw 2 of 2,1,5-7,,
8:40.0,,,5-9,2,S. Hill makes 2-pt shot from 11 ft
8:22.0,,,5-9,,Personal foul by I. Mahinmi (drawn by N. Vucevic)
8:22.0,,,5-9,,L. Allen enters the game for I. Mahinmi
8:16.0,T. Harris makes 2-pt shot from 2 ft,2,7-9,,
8:02.0,,,7-9,,L. Allen misses 2-pt shot from 11 ft
8:01.0,,,7-9,,Offensive rebound by L. Scola
8:01.0,,,7-11,2,L. Scola makes 2-pt shot at rim
7:45.0,Turnover by C. Frye (lost ball; steal by L. Scola),,7-11,,
7:39.0,,,7-11,,S. Hill misses 3-pt shot from 25 ft
7:38.0,,,7-11,,Offensive rebound by Team
