time,Miami,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. H. Whiteside (T. Evans gains possession),,,,Jump ball: O. Asik vs. H. Whiteside (T. Evans gains possession)
11:43.0,,,0-0,,E. Gordon misses 2-pt shot from 3 ft (block by H. Whiteside)
11:43.0,,,0-0,,Offensive rebound by Team
11:36.0,,,0-0,,T. Evans misses 3-pt shot from 26 ft
11:35.0,,,0-0,,Offensive rebound by Q. Pondexter
11:25.0,,,0-0,,Turnover by T. Evans (lost ball; steal by H. Whiteside)
11:21.0,L. Deng makes 2-pt shot at rim,2,2-0,,
10:58.0,,,2-0,,Turnover by E. Gordon (bad pass)
10:44.0,H. Whiteside misses 2-pt shot from 7 ft,,2-0,,
10:43.0,Offensive rebound by G. Dragic,,2-0,,
10:43.0,G. Dragic misses 2-pt shot from 1 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by O. Asik
10:29.0,,,2-0,,Shooting foul by H. Whiteside (drawn by Q. Pondexter)
10:29.0,,,2-0,,Q. Pondexter misses free throw 1 of 2
10:29.0,,,2-0,,Offensive rebound by Team
10:29.0,,,2-1,1,Q. Pondexter makes free throw 2 of 2
10:16.0,L. Deng makes 3-pt shot from 23 ft (assist by U. Haslem),3,5-1,,
10:01.0,,,5-3,2,Q. Pondexter makes 2-pt shot from 19 ft (assist by T. Evans)
9:44.0,D. Wade misses 2-pt shot from 19 ft,,5-3,,
9:43.0,,,5-3,,Defensive rebound by O. Asik
9:32.0,,,5-6,3,E. Gordon makes 3-pt shot from 22 ft (assist by T. Evans)
9:07.0,Turnover by D. Wade (bad pass),,5-6,,
8:47.0,,,5-9,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
8:29.0,H. Whiteside misses 2-pt shot from 14 ft,,5-9,,
8:27.0,Offensive rebound by D. Wade,,5-9,,
8:20.0,H. Whiteside makes 2-pt shot from 6 ft (assist by D. Wade),2,7-9,,
7:57.0,,,7-9,,E. Gordon misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by Team,,7-9,,
7:45.0,H. Whiteside misses 2-pt shot from 5 ft,,7-9,,
7:44.0,,,7-9,,Defensive rebound by O. Asik
7:38.0,,,7-11,2,T. Evans makes 2-pt shot from 1 ft
