time,Philadelphia,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. N. Noel (M. Williams gains possession),,,,Jump ball: G. Dieng vs. N. Noel (M. Williams gains possession)
11:46.0,,,0-0,,M. Williams misses 2-pt shot from 20 ft
11:45.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:32.0,Shooting foul by A. Wiggins (drawn by M. Carter-Williams),,0-0,,
11:32.0,M. Carter-Williams misses free throw 1 of 2,,0-0,,
11:32.0,Offensive rebound by Team,,0-0,,
11:32.0,M. Carter-Williams makes free throw 2 of 2,1,1-0,,
11:17.0,,,1-0,,A. Wiggins misses 2-pt shot from 6 ft
11:16.0,Defensive rebound by L. Mbah a Moute,,1-0,,
11:08.0,Turnover by M. Carter-Williams (bad pass; steal by C. Brewer),,1-0,,
11:03.0,,,1-0,,Turnover by M. Williams (bad pass; steal by H. Sims)
10:56.0,Shooting foul by G. Dieng (drawn by L. Mbah a Moute),,1-0,,
10:56.0,L. Mbah a Moute makes free throw 1 of 2,1,2-0,,
10:56.0,L. Mbah a Moute makes free throw 2 of 2,1,3-0,,
10:42.0,,,3-2,2,A. Wiggins makes 2-pt shot from 20 ft (assist by M. Williams)
10:33.0,,,3-2,,Def 3 sec tech foul by G. Dieng
10:33.0,H. Sims makes technical free throw,1,4-2,,
10:26.0,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,6-2,,
10:07.0,,,6-2,,T. Young misses 2-pt shot from 14 ft
10:06.0,Defensive rebound by H. Sims,,6-2,,
9:53.0,Turnover by L. Mbah a Moute (bad pass),,6-2,,
9:39.0,,,6-2,,T. Young misses 2-pt shot from 2 ft
9:37.0,,,6-2,,Offensive rebound by C. Brewer
9:34.0,,,6-4,2,C. Brewer makes 2-pt shot from 4 ft
9:22.0,L. Mbah a Moute makes 2-pt shot at rim (assist by H. Sims),2,8-4,,
9:02.0,,,8-4,,T. Young misses 2-pt shot from 1 ft
9:01.0,Defensive rebound by L. Mbah a Moute,,8-4,,
8:51.0,,,8-4,,Personal foul by M. Williams (drawn by M. Carter-Williams)
8:39.0,M. Carter-Williams misses 2-pt shot from 18 ft,,8-4,,
8:38.0,Offensive rebound by H. Sims,,8-4,,
8:36.0,H. Sims makes 2-pt shot at rim,2,10-4,,
8:08.0,,,10-4,,G. Dieng misses 2-pt shot from 14 ft
8:07.0,,,10-4,,Offensive rebound by A. Wiggins
8:07.0,,,10-4,,A. Wiggins misses 2-pt shot at rim
8:06.0,Defensive rebound by L. Mbah a Moute,,10-4,,
7:55.0,N. Noel makes 2-pt shot from 5 ft,2,12-4,,
7:54.0,,,12-4,,Minnesota full timeout
7:31.0,,,12-7,3,A. Wiggins makes 3-pt shot from 24 ft (assist by M. Williams)
7:12.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,12-7,,
7:11.0,,,12-7,,Defensive rebound by G. Dieng
6:57.0,,,12-9,2,G. Dieng makes 2-pt shot at rim (assist by T. Young)
6:35.0,H. Sims misses 2-pt shot from 15 ft,,12-9,,
6:34.0,,,12-9,,Defensive rebound by G. Dieng
6:31.0,,,12-9,,Turnover by T. Young (bad pass; steal by L. Mbah a Moute)
6:20.0,H. Thompson misses 3-pt shot from 25 ft,,12-9,,
6:19.0,,,12-9,,Defensive rebound by T. Young
6:16.0,,,12-9,,Turnover by T. Young (bad pass; steal by N. Noel)
6:10.0,Turnover by H. Thompson (traveling),,12-9,,
6:10.0,K. McDaniels enters the game for L. Mbah a Moute,,12-9,,
6:00.0,,,12-9,,Turnover by C. Brewer (traveling)
5:45.0,N. Noel misses 2-pt shot from 20 ft,,12-9,,
5:44.0,,,12-9,,Defensive rebound by C. Brewer
5:35.0,,,12-11,2,G. Dieng makes 2-pt shot at rim (assist by M. Williams)
5:35.0,,,12-11,,Shooting foul by N. Noel (drawn by G. Dieng)
5:35.0,,,12-11,,R. Hummel enters the game for T. Young
5:35.0,B. Davies enters the game for H. Sims,,12-11,,
5:35.0,,,12-12,1,G. Dieng makes free throw 1 of 1
5:27.0,Turnover by M. Carter-Williams (dbl dribble),,12-12,,
5:10.0,,,12-12,,Turnover by C. Brewer (bad pass; steal by H. Thompson)
4:49.0,Turnover by B. Davies (bad pass),,12-12,,
4:43.0,,,12-12,,M. Williams misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by H. Thompson,,12-12,,
4:37.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,14-12,,
4:12.0,,,14-12,,G. Dieng misses 2-pt shot from 9 ft
4:11.0,Defensive rebound by N. Noel,,14-12,,
3:57.0,N. Noel makes 2-pt shot from 6 ft,2,16-12,,
3:46.0,,,16-12,,Shooting foul by H. Thompson (drawn by C. Brewer)
3:46.0,,,16-12,,C. Brewer misses free throw 1 of 2
3:46.0,,,16-12,,Offensive rebound by Team
3:46.0,R. Covington enters the game for H. Thompson,,16-12,,
3:46.0,J. Grant enters the game for N. Noel,,16-12,,
3:46.0,,,16-13,1,C. Brewer makes free throw 2 of 2
3:46.0,Philadelphia full timeout,,16-13,,
3:46.0,,,16-13,,S. Muhammad enters the game for C. Brewer
3:35.0,,,16-13,,A. Bennett enters the game for G. Dieng
3:29.0,Shooting foul by A. Bennett (drawn by J. Grant),,16-13,,
3:29.0,J. Grant misses free throw 1 of 2,,16-13,,
3:29.0,Offensive rebound by Team,,16-13,,
3:29.0,J. Grant makes free throw 2 of 2,1,17-13,,
3:27.0,,,17-13,,Turnover by M. Williams (lost ball; steal by B. Davies)
3:24.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,19-13,,
3:01.0,,,19-13,,S. Muhammad misses 2-pt shot from 1 ft (block by J. Grant)
3:00.0,Defensive rebound by K. McDaniels,,19-13,,
2:49.0,M. Carter-Williams misses 2-pt shot from 5 ft,,19-13,,
2:47.0,,,19-13,,Defensive rebound by A. Bennett
2:35.0,,,19-13,,A. Bennett misses 2-pt shot from 2 ft
2:32.0,Defensive rebound by Team,,19-13,,
2:32.0,L. Mbah a Moute enters the game for M. Carter-Williams,,19-13,,
2:18.0,R. Covington misses 2-pt shot from 3 ft,,19-13,,
2:17.0,,,19-13,,Defensive rebound by R. Hummel
2:10.0,Personal foul by B. Davies (drawn by R. Hummel),,19-13,,
2:07.0,Personal foul by R. Covington (drawn by S. Muhammad),,19-13,,
1:54.0,,,19-13,,A. Bennett misses 2-pt shot from 2 ft
1:53.0,Defensive rebound by J. Grant,,19-13,,
1:46.0,J. Grant makes 2-pt shot at rim (assist by K. McDaniels),2,21-13,,
1:32.0,,,21-13,,Turnover by M. Williams (lost ball; steal by K. McDaniels)
1:20.0,R. Covington misses 3-pt shot from 24 ft,,21-13,,
1:19.0,Offensive rebound by B. Davies,,21-13,,
1:15.0,K. McDaniels misses 3-pt shot from 25 ft,,21-13,,
1:13.0,Offensive rebound by K. McDaniels,,21-13,,
1:05.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,23-13,,
0:46.0,,,23-13,,A. Wiggins misses 2-pt shot from 20 ft
0:44.0,Defensive rebound by Team,,23-13,,
0:44.0,,,23-13,,Z. LaVine enters the game for M. Williams
0:30.0,K. McDaniels misses 3-pt shot from 24 ft,,23-13,,
