time,Chicago,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,T. Snell misses 2-pt shot from 8 ft,,0-0,,
12:00.0,Jump ball: T. Chandler vs. P. Gasol (D. Rose gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (D. Rose gains possession)
11:42.0,,,0-0,,Defensive rebound by C. Parsons
11:26.0,,,0-0,,M. Ellis misses 2-pt shot at rim
11:25.0,Defensive rebound by P. Gasol,,0-0,,
11:14.0,T. Snell makes 3-pt shot from 24 ft (assist by P. Gasol),3,3-0,,
11:00.0,,,3-2,2,D. Nowitzki makes 2-pt shot from 22 ft (assist by M. Ellis)
10:44.0,J. Butler misses 2-pt shot from 16 ft,,3-2,,
10:43.0,,,3-2,,Defensive rebound by D. Nowitzki
10:32.0,,,3-2,,R. Rondo misses 2-pt shot from 1 ft
10:30.0,Defensive rebound by P. Gasol,,3-2,,
10:13.0,J. Butler misses 2-pt shot from 11 ft,,3-2,,
10:12.0,,,3-2,,Defensive rebound by T. Chandler
10:07.0,,,3-2,,M. Ellis misses 2-pt shot from 1 ft
10:06.0,Defensive rebound by P. Gasol,,3-2,,
9:54.0,J. Noah makes 2-pt shot from 1 ft (assist by J. Butler),2,5-2,,
9:39.0,,,5-2,,Offensive foul by T. Chandler
9:39.0,,,5-2,,Turnover by T. Chandler (offensive foul)
9:17.0,D. Rose makes 3-pt shot from 25 ft (assist by J. Butler),3,8-2,,
9:08.0,,,8-2,,R. Rondo misses 2-pt shot from 7 ft (block by D. Rose)
9:08.0,,,8-2,,Offensive rebound by R. Rondo
9:08.0,,,8-2,,Turnover by R. Rondo (step out of bounds)
8:58.0,Shooting foul by M. Ellis (drawn by J. Butler),,8-2,,
8:58.0,J. Butler makes free throw 1 of 2,1,9-2,,
8:58.0,J. Butler makes free throw 2 of 2,1,10-2,,
8:45.0,,,10-4,2,R. Rondo makes 2-pt shot from 1 ft
8:32.0,P. Gasol makes 2-pt shot at rim (assist by J. Butler),2,12-4,,
8:15.0,,,12-6,2,C. Parsons makes 2-pt shot at rim
7:48.0,J. Butler makes 2-pt shot from 17 ft,2,14-6,,
7:35.0,Personal foul by T. Snell (drawn by D. Nowitzki),,14-6,,
7:26.0,,,14-8,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Rondo)
7:04.0,D. Rose makes 2-pt shot from 18 ft,2,16-8,,
7:02.0,,,16-8,,Dallas full timeout
6:41.0,,,16-10,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
6:19.0,J. Noah misses 2-pt shot from 5 ft,,16-10,,
6:17.0,Offensive rebound by J. Butler,,16-10,,
6:17.0,J. Butler misses 2-pt shot from 1 ft,,16-10,,
6:16.0,,,16-10,,Defensive rebound by D. Nowitzki
6:01.0,,,16-10,,Turnover by M. Ellis (bad pass; steal by D. Rose)
5:59.0,,,16-10,,Personal block foul by R. Rondo (drawn by D. Rose)
5:59.0,,,16-10,,D. Harris enters the game for R. Rondo
5:59.0,,,16-10,,D. Powell enters the game for D. Nowitzki
5:47.0,Offensive foul by J. Noah,,16-10,,
5:47.0,Turnover by J. Noah (offensive foul),,16-10,,
5:47.0,T. Gibson enters the game for J. Noah,,16-10,,
5:35.0,,,16-10,,T. Chandler misses 2-pt shot from 1 ft (block by P. Gasol)
5:34.0,,,16-10,,Offensive rebound by M. Ellis
5:30.0,,,16-12,2,C. Parsons makes 2-pt shot at rim
5:04.0,D. Rose makes 3-pt shot from 24 ft (assist by T. Gibson),3,19-12,,
4:51.0,,,19-12,,M. Ellis misses 2-pt shot from 20 ft
4:50.0,Defensive rebound by P. Gasol,,19-12,,
4:44.0,D. Rose makes 3-pt shot from 24 ft (assist by P. Gasol),3,22-12,,
4:17.0,,,22-12,,D. Harris misses 3-pt shot from 24 ft
4:16.0,,,22-12,,Offensive rebound by T. Chandler
4:13.0,,,22-15,3,D. Harris makes 3-pt shot from 23 ft (assist by T. Chandler)
3:51.0,Turnover by J. Butler (bad pass; steal by C. Parsons),,22-15,,
3:47.0,,,22-15,,C. Parsons misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by T. Snell,,22-15,,
3:38.0,Turnover by J. Butler (bad pass; steal by D. Powell),,22-15,,
3:18.0,,,22-15,,D. Harris misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by T. Gibson,,22-15,,
3:07.0,D. Rose misses 2-pt shot from 1 ft (block by D. Powell),,22-15,,
3:05.0,Offensive rebound by D. Rose,,22-15,,
3:04.0,D. Rose makes 2-pt shot from 3 ft,2,24-15,,
2:54.0,,,24-15,,D. Powell misses 2-pt shot from 19 ft
2:53.0,Defensive rebound by T. Snell,,24-15,,
2:50.0,,,24-15,,Personal foul by D. Powell (drawn by T. Gibson)
2:50.0,Chicago full timeout,,24-15,,
