time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Valanciunas (T. Hansbrough gains possession),,,,Jump ball: D. Dedmon vs. J. Valanciunas (T. Hansbrough gains possession)
11:43.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,2-0,,
11:19.0,,,2-0,,V. Oladipo misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by T. Hansbrough,,2-0,,
11:07.0,T. Hansbrough misses 2-pt shot at rim,,2-0,,
11:04.0,,,2-0,,Defensive rebound by T. Harris
11:00.0,,,2-0,,Offensive foul by D. Dedmon
11:00.0,,,2-0,,Turnover by D. Dedmon (offensive foul)
10:49.0,D. DeRozan misses 2-pt shot from 19 ft,,2-0,,
10:46.0,Offensive rebound by J. Valanciunas,,2-0,,
10:41.0,K. Lowry misses 3-pt shot from 25 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by D. Dedmon
10:35.0,,,2-0,,E. Payton misses 2-pt shot from 6 ft
10:34.0,Defensive rebound by J. Valanciunas,,2-0,,
10:31.0,Turnover by K. Lowry (bad pass; steal by V. Oladipo),,2-0,,
10:19.0,,,2-0,,T. Harris misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by J. Valanciunas,,2-0,,
10:08.0,Turnover by T. Ross (bad pass; steal by T. Harris),,2-0,,
10:03.0,,,2-2,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
9:40.0,Offensive charge foul by J. Valanciunas,,2-2,,
9:40.0,Turnover by J. Valanciunas (offensive foul),,2-2,,
9:25.0,,,2-2,,Turnover by D. Dedmon (3 sec)
9:11.0,Shooting foul by E. Payton (drawn by D. DeRozan),,2-2,,
9:11.0,D. DeRozan makes free throw 1 of 2,1,3-2,,
9:11.0,D. DeRozan makes free throw 2 of 2,1,4-2,,
9:04.0,Personal foul by K. Lowry (drawn by E. Payton),,4-2,,
8:59.0,,,4-2,,Turnover by N. Vucevic (offensive foul)
8:59.0,,,4-2,,Offensive foul by N. Vucevic
8:39.0,T. Hansbrough misses 2-pt shot from 1 ft,,4-2,,
8:38.0,,,4-2,,Defensive rebound by D. Dedmon
8:19.0,,,4-2,,T. Harris misses 2-pt shot from 4 ft
8:18.0,Defensive rebound by J. Valanciunas,,4-2,,
8:14.0,Turnover by J. Valanciunas (bad pass; steal by E. Payton),,4-2,,
8:11.0,,,4-4,2,T. Harris makes 2-pt shot at rim (assist by E. Payton)
7:58.0,D. DeRozan makes 2-pt shot at rim,2,6-4,,
7:38.0,,,6-4,,N. Vucevic misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by J. Valanciunas,,6-4,,
7:26.0,T. Ross makes 2-pt shot from 11 ft,2,8-4,,
7:03.0,,,8-4,,N. Vucevic misses 2-pt shot from 11 ft
7:02.0,Defensive rebound by J. Valanciunas,,8-4,,
6:52.0,Offensive foul by J. Valanciunas,,8-4,,
6:52.0,Turnover by J. Valanciunas (offensive foul),,8-4,,
6:52.0,P. Patterson enters the game for J. Valanciunas,,8-4,,
6:36.0,,,8-6,2,E. Payton makes 2-pt shot from 4 ft
6:12.0,P. Patterson makes 3-pt shot from 24 ft (assist by T. Hansbrough),3,11-6,,
5:52.0,,,11-6,,E. Payton misses 2-pt shot at rim
5:50.0,,,11-6,,Offensive rebound by D. Dedmon
5:48.0,,,11-6,,Turnover by D. Dedmon (lost ball; steal by P. Patterson)
5:39.0,P. Patterson misses 3-pt shot from 25 ft,,11-6,,
5:38.0,,,11-6,,Defensive rebound by V. Oladipo
5:27.0,,,11-6,,Orlando full timeout
5:27.0,G. Vasquez enters the game for K. Lowry,,11-6,,
5:27.0,,,11-6,,A. Gordon enters the game for D. Dedmon
5:13.0,,,11-6,,V. Oladipo misses 2-pt shot from 19 ft
5:13.0,,,11-6,,Offensive rebound by Team
5:13.0,,,11-6,,Turnover by Team (shot clock)
4:57.0,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson),3,14-6,,
4:40.0,,,14-8,2,N. Vucevic makes 2-pt shot from 8 ft
4:21.0,T. Hansbrough misses 2-pt shot at rim,,14-8,,
4:19.0,Offensive rebound by T. Hansbrough,,14-8,,
4:19.0,T. Hansbrough misses 2-pt shot from 1 ft (block by N. Vucevic),,14-8,,
4:19.0,Offensive rebound by Team,,14-8,,
4:15.0,D. DeRozan misses 2-pt shot from 17 ft,,14-8,,
4:14.0,,,14-8,,Defensive rebound by N. Vucevic
4:02.0,,,14-8,,T. Harris misses 3-pt shot from 26 ft
4:00.0,Defensive rebound by T. Hansbrough,,14-8,,
3:54.0,G. Vasquez makes 2-pt shot at rim,2,16-8,,
3:54.0,Shooting foul by E. Payton (drawn by G. Vasquez),,16-8,,
3:54.0,L. Williams enters the game for T. Ross,,16-8,,
3:54.0,,,16-8,,E. Fournier enters the game for V. Oladipo
3:54.0,,,16-8,,W. Green enters the game for E. Payton
3:54.0,G. Vasquez makes free throw 1 of 1,1,17-8,,
3:44.0,,,17-8,,A. Gordon misses 3-pt shot from 23 ft
3:42.0,,,17-8,,Offensive rebound by N. Vucevic
3:37.0,,,17-8,,A. Gordon misses 2-pt shot from 1 ft
3:33.0,,,17-8,,Offensive rebound by A. Gordon
3:33.0,,,17-10,2,A. Gordon makes 2-pt shot at rim
3:21.0,Turnover by P. Patterson (bad pass; steal by N. Vucevic),,17-10,,
3:15.0,,,17-13,3,E. Fournier makes 3-pt shot from 28 ft (assist by T. Harris)
3:06.0,Toronto full timeout,,17-13,,
2:50.0,G. Vasquez makes 2-pt shot from 7 ft (assist by P. Patterson),2,19-13,,
2:33.0,,,19-13,,W. Green misses 2-pt shot from 17 ft
2:31.0,Defensive rebound by L. Williams,,19-13,,
2:11.0,P. Patterson makes 2-pt shot from 13 ft (assist by G. Vasquez),2,21-13,,
1:57.0,,,21-13,,A. Gordon misses 3-pt shot from 24 ft
1:55.0,Defensive rebound by T. Hansbrough,,21-13,,
1:46.0,T. Hansbrough makes 2-pt shot at rim (assist by G. Vasquez),2,23-13,,
1:27.0,,,23-13,,Turnover by E. Fournier (lost ball; steal by P. Patterson)
1:20.0,G. Vasquez makes 2-pt shot from 3 ft (assist by D. DeRozan),2,25-13,,
1:20.0,,,25-13,,Loose ball foul by E. Fournier (drawn by T. Hansbrough)
1:20.0,K. Lowry enters the game for D. DeRozan,,25-13,,
1:20.0,,,25-13,,V. Oladipo enters the game for T. Harris
1:20.0,,,25-13,,D. Dedmon enters the game for N. Vucevic
1:20.0,T. Hansbrough misses free throw 1 of 1,,25-13,,
1:14.0,,,25-13,,Defensive rebound by D. Dedmon
1:01.0,,,25-13,,V. Oladipo misses 2-pt shot at rim
1:00.0,,,25-13,,Offensive rebound by D. Dedmon
1:00.0,,,25-15,2,D. Dedmon makes 2-pt shot at rim
0:50.0,K. Lowry misses 2-pt shot from 9 ft,,25-15,,
0:49.0,,,25-15,,Defensive rebound by A. Gordon
0:43.0,,,25-17,2,A. Gordon makes 2-pt shot from 4 ft
0:30.0,Shooting foul by V. Oladipo (drawn by T. Hansbrough),,25-17,,
0:30.0,T. Hansbrough makes free throw 1 of 2,1,26-17,,
0:30.0,T. Hansbrough makes free throw 2 of 2,1,27-17,,
0:18.0,,,27-17,,W. Green misses 2-pt shot from 6 ft
0:16.0,,,27-17,,Offensive rebound by A. Gordon
0:16.0,,,27-17,,Shooting foul by P. Patterson (drawn by A. Gordon)
0:16.0,,,27-18,1,A. Gordon makes free throw 1 of 2
0:16.0,,,27-19,1,A. Gordon makes free throw 2 of 2
0:00.0,L. Williams makes 2-pt shot from 5 ft,2,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-21,2,V. Oladipo makes 2-pt shot from 15 ft
