time,Indiana,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Hibbert (D. West gains possession),,,,Jump ball: R. Gobert vs. R. Hibbert (D. West gains possession)
11:37.0,S. Hill misses 2-pt shot from 22 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Ingles
11:14.0,,,0-0,,D. Exum misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by D. West,,0-0,,
10:55.0,R. Hibbert misses 2-pt shot from 18 ft,,0-0,,
10:54.0,,,0-0,,Defensive rebound by D. Favors
10:37.0,,,0-0,,G. Hayward misses 2-pt shot from 17 ft
10:35.0,,,0-0,,Offensive rebound by D. Favors
10:35.0,,,0-2,2,D. Favors makes 2-pt shot from 1 ft
10:13.0,D. West misses 2-pt shot from 18 ft,,0-2,,
10:11.0,,,0-2,,Defensive rebound by R. Gobert
10:01.0,,,0-2,,D. Favors misses 2-pt shot from 16 ft
10:00.0,Defensive rebound by R. Hibbert,,0-2,,
9:43.0,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey),2,2-2,,
9:26.0,,,2-4,2,J. Ingles makes 2-pt shot from 2 ft
9:07.0,Shooting foul by R. Gobert (drawn by R. Hibbert),,2-4,,
9:07.0,R. Hibbert makes free throw 1 of 2,1,3-4,,
9:07.0,R. Hibbert makes free throw 2 of 2,1,4-4,,
8:58.0,,,4-4,,Shooting foul by S. Hill (drawn by G. Hayward)
8:58.0,,,4-5,1,G. Hayward makes free throw 1 of 2
8:58.0,,,4-6,1,G. Hayward makes free throw 2 of 2
8:44.0,C. Watson makes 3-pt shot from 24 ft (assist by D. West),3,7-6,,
8:26.0,,,7-6,,Turnover by D. Favors (traveling)
8:11.0,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West),2,9-6,,
7:55.0,Personal foul by R. Stuckey (drawn by D. Exum),,9-6,,
7:55.0,C. Miles enters the game for R. Stuckey,,9-6,,
7:43.0,,,9-6,,Turnover by R. Gobert (lost ball; steal by C. Watson)
7:24.0,R. Hibbert makes 2-pt shot from 9 ft (assist by D. West),2,11-6,,
7:07.0,,,11-6,,D. Exum misses 2-pt shot from 20 ft
7:07.0,Defensive rebound by Team,,11-6,,
7:07.0,,,11-6,,Loose ball foul by R. Gobert (drawn by C. Watson)
7:07.0,,,11-6,,T. Booker enters the game for R. Gobert
6:49.0,D. West makes 2-pt shot from 1 ft (assist by R. Hibbert),2,13-6,,
6:27.0,,,13-6,,D. Exum misses 3-pt shot from 24 ft
6:25.0,,,13-6,,Offensive rebound by Team
6:22.0,,,13-8,2,D. Exum makes 2-pt shot from 2 ft (assist by J. Ingles)
5:58.0,R. Hibbert misses 2-pt shot from 6 ft (block by D. Favors),,13-8,,
5:55.0,,,13-8,,Defensive rebound by G. Hayward
5:51.0,,,13-10,2,G. Hayward makes 2-pt shot from 1 ft (assist by J. Ingles)
5:37.0,C. Miles misses 3-pt shot from 25 ft,,13-10,,
5:36.0,Offensive rebound by Team,,13-10,,
5:36.0,,,13-10,,Personal foul by D. Favors (drawn by R. Hibbert)
5:36.0,,,13-10,,Utah full timeout
5:27.0,R. Hibbert makes 2-pt shot from 4 ft (assist by D. West),2,15-10,,
5:04.0,,,15-12,2,D. Favors makes 2-pt shot from 1 ft
4:39.0,R. Hibbert makes 2-pt shot from 7 ft,2,17-12,,
4:22.0,,,17-12,,G. Hayward misses 2-pt shot from 6 ft
4:21.0,Defensive rebound by C. Miles,,17-12,,
4:08.0,C. Miles makes 2-pt shot from 20 ft,2,19-12,,
3:43.0,,,19-12,,D. Exum misses 3-pt shot from 24 ft
3:42.0,,,19-12,,Offensive rebound by Team
3:42.0,,,19-12,,E. Millsap enters the game for G. Hayward
3:42.0,L. Allen enters the game for R. Hibbert,,19-12,,
3:26.0,,,19-12,,D. Exum misses 3-pt shot from 24 ft
3:24.0,Defensive rebound by D. West,,19-12,,
3:09.0,C. Miles misses 2-pt shot from 2 ft,,19-12,,
3:09.0,Offensive rebound by Team,,19-12,,
3:09.0,,,19-12,,Personal foul by T. Booker (drawn by D. West)
3:09.0,Indiana full timeout,,19-12,,
3:09.0,C. Copeland enters the game for S. Hill,,19-12,,
3:09.0,D. Sloan enters the game for C. Watson,,19-12,,
3:09.0,,,19-12,,I. Clark enters the game for D. Exum
3:09.0,,,19-12,,J. Evans enters the game for D. Favors
3:01.0,C. Miles misses 3-pt shot from 24 ft,,19-12,,
2:59.0,,,19-12,,Defensive rebound by T. Booker
2:39.0,,,19-12,,T. Booker misses 2-pt shot from 5 ft
2:38.0,Defensive rebound by C. Miles,,19-12,,
2:27.0,D. West makes 2-pt shot from 18 ft (assist by D. Sloan),2,21-12,,
2:07.0,,,21-12,,Turnover by I. Clark (lost ball; steal by D. West)
1:55.0,C. Miles makes 3-pt shot from 25 ft (assist by C. Copeland),3,24-12,,
1:36.0,Personal foul by C. Miles (drawn by J. Ingles),,24-12,,
1:36.0,L. Scola enters the game for D. West,,24-12,,
1:36.0,,,24-12,,G. Hayward enters the game for J. Ingles
1:27.0,,,24-12,,J. Evans misses 2-pt shot from 5 ft
1:24.0,,,24-12,,Offensive rebound by T. Booker
1:18.0,,,24-12,,E. Millsap misses 2-pt shot from 21 ft
1:16.0,Defensive rebound by L. Scola,,24-12,,
1:07.0,,,24-12,,Personal foul by T. Booker (drawn by L. Allen)
1:07.0,L. Allen makes free throw 1 of 2,1,25-12,,
1:07.0,,,25-12,,S. Novak enters the game for T. Booker
1:07.0,L. Allen makes free throw 2 of 2,1,26-12,,
0:51.0,,,26-12,,Shooting foul by L. Allen (drawn by G. Hayward)
0:51.0,,,26-13,1,G. Hayward makes free throw 1 of 2
0:51.0,,,26-14,1,G. Hayward makes free throw 2 of 2
0:40.0,L. Scola makes 2-pt shot from 2 ft (assist by L. Allen),2,28-14,,
