time,Brooklyn,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. B. Lopez (T. Young gains possession),,,,Jump ball: G. Dieng vs. B. Lopez (T. Young gains possession)
11:41.0,T. Young misses 2-pt shot from 16 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Payne
11:18.0,,,0-0,,A. Payne misses 2-pt shot from 2 ft
11:17.0,Defensive rebound by B. Lopez,,0-0,,
11:04.0,D. Williams misses 3-pt shot from 24 ft,,0-0,,
11:03.0,Offensive rebound by M. Brown,,0-0,,
10:43.0,T. Young misses 2-pt shot from 19 ft,,0-0,,
10:42.0,,,0-0,,Defensive rebound by A. Payne
10:37.0,,,0-0,,Turnover by K. Martin (step out of bounds)
10:24.0,Shooting foul by A. Payne (drawn by D. Williams),,0-0,,
10:24.0,D. Williams makes free throw 1 of 2,1,1-0,,
10:24.0,D. Williams makes free throw 2 of 2,1,2-0,,
10:02.0,,,2-0,,K. Martin misses 2-pt shot from 15 ft
10:01.0,Defensive rebound by J. Johnson,,2-0,,
9:47.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,5-0,,
9:33.0,,,5-2,2,A. Wiggins makes 2-pt shot from 22 ft (assist by K. Martin)
9:16.0,J. Johnson misses 3-pt shot from 24 ft,,5-2,,
9:14.0,Offensive rebound by B. Lopez,,5-2,,
9:07.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson),2,7-2,,
8:52.0,,,7-4,2,G. Dieng makes 2-pt shot from 13 ft (assist by K. Martin)
8:30.0,M. Brown makes 2-pt shot at rim,2,9-4,,
8:06.0,,,9-4,,A. Wiggins misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by Team,,9-4,,
7:53.0,J. Johnson misses 2-pt shot from 6 ft,,9-4,,
7:52.0,Offensive rebound by B. Lopez,,9-4,,
7:42.0,M. Brown misses 2-pt shot at rim,,9-4,,
7:40.0,,,9-4,,Defensive rebound by Z. LaVine
7:34.0,,,9-4,,Turnover by Z. LaVine (bad pass; steal by M. Brown)
7:22.0,T. Young makes 2-pt shot at rim (assist by J. Johnson),2,11-4,,
7:21.0,,,11-4,,Minnesota full timeout
7:08.0,,,11-4,,Shooting foul by T. Young (drawn by A. Wiggins)
7:08.0,,,11-4,,A. Wiggins misses free throw 1 of 2
7:08.0,,,11-4,,Offensive rebound by Team
7:08.0,,,11-5,1,A. Wiggins makes free throw 2 of 2
6:52.0,T. Young makes 2-pt shot from 4 ft (assist by J. Johnson),2,13-5,,
6:38.0,,,13-7,2,K. Martin makes 2-pt shot from 6 ft (assist by Z. LaVine)
6:26.0,D. Williams makes 2-pt shot from 18 ft,2,15-7,,
6:07.0,,,15-10,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
5:57.0,Turnover by D. Williams (lost ball; steal by Z. LaVine),,15-10,,
5:51.0,,,15-12,2,A. Wiggins makes 2-pt shot at rim
5:34.0,B. Lopez makes 2-pt shot from 4 ft (assist by D. Williams),2,17-12,,
5:16.0,,,17-12,,Turnover by A. Wiggins (bad pass; steal by B. Lopez)
5:05.0,D. Williams makes 2-pt shot from 10 ft,2,19-12,,
4:46.0,,,19-12,,G. Dieng misses 2-pt shot from 16 ft
4:44.0,,,19-12,,Offensive rebound by A. Wiggins
4:42.0,,,19-12,,A. Wiggins misses 2-pt shot from 21 ft
4:41.0,Defensive rebound by T. Young,,19-12,,
4:35.0,Turnover by T. Young (lost ball; steal by A. Payne),,19-12,,
4:31.0,,,19-12,,Turnover by K. Martin (lost ball; steal by D. Williams)
4:25.0,J. Johnson makes 2-pt shot from 6 ft,2,21-12,,
4:09.0,,,21-15,3,Z. LaVine makes 3-pt shot from 25 ft
3:57.0,D. Williams misses 2-pt shot from 5 ft,,21-15,,
3:56.0,,,21-15,,Defensive rebound by G. Dieng
3:49.0,,,21-15,,K. Martin misses 2-pt shot from 22 ft
3:48.0,Defensive rebound by M. Brown,,21-15,,
3:40.0,T. Young misses 2-pt shot from 1 ft (block by G. Dieng),,21-15,,
3:39.0,Offensive rebound by T. Young,,21-15,,
3:38.0,Shooting foul by A. Payne (drawn by T. Young),,21-15,,
3:38.0,T. Young makes free throw 1 of 2,1,22-15,,
3:38.0,J. Jack enters the game for D. Williams,,22-15,,
3:38.0,M. Plumlee enters the game for B. Lopez,,22-15,,
3:38.0,,,22-15,,J. Hamilton enters the game for A. Payne
3:38.0,T. Young makes free throw 2 of 2,1,23-15,,
3:28.0,,,23-18,3,K. Martin makes 3-pt shot from 25 ft (assist by Z. LaVine)
3:07.0,J. Jack misses 3-pt shot from 22 ft,,23-18,,
