time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. N. Vucevic (H. Sims gains possession),,,,Jump ball: N. Noel vs. N. Vucevic (H. Sims gains possession)
11:40.0,J. Richardson makes 2-pt shot from 12 ft,2,2-0,,
11:19.0,,,2-0,,N. Vucevic misses 2-pt shot from 14 ft
11:17.0,Defensive rebound by I. Canaan,,2-0,,
11:10.0,I. Canaan makes 3-pt shot from 25 ft,3,5-0,,
10:54.0,,,5-2,2,N. Vucevic makes 2-pt shot from 1 ft
10:40.0,Turnover by J. Richardson (lost ball; steal by V. Oladipo),,5-2,,
10:35.0,,,5-4,2,E. Payton makes 2-pt shot at rim
10:23.0,N. Noel misses 2-pt shot from 13 ft,,5-4,,
10:21.0,,,5-4,,Defensive rebound by E. Payton
10:03.0,,,5-6,2,N. Vucevic makes 2-pt shot at rim (assist by T. Harris)
9:40.0,Turnover by H. Sims (bad pass; steal by N. Vucevic),,5-6,,
9:31.0,,,5-6,,N. Vucevic misses 2-pt shot from 18 ft
9:30.0,Defensive rebound by N. Noel,,5-6,,
9:17.0,R. Covington misses 3-pt shot from 24 ft,,5-6,,
9:16.0,Offensive rebound by J. Richardson,,5-6,,
9:11.0,J. Richardson misses 3-pt shot from 24 ft,,5-6,,
9:09.0,,,5-6,,Defensive rebound by N. Vucevic
8:55.0,,,5-6,,Turnover by N. Vucevic (lost ball; steal by R. Covington)
8:50.0,J. Richardson misses 2-pt shot at rim,,5-6,,
8:50.0,,,5-6,,Defensive rebound by Team
8:50.0,Loose ball foul by R. Covington (drawn by C. Frye),,5-6,,
8:36.0,,,5-8,2,C. Frye makes 2-pt shot from 23 ft (assist by E. Payton)
8:14.0,Shooting foul by T. Harris (drawn by H. Sims),,5-8,,
8:14.0,H. Sims makes free throw 1 of 2,1,6-8,,
8:14.0,H. Sims makes free throw 2 of 2,1,7-8,,
7:53.0,,,7-8,,V. Oladipo misses 2-pt shot from 21 ft
7:52.0,Defensive rebound by H. Sims,,7-8,,
7:32.0,H. Sims makes 2-pt shot from 9 ft,2,9-8,,
7:15.0,,,9-10,2,C. Frye makes 2-pt shot from 16 ft
7:02.0,Turnover by H. Sims (bad pass),,9-10,,
6:47.0,,,9-12,2,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo)
6:27.0,H. Sims makes 2-pt shot at rim (assist by N. Noel),2,11-12,,
6:14.0,Personal foul by H. Sims (drawn by C. Frye),,11-12,,
6:05.0,,,11-15,3,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton)
6:02.0,Philadelphia full timeout,,11-15,,
5:42.0,R. Covington makes 3-pt shot from 22 ft (assist by I. Canaan),3,14-15,,
5:28.0,,,14-15,,T. Harris misses 3-pt shot from 23 ft
5:27.0,Defensive rebound by J. Richardson,,14-15,,
5:20.0,Turnover by N. Noel (bad pass; steal by N. Vucevic),,14-15,,
5:14.0,J. Grant enters the game for J. Richardson,,14-15,,
5:06.0,,,14-15,,T. Harris misses 2-pt shot from 11 ft
5:04.0,,,14-15,,Offensive rebound by N. Vucevic
5:04.0,,,14-15,,N. Vucevic misses 2-pt shot from 2 ft
5:02.0,Defensive rebound by H. Sims,,14-15,,
4:49.0,R. Covington misses 3-pt shot from 23 ft,,14-15,,
4:47.0,Offensive rebound by H. Sims,,14-15,,
4:31.0,N. Noel makes 2-pt shot from 6 ft (assist by R. Covington),2,16-15,,
4:18.0,,,16-15,,N. Vucevic misses 2-pt shot at rim (block by N. Noel)
4:18.0,,,16-15,,Offensive rebound by Team
4:18.0,F. Aldemir enters the game for H. Sims,,16-15,,
