time,LA Clippers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Noel (C. Paul gains possession)
11:38.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,2-0,,
11:08.0,,,2-0,,R. Covington misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. Jordan,,2-0,,
11:00.0,B. Griffin makes 2-pt shot from 1 ft (assist by M. Barnes),2,4-0,,
10:44.0,,,4-0,,I. Smith misses 2-pt shot from 6 ft (block by D. Jordan)
10:42.0,Defensive rebound by D. Jordan,,4-0,,
10:41.0,Shooting foul by R. Covington (drawn by M. Barnes),,4-0,,
10:41.0,M. Barnes makes free throw 1 of 2,1,5-0,,
10:41.0,M. Barnes makes free throw 2 of 2,1,6-0,,
10:17.0,,,6-0,,R. Covington misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by J. Redick,,6-0,,
10:05.0,B. Griffin misses 2-pt shot from 2 ft,,6-0,,
10:04.0,,,6-0,,Defensive rebound by Team
9:53.0,,,6-0,,N. Noel misses 2-pt shot from 1 ft
9:51.0,,,6-0,,Offensive rebound by N. Noel
9:51.0,,,6-0,,N. Noel misses 2-pt shot from 1 ft
9:49.0,,,6-0,,Offensive rebound by N. Noel
9:49.0,,,6-2,2,N. Noel makes 2-pt shot from 1 ft
9:37.0,Shooting foul by N. Noel (drawn by D. Jordan),,6-2,,
9:37.0,D. Jordan misses free throw 1 of 2,,6-2,,
9:37.0,Offensive rebound by Team,,6-2,,
9:37.0,D. Jordan makes free throw 2 of 2,1,7-2,,
9:24.0,,,7-4,2,J. Grant makes 2-pt shot from 21 ft (assist by I. Smith)
9:12.0,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul),2,9-4,,
8:59.0,,,9-4,,J. Sampson misses 2-pt shot from 13 ft
8:57.0,Defensive rebound by D. Jordan,,9-4,,
8:46.0,C. Paul makes 2-pt shot from 2 ft,2,11-4,,
8:20.0,,,11-4,,J. Sampson misses 3-pt shot from 23 ft
8:19.0,,,11-4,,Offensive rebound by J. Sampson
8:16.0,,,11-4,,J. Sampson misses 2-pt shot from 15 ft (block by D. Jordan)
8:13.0,Defensive rebound by C. Paul,,11-4,,
8:09.0,J. Redick makes 2-pt shot from 12 ft (assist by C. Paul),2,13-4,,
8:09.0,,,13-4,,Philadelphia full timeout
8:09.0,,,13-4,,J. Richardson enters the game for J. Sampson
7:56.0,Personal foul by M. Barnes (drawn by N. Noel),,13-4,,
7:50.0,,,13-4,,Turnover by J. Grant (bad pass; steal by M. Barnes)
7:45.0,M. Barnes makes 2-pt shot from 2 ft,2,15-4,,
7:33.0,,,15-6,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
7:10.0,M. Barnes misses 3-pt shot from 22 ft,,15-6,,
7:09.0,,,15-6,,Defensive rebound by N. Noel
6:55.0,,,15-9,3,J. Richardson makes 3-pt shot from 23 ft (assist by I. Smith)
6:39.0,Turnover by J. Redick (lost ball; steal by J. Richardson),,15-9,,
6:26.0,,,15-11,2,N. Noel makes 2-pt shot from 1 ft
6:18.0,M. Barnes misses 3-pt shot from 23 ft,,15-11,,
6:16.0,,,15-11,,Defensive rebound by N. Noel
6:14.0,,,15-11,,Turnover by I. Smith (bad pass)
6:14.0,,,15-11,,L. Mbah a Moute enters the game for J. Grant
6:03.0,J. Redick misses 2-pt shot from 1 ft,,15-11,,
6:00.0,,,15-11,,Defensive rebound by N. Noel
5:57.0,,,15-11,,J. Richardson misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by M. Barnes,,15-11,,
5:50.0,C. Paul makes 3-pt shot from 23 ft,3,18-11,,
5:31.0,Personal foul by B. Griffin (drawn by I. Smith),,18-11,,
5:22.0,,,18-11,,L. Mbah a Moute misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by D. Jordan,,18-11,,
5:13.0,J. Redick misses 3-pt shot from 24 ft,,18-11,,
5:11.0,Offensive rebound by D. Jordan,,18-11,,
5:11.0,D. Jordan makes 2-pt shot at rim,2,20-11,,
4:56.0,,,20-11,,J. Richardson misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by D. Jordan,,20-11,,
4:43.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,22-11,,
4:32.0,,,22-11,,I. Smith misses 2-pt shot from 4 ft
4:30.0,Defensive rebound by M. Barnes,,22-11,,
4:24.0,J. Redick misses 3-pt shot from 26 ft,,22-11,,
4:21.0,,,22-11,,Defensive rebound by J. Richardson
4:14.0,,,22-14,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by I. Smith)
3:50.0,D. Jordan misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,22-14,,
3:50.0,Offensive rebound by Team,,22-14,,
3:50.0,A. Rivers enters the game for J. Redick,,22-14,,
3:50.0,,,22-14,,H. Thompson enters the game for R. Covington
3:50.0,,,22-14,,T. Robinson enters the game for N. Noel
3:50.0,Turnover by Team (shot clock),,22-14,,
3:31.0,,,22-16,2,L. Mbah a Moute makes 2-pt shot at rim (assist by H. Thompson)
3:25.0,LA Clippers full timeout,,22-16,,
3:25.0,,,22-16,,I. Canaan enters the game for I. Smith
3:17.0,,,22-16,,Personal foul by L. Mbah a Moute (drawn by B. Griffin)
3:04.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,25-16,,
2:50.0,,,25-18,2,H. Thompson makes 2-pt shot from 22 ft
2:45.0,Turnover by M. Barnes (bad pass),,25-18,,
2:34.0,,,25-18,,Shooting foul by D. Jordan (drawn by T. Robinson)
2:34.0,,,25-19,1,T. Robinson makes free throw 1 of 2
2:34.0,S. Hawes enters the game for B. Griffin,,25-19,,
2:34.0,,,25-19,,T. Robinson misses free throw 2 of 2
2:32.0,Defensive rebound by D. Jordan,,25-19,,
2:24.0,,,25-19,,Personal foul by I. Canaan (drawn by C. Paul)
2:15.0,C. Paul makes 2-pt shot from 18 ft,2,27-19,,
1:57.0,,,27-19,,J. Richardson misses 2-pt shot from 4 ft
1:55.0,Defensive rebound by A. Rivers,,27-19,,
1:47.0,Turnover by S. Hawes (3 sec),,27-19,,
1:33.0,,,27-19,,T. Robinson misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by S. Hawes,,27-19,,
1:19.0,,,27-19,,Personal foul by I. Canaan (drawn by C. Paul)
1:19.0,C. Paul makes free throw 1 of 2,1,28-19,,
1:19.0,J. Redick enters the game for M. Barnes,,28-19,,
1:19.0,C. Paul makes free throw 2 of 2,1,29-19,,
1:08.0,,,29-19,,Shooting foul by S. Hawes (drawn by T. Robinson)
1:08.0,,,29-19,,T. Robinson misses free throw 1 of 2
1:08.0,,,29-19,,Offensive rebound by Team
1:08.0,G. Davis enters the game for D. Jordan,,29-19,,
1:08.0,,,29-19,,T. Robinson misses free throw 2 of 2
1:07.0,Defensive rebound by J. Redick,,29-19,,
0:56.0,C. Paul makes 3-pt shot from 26 ft,3,32-19,,
0:44.0,,,32-19,,I. Canaan misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by S. Hawes,,32-19,,
0:35.0,C. Paul makes 2-pt shot from 2 ft,2,34-19,,
0:25.0,,,34-19,,L. Mbah a Moute misses 2-pt shot from 1 ft
0:24.0,Defensive rebound by G. Davis,,34-19,,
0:02.0,C. Paul misses 3-pt shot from 24 ft,,34-19,,
0:00.0,,,34-19,,Defensive rebound by T. Robinson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,34-21,2,H. Thompson makes 2-pt shot from 15 ft (assist by N. Noel)
11:17.0,G. Davis makes 2-pt shot from 3 ft (assist by H. Turkoglu),2,36-21,,
11:03.0,,,36-21,,T. Robinson misses 2-pt shot from 3 ft
11:02.0,,,36-21,,Offensive rebound by N. Noel
11:02.0,,,36-23,2,N. Noel makes 2-pt shot at rim
10:47.0,S. Hawes misses 3-pt shot from 25 ft,,36-23,,
10:46.0,,,36-23,,Defensive rebound by T. Robinson
10:37.0,Personal foul by J. Redick (drawn by H. Thompson),,36-23,,
10:28.0,,,36-23,,J. Grant misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by H. Turkoglu,,36-23,,
10:22.0,J. Redick misses 3-pt shot from 25 ft,,36-23,,
10:20.0,,,36-23,,Defensive rebound by I. Canaan
10:20.0,Personal foul by H. Turkoglu (drawn by I. Canaan),,36-23,,
10:20.0,,,36-23,,R. Covington enters the game for H. Thompson
10:00.0,,,36-23,,I. Canaan misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by J. Redick,,36-23,,
9:51.0,J. Redick misses 3-pt shot from 26 ft,,36-23,,
9:49.0,,,36-23,,Defensive rebound by I. Canaan
9:42.0,,,36-23,,J. Grant misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by S. Hawes,,36-23,,
9:33.0,A. Rivers makes 2-pt shot from 1 ft,2,38-23,,
9:33.0,,,38-23,,Philadelphia full timeout
9:33.0,,,38-23,,I. Smith enters the game for I. Canaan
9:33.0,,,38-23,,H. Thompson enters the game for T. Robinson
9:19.0,Personal foul by G. Davis (drawn by N. Noel),,38-23,,
9:10.0,,,38-23,,I. Smith misses 2-pt shot from 5 ft
9:08.0,Defensive rebound by S. Hawes,,38-23,,
8:53.0,Shooting foul by H. Thompson (drawn by G. Davis),,38-23,,
8:53.0,G. Davis makes free throw 1 of 2,1,39-23,,
8:53.0,,,39-23,,L. Mbah a Moute enters the game for H. Thompson
8:53.0,G. Davis makes free throw 2 of 2,1,40-23,,
8:43.0,,,40-23,,J. Grant misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by H. Turkoglu,,40-23,,
8:35.0,J. Redick misses 2-pt shot from 20 ft,,40-23,,
8:33.0,,,40-23,,Defensive rebound by R. Covington
8:24.0,,,40-23,,Shooting foul by H. Turkoglu (drawn by N. Noel)
8:24.0,,,40-25,2,N. Noel makes 2-pt shot at rim
8:24.0,,,40-26,1,N. Noel makes free throw 1 of 1
8:14.0,A. Rivers makes 2-pt shot from 17 ft,2,42-26,,
8:03.0,Personal foul by S. Hawes (drawn by L. Mbah a Moute),,42-26,,
8:03.0,,,42-26,,L. Mbah a Moute misses free throw 1 of 2
8:03.0,,,42-26,,Offensive rebound by Team
8:03.0,,,42-26,,L. Mbah a Moute misses free throw 2 of 2
8:01.0,Defensive rebound by A. Rivers,,42-26,,
7:47.0,J. Redick makes 3-pt shot from 24 ft (assist by A. Rivers),3,45-26,,
7:43.0,,,45-26,,Offensive foul by J. Grant
7:43.0,,,45-26,,Turnover by J. Grant (offensive foul)
7:43.0,B. Griffin enters the game for S. Hawes,,45-26,,
7:28.0,H. Turkoglu misses 3-pt shot from 26 ft,,45-26,,
7:26.0,,,45-26,,Defensive rebound by J. Grant
7:16.0,,,45-26,,Shooting foul by J. Redick (drawn by R. Covington)
7:16.0,,,45-27,1,R. Covington makes free throw 1 of 2
7:16.0,,,45-28,1,R. Covington makes free throw 2 of 2
7:00.0,A. Rivers misses 2-pt shot from 18 ft,,45-28,,
6:59.0,,,45-28,,Defensive rebound by R. Covington
6:53.0,,,45-30,2,I. Smith makes 2-pt shot from 5 ft
6:35.0,H. Turkoglu misses 3-pt shot from 24 ft,,45-30,,
6:34.0,,,45-30,,Defensive rebound by L. Mbah a Moute
6:28.0,,,45-32,2,I. Smith makes 2-pt shot from 3 ft
6:13.0,J. Redick makes 2-pt shot from 20 ft (assist by A. Rivers),2,47-32,,
5:58.0,,,47-35,3,J. Grant makes 3-pt shot from 22 ft (assist by I. Smith)
5:50.0,LA Clippers full timeout,,47-35,,
5:50.0,M. Barnes enters the game for A. Rivers,,47-35,,
5:50.0,D. Jordan enters the game for G. Davis,,47-35,,
5:50.0,C. Paul enters the game for H. Turkoglu,,47-35,,
5:45.0,Shooting foul by J. Grant (drawn by C. Paul),,47-35,,
5:45.0,C. Paul makes free throw 1 of 2,1,48-35,,
5:45.0,C. Paul makes free throw 2 of 2,1,49-35,,
5:27.0,,,49-37,2,N. Noel makes 2-pt shot from 4 ft
5:04.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,52-37,,
4:52.0,,,52-37,,R. Covington misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by B. Griffin,,52-37,,
4:38.0,M. Barnes misses 3-pt shot from 27 ft,,52-37,,
4:34.0,,,52-37,,Defensive rebound by N. Noel
4:28.0,,,52-39,2,I. Smith makes 2-pt shot from 2 ft
4:12.0,Shooting foul by R. Covington (drawn by D. Jordan),,52-39,,
4:12.0,D. Jordan misses free throw 1 of 2,,52-39,,
4:12.0,Offensive rebound by Team,,52-39,,
4:12.0,D. Jordan makes free throw 2 of 2,1,53-39,,
3:58.0,,,53-39,,L. Mbah a Moute misses 2-pt shot from 16 ft
3:55.0,Defensive rebound by C. Paul,,53-39,,
3:50.0,Turnover by B. Griffin (bad pass),,53-39,,
3:37.0,,,53-39,,Turnover by J. Grant (offensive foul)
3:37.0,,,53-39,,Offensive charge foul by J. Grant
3:37.0,,,53-39,,H. Thompson enters the game for J. Grant
3:31.0,C. Paul misses 2-pt shot from 17 ft,,53-39,,
3:28.0,Offensive rebound by D. Jordan,,53-39,,
3:28.0,D. Jordan misses 2-pt shot at rim,,53-39,,
3:27.0,,,53-39,,Defensive rebound by L. Mbah a Moute
3:19.0,,,53-39,,R. Covington misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by D. Jordan,,53-39,,
3:00.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,56-39,,
2:41.0,,,56-41,2,I. Smith makes 2-pt shot from 4 ft
2:16.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,59-41,,
2:04.0,,,59-41,,N. Noel misses 2-pt shot from 8 ft
2:01.0,Defensive rebound by D. Jordan,,59-41,,
1:59.0,Turnover by C. Paul (lost ball; steal by N. Noel),,59-41,,
1:50.0,,,59-44,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by H. Thompson)
1:25.0,B. Griffin misses 2-pt shot from 13 ft,,59-44,,
1:24.0,Offensive rebound by D. Jordan,,59-44,,
1:24.0,Official timeout,,59-44,,
1:24.0,Shooting foul by H. Thompson (drawn by D. Jordan),,59-44,,
1:24.0,D. Jordan misses free throw 1 of 2,,59-44,,
1:24.0,Offensive rebound by Team,,59-44,,
1:24.0,D. Jordan makes free throw 2 of 2,1,60-44,,
1:18.0,Personal foul by J. Redick (drawn by N. Noel),,60-44,,
1:18.0,,,60-45,1,N. Noel makes free throw 1 of 2
1:18.0,A. Rivers enters the game for J. Redick,,60-45,,
1:18.0,,,60-45,,N. Noel misses free throw 2 of 2
1:16.0,Defensive rebound by M. Barnes,,60-45,,
1:14.0,,,60-45,,Personal foul by I. Smith (drawn by D. Jordan)
1:14.0,D. Jordan misses free throw 1 of 2,,60-45,,
1:14.0,Offensive rebound by Team,,60-45,,
1:14.0,D. Jordan misses free throw 2 of 2,,60-45,,
1:12.0,Offensive rebound by B. Griffin,,60-45,,
1:06.0,A. Rivers misses 3-pt shot from 26 ft,,60-45,,
1:04.0,Offensive rebound by D. Jordan,,60-45,,
1:03.0,C. Paul misses 2-pt shot from 17 ft,,60-45,,
1:00.0,Offensive rebound by D. Jordan,,60-45,,
1:00.0,D. Jordan makes 2-pt shot at rim,2,62-45,,
0:43.0,,,62-48,3,I. Smith makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
0:42.0,,,62-48,,Personal foul by I. Smith (drawn by D. Jordan)
0:42.0,D. Jordan misses free throw 1 of 2,,62-48,,
0:42.0,Offensive rebound by Team,,62-48,,
