time,Philadelphia,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. N. Noel (R. Gay gains possession),,,,Jump ball: D. Cousins vs. N. Noel (R. Gay gains possession)
11:44.0,,,0-2,2,B. McLemore makes 2-pt shot from 7 ft
11:31.0,I. Smith makes 3-pt shot from 24 ft (assist by L. Mbah a Moute),3,3-2,,
11:23.0,,,3-2,,Shooting foul by J. Sampson (drawn by D. Cousins)
11:23.0,,,3-3,1,D. Cousins makes free throw 1 of 2
11:23.0,,,3-4,1,D. Cousins makes free throw 2 of 2
11:03.0,N. Noel misses 2-pt shot from 4 ft,,3-4,,
11:02.0,,,3-4,,Defensive rebound by D. Cousins
10:55.0,,,3-4,,D. Cousins misses 2-pt shot from 2 ft (block by N. Noel)
10:53.0,Defensive rebound by I. Smith,,3-4,,
10:48.0,I. Smith makes 2-pt shot from 4 ft,2,5-4,,
10:35.0,,,5-4,,D. Cousins misses 2-pt shot from 4 ft
10:34.0,,,5-4,,Offensive rebound by Team
10:23.0,,,5-4,,D. Cousins misses 2-pt shot from 18 ft
10:22.0,Defensive rebound by L. Mbah a Moute,,5-4,,
10:14.0,I. Smith makes 2-pt shot from 3 ft,2,7-4,,
9:46.0,,,7-4,,D. Cousins misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by N. Noel,,7-4,,
9:33.0,I. Smith misses 2-pt shot from 2 ft,,7-4,,
9:32.0,,,7-4,,Defensive rebound by D. Cousins
9:25.0,,,7-4,,O. Casspi misses 3-pt shot from 23 ft
9:24.0,Defensive rebound by N. Noel,,7-4,,
9:08.0,,,7-4,,Def 3 sec tech foul by R. Gay
9:08.0,R. Covington misses technical free throw,,7-4,,
9:08.0,Offensive rebound by Team,,7-4,,
8:58.0,Turnover by I. Smith (bad pass; steal by D. Cousins),,7-4,,
8:54.0,,,7-6,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. McCallum)
8:35.0,I. Smith makes 2-pt shot from 3 ft,2,9-6,,
8:20.0,,,9-6,,R. Gay misses 2-pt shot from 6 ft
8:19.0,Defensive rebound by L. Mbah a Moute,,9-6,,
8:08.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,9-6,,
8:07.0,Offensive rebound by N. Noel,,9-6,,
8:02.0,J. Sampson makes 3-pt shot from 24 ft (assist by N. Noel),3,12-6,,
7:57.0,,,12-6,,Sacramento full timeout
7:46.0,,,12-6,,R. Gay misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by L. Mbah a Moute,,12-6,,
7:33.0,N. Noel misses 2-pt shot from 16 ft,,12-6,,
7:32.0,,,12-6,,Defensive rebound by O. Casspi
7:19.0,,,12-6,,R. McCallum misses 2-pt shot from 9 ft
7:19.0,Defensive rebound by J. Sampson,,12-6,,
7:07.0,N. Noel misses 2-pt shot from 8 ft (block by R. Gay),,12-6,,
7:05.0,,,12-6,,Defensive rebound by O. Casspi
7:03.0,,,12-8,2,B. McLemore makes 2-pt shot at rim (assist by O. Casspi)
6:44.0,,,12-8,,Personal foul by B. McLemore (drawn by J. Sampson)
6:35.0,I. Smith misses 2-pt shot from 3 ft (block by D. Cousins),,12-8,,
6:34.0,Offensive rebound by N. Noel,,12-8,,
6:34.0,N. Noel makes 2-pt shot at rim,2,14-8,,
6:10.0,,,14-11,3,B. McLemore makes 3-pt shot from 23 ft (assist by D. Cousins)
5:50.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by I. Smith),3,17-11,,
5:38.0,,,17-11,,D. Cousins misses 2-pt shot at rim
5:37.0,,,17-11,,Offensive rebound by D. Cousins
5:37.0,,,17-13,2,D. Cousins makes 2-pt shot at rim
5:31.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,19-13,,
5:15.0,,,19-13,,Turnover by R. Gay (lost ball; steal by L. Mbah a Moute)
5:08.0,J. Sampson misses 3-pt shot from 22 ft,,19-13,,
5:08.0,,,19-13,,Defensive rebound by R. Gay
5:02.0,,,19-13,,J. Thompson enters the game for R. Gay
5:02.0,I. Canaan enters the game for L. Mbah a Moute,,19-13,,
5:02.0,J. Grant enters the game for I. Smith,,19-13,,
5:02.0,T. Robinson enters the game for J. Sampson,,19-13,,
4:55.0,,,19-13,,Shooting foul by J. Grant (drawn by D. Cousins)
4:55.0,,,19-14,1,D. Cousins makes free throw 1 of 2
4:55.0,F. Aldemir enters the game for N. Noel,,19-14,,
4:55.0,,,19-15,1,D. Cousins makes free throw 2 of 2
4:55.0,Philadelphia full timeout,,19-15,,
4:39.0,Offensive charge foul by J. Grant,,19-15,,
4:39.0,Turnover by J. Grant (offensive foul),,19-15,,
4:30.0,Personal foul by T. Robinson (drawn by J. Thompson),,19-15,,
4:22.0,,,19-15,,D. Cousins misses 2-pt shot from 4 ft
4:20.0,,,19-15,,Offensive rebound by J. Thompson
4:20.0,,,19-15,,J. Thompson misses 2-pt shot at rim
4:19.0,,,19-15,,Offensive rebound by J. Thompson
