time,Denver,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Nurkic (K. Singler gains possession),,,,Jump ball: A. Drummond vs. J. Nurkic (K. Singler gains possession)
11:39.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft
11:37.0,Defensive rebound by K. Faried,,0-0,,
11:33.0,J. Nurkic makes 2-pt shot at rim (assist by T. Lawson),2,2-0,,
11:17.0,,,2-2,2,G. Monroe makes 2-pt shot at rim (assist by K. Singler)
10:51.0,K. Faried misses 2-pt shot from 5 ft,,2-2,,
10:50.0,,,2-2,,Defensive rebound by G. Monroe
10:40.0,,,2-2,,K. Singler misses 3-pt shot from 24 ft
10:39.0,,,2-2,,Offensive rebound by G. Monroe
10:31.0,,,2-4,2,G. Monroe makes 2-pt shot from 5 ft
10:10.0,T. Lawson makes 2-pt shot at rim,2,4-4,,
9:59.0,,,4-4,,K. Caldwell-Pope misses 2-pt shot from 17 ft (block by A. Afflalo)
9:58.0,,,4-4,,Offensive rebound by Team
9:44.0,,,4-4,,A. Drummond misses 2-pt shot from 4 ft
9:41.0,Defensive rebound by J. Nurkic,,4-4,,
9:31.0,W. Chandler misses 3-pt shot from 23 ft,,4-4,,
9:30.0,,,4-4,,Defensive rebound by A. Drummond
9:26.0,,,4-4,,Shooting foul by W. Chandler (drawn by G. Monroe)
9:26.0,,,4-5,1,G. Monroe makes free throw 1 of 2
9:26.0,,,4-6,1,G. Monroe makes free throw 2 of 2
9:07.0,K. Faried misses 2-pt shot from 6 ft,,4-6,,
9:05.0,,,4-6,,Defensive rebound by G. Monroe
8:55.0,,,4-6,,D. Augustin misses 2-pt shot from 5 ft
8:54.0,Defensive rebound by T. Lawson,,4-6,,
8:49.0,W. Chandler misses 2-pt shot from 19 ft,,4-6,,
8:48.0,,,4-6,,Defensive rebound by A. Drummond
8:39.0,,,4-6,,Turnover by D. Augustin (bad pass; steal by J. Nurkic)
8:23.0,A. Afflalo makes 2-pt shot at rim (assist by W. Chandler),2,6-6,,
8:02.0,,,6-6,,G. Monroe misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by W. Chandler,,6-6,,
7:49.0,A. Afflalo misses 2-pt shot from 11 ft,,6-6,,
7:47.0,Offensive rebound by J. Nurkic,,6-6,,
7:46.0,J. Nurkic misses 2-pt shot from 2 ft,,6-6,,
7:45.0,Offensive rebound by J. Nurkic,,6-6,,
7:42.0,J. Nurkic misses 2-pt shot at rim,,6-6,,
7:41.0,,,6-6,,Defensive rebound by G. Monroe
7:36.0,,,6-6,,K. Singler misses 3-pt shot from 27 ft
7:35.0,Defensive rebound by A. Afflalo,,6-6,,
7:19.0,T. Lawson misses 2-pt shot at rim,,6-6,,
7:19.0,,,6-6,,Defensive rebound by G. Monroe
7:11.0,,,6-8,2,A. Drummond makes 2-pt shot at rim (assist by D. Augustin)
6:52.0,A. Afflalo makes 2-pt shot from 16 ft (assist by K. Faried),2,8-8,,
6:37.0,,,8-8,,K. Singler misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by J. Nurkic,,8-8,,
6:25.0,J. Nurkic misses 2-pt shot from 5 ft,,8-8,,
6:24.0,Offensive rebound by J. Nurkic,,8-8,,
6:23.0,J. Nurkic misses 2-pt shot at rim,,8-8,,
6:22.0,,,8-8,,Defensive rebound by G. Monroe
6:10.0,,,8-10,2,K. Singler makes 2-pt shot from 13 ft
6:06.0,Denver full timeout,,8-10,,
6:00.0,Shooting foul by A. Drummond (drawn by J. Nurkic),,8-10,,
6:00.0,J. Nurkic makes free throw 1 of 2,1,9-10,,
6:00.0,J. Nurkic makes free throw 2 of 2,1,10-10,,
5:47.0,,,10-10,,K. Caldwell-Pope misses 2-pt shot from 16 ft
5:46.0,Defensive rebound by J. Nurkic,,10-10,,
5:28.0,A. Afflalo misses 2-pt shot from 17 ft,,10-10,,
5:27.0,,,10-10,,Defensive rebound by A. Drummond
5:23.0,Violation by K. Faried (def goaltending),,10-10,,
5:23.0,,,10-12,2,D. Augustin makes 2-pt shot at rim
5:02.0,W. Chandler makes 3-pt shot from 27 ft (assist by T. Lawson),3,13-12,,
4:48.0,,,13-14,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by D. Augustin)
4:48.0,,,13-14,,Shooting foul by K. Faried (drawn by K. Caldwell-Pope)
4:48.0,G. Harris enters the game for A. Afflalo,,13-14,,
4:48.0,,,13-15,1,K. Caldwell-Pope makes free throw 1 of 1
4:34.0,Offensive foul by K. Faried,,13-15,,
4:34.0,Turnover by K. Faried (offensive foul),,13-15,,
4:34.0,D. Arthur enters the game for K. Faried,,13-15,,
4:15.0,,,13-15,,Turnover by D. Augustin (bad pass)
4:05.0,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson),2,15-15,,
3:42.0,,,15-15,,A. Drummond misses 2-pt shot from 3 ft
3:38.0,Defensive rebound by J. Nurkic,,15-15,,
3:35.0,T. Lawson misses 2-pt shot from 4 ft (block by G. Monroe),,15-15,,
3:33.0,,,15-15,,Defensive rebound by K. Caldwell-Pope
3:27.0,,,15-15,,K. Singler misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by W. Chandler,,15-15,,
3:19.0,D. Arthur misses 2-pt shot from 18 ft,,15-15,,
3:18.0,,,15-15,,Defensive rebound by K. Singler
3:06.0,,,15-17,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
3:06.0,,,15-17,,Shooting foul by D. Arthur (drawn by G. Monroe)
3:06.0,,,15-17,,C. Butler enters the game for K. Singler
3:06.0,D. Gallinari enters the game for W. Chandler,,15-17,,
3:06.0,,,15-18,1,G. Monroe makes free throw 1 of 1
2:51.0,G. Harris makes 2-pt shot from 15 ft,2,17-18,,
2:33.0,,,17-20,2,D. Augustin makes 2-pt shot at rim
2:16.0,D. Arthur misses 2-pt shot from 17 ft,,17-20,,
2:15.0,,,17-20,,Defensive rebound by A. Drummond
2:01.0,,,17-20,,G. Monroe misses 2-pt shot from 4 ft
2:00.0,,,17-20,,Offensive rebound by A. Drummond
1:59.0,,,17-22,2,A. Drummond makes 2-pt shot at rim
1:41.0,D. Arthur makes 2-pt shot from 18 ft (assist by T. Lawson),2,19-22,,
1:38.0,,,19-22,,Detroit full timeout
1:38.0,J. Hickson enters the game for J. Nurkic,,19-22,,
1:38.0,,,19-22,,A. Tolliver enters the game for G. Monroe
1:38.0,,,19-22,,J. Meeks enters the game for K. Caldwell-Pope
1:20.0,,,19-22,,D. Augustin misses 2-pt shot at rim
1:18.0,,,19-22,,Offensive rebound by A. Drummond
1:17.0,,,19-24,2,A. Drummond makes 2-pt shot at rim
1:10.0,Turnover by T. Lawson (bad pass),,19-24,,
1:10.0,,,19-24,,J. Lucas III enters the game for D. Augustin
1:02.0,,,19-26,2,J. Meeks makes 2-pt shot from 18 ft (assist by J. Lucas III)
0:39.0,J. Hickson misses 2-pt shot from 5 ft,,19-26,,
0:38.0,,,19-26,,Defensive rebound by A. Drummond
0:30.0,,,19-28,2,C. Butler makes 2-pt shot from 19 ft (assist by J. Lucas III)
0:10.0,T. Lawson makes 2-pt shot from 12 ft,2,21-28,,
0:01.0,,,21-28,,J. Lucas III misses 2-pt shot from 16 ft
0:01.0,Defensive rebound by D. Gallinari,,21-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by A. Tolliver (drawn by D. Arthur),,21-28,,
11:45.0,D. Arthur makes free throw 1 of 2,1,22-28,,
11:45.0,D. Arthur makes free throw 2 of 2,1,23-28,,
11:22.0,,,23-30,2,A. Drummond makes 2-pt shot from 5 ft
11:17.0,,,23-30,,Personal foul by J. Lucas III (drawn by T. Lawson)
11:06.0,D. Gallinari makes 3-pt shot from 26 ft (assist by G. Harris),3,26-30,,
10:50.0,,,26-32,2,J. Meeks makes 2-pt shot from 7 ft (assist by J. Lucas III)
10:45.0,Shooting foul by J. Lucas III (drawn by T. Lawson),,26-32,,
10:45.0,T. Lawson makes free throw 1 of 2,1,27-32,,
10:45.0,T. Lawson makes free throw 2 of 2,1,28-32,,
10:18.0,,,28-32,,C. Butler misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by J. Hickson,,28-32,,
10:13.0,Turnover by T. Lawson (bad pass; steal by A. Tolliver),,28-32,,
10:09.0,,,28-32,,Shooting foul by G. Harris (drawn by A. Drummond)
10:09.0,,,28-32,,A. Drummond misses free throw 1 of 2
10:09.0,,,28-32,,Offensive rebound by Team
10:09.0,E. Green enters the game for T. Lawson,,28-32,,
10:09.0,A. Afflalo enters the game for G. Harris,,28-32,,
10:09.0,,,28-32,,A. Drummond misses free throw 2 of 2
10:08.0,Defensive rebound by J. Hickson,,28-32,,
9:54.0,Turnover by J. Hickson (traveling),,28-32,,
9:42.0,,,28-32,,A. Tolliver misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by Team,,28-32,,
9:19.0,D. Arthur makes 2-pt shot from 20 ft (assist by D. Gallinari),2,30-32,,
8:59.0,,,30-32,,Shooting foul by D. Arthur (drawn by A. Drummond)
8:59.0,Official timeout,,30-32,,
8:59.0,W. Chandler enters the game for D. Arthur,,30-32,,
8:59.0,,,30-32,,A. Drummond misses free throw 1 of 2
8:59.0,,,30-32,,Offensive rebound by Team
8:59.0,,,30-33,1,A. Drummond makes free throw 2 of 2
8:44.0,D. Gallinari misses 2-pt shot from 1 ft,,30-33,,
8:42.0,,,30-33,,Defensive rebound by A. Tolliver
8:28.0,,,30-33,,C. Butler misses 3-pt shot from 23 ft
8:27.0,Defensive rebound by D. Gallinari,,30-33,,
8:08.0,D. Gallinari misses 3-pt shot from 25 ft,,30-33,,
8:07.0,,,30-33,,Defensive rebound by A. Tolliver
8:00.0,,,30-36,3,C. Butler makes 3-pt shot from 23 ft (assist by J. Lucas III)
7:39.0,W. Chandler makes 2-pt shot from 1 ft,2,32-36,,
