time,Oklahoma City,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Valanciunas (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. J. Valanciunas (S. Ibaka gains possession)
11:39.0,S. Adams makes 2-pt shot at rim (assist by R. Jackson),2,2-0,,
11:24.0,Def 3 sec tech foul by S. Adams,,2-0,,
11:24.0,,,2-1,1,D. DeRozan makes technical free throw
11:15.0,,,2-3,2,T. Ross makes 2-pt shot from 15 ft (assist by J. Valanciunas)
10:53.0,L. Thomas makes 2-pt shot from 13 ft (assist by S. Adams),2,4-3,,
10:35.0,,,4-3,,Turnover by D. DeRozan (bad pass; steal by S. Adams)
10:16.0,S. Adams misses 2-pt shot from 9 ft,,4-3,,
10:04.0,,,4-3,,Defensive rebound by K. Lowry
10:04.0,,,4-3,,Shooting foul by R. Jackson (drawn by P. Patterson)
10:04.0,,,4-4,1,P. Patterson makes free throw 1 of 2
10:04.0,,,4-5,1,P. Patterson makes free throw 2 of 2
9:45.0,S. Ibaka makes 2-pt shot from 12 ft (assist by R. Jackson),2,6-5,,
9:27.0,,,6-5,,K. Lowry misses 3-pt shot from 26 ft
9:26.0,,,6-5,,Offensive rebound by J. Valanciunas
9:23.0,,,6-5,,J. Valanciunas misses 2-pt shot from 2 ft
9:22.0,Defensive rebound by S. Ibaka,,6-5,,
9:11.0,Shooting foul by J. Valanciunas (drawn by L. Thomas),,6-5,,
9:11.0,L. Thomas makes free throw 1 of 2,1,7-5,,
9:11.0,L. Thomas makes free throw 2 of 2,1,8-5,,
8:54.0,,,8-7,2,D. DeRozan makes 2-pt shot from 2 ft
8:35.0,P. Jones makes 2-pt shot from 13 ft (assist by R. Jackson),2,10-7,,
8:19.0,,,10-7,,T. Ross misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by R. Jackson,,10-7,,
8:02.0,Turnover by L. Thomas (traveling),,10-7,,
7:45.0,,,10-9,2,J. Valanciunas makes 2-pt shot from 3 ft
7:39.0,,,10-9,,Personal foul by T. Ross (drawn by P. Jones)
7:35.0,S. Ibaka makes 3-pt shot from 24 ft (assist by L. Thomas),3,13-9,,
7:18.0,,,13-9,,T. Ross misses 3-pt shot from 25 ft
7:18.0,,,13-9,,Offensive rebound by J. Valanciunas
7:08.0,,,13-9,,Shooting foul by S. Ibaka (drawn by J. Valanciunas)
7:08.0,,,13-10,1,J. Valanciunas makes free throw 1 of 2
7:08.0,,,13-11,1,J. Valanciunas makes free throw 2 of 2
6:48.0,L. Thomas makes 2-pt shot from 11 ft (assist by R. Jackson),2,15-11,,
6:33.0,,,15-13,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by T. Ross)
6:15.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Jackson),2,17-13,,
5:57.0,,,17-16,3,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan)
5:49.0,Oklahoma City full timeout,,17-16,,
5:42.0,S. Adams makes 2-pt shot from 5 ft,2,19-16,,
5:21.0,,,19-16,,T. Ross misses 2-pt shot from 5 ft
5:19.0,Defensive rebound by S. Adams,,19-16,,
5:07.0,P. Jones misses 3-pt shot from 25 ft,,19-16,,
5:06.0,,,19-16,,Defensive rebound by P. Patterson
4:54.0,,,19-16,,J. Valanciunas misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by L. Thomas,,19-16,,
4:42.0,Shooting foul by J. Valanciunas (drawn by S. Adams),,19-16,,
4:42.0,S. Adams makes free throw 1 of 2,1,20-16,,
4:42.0,,,20-16,,C. Hayes enters the game for J. Valanciunas
