time,Washington,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gortat (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. M. Gortat (R. Westbrook gains possession)
11:45.0,,,0-0,,K. Durant misses 3-pt shot from 23 ft
11:44.0,Defensive rebound by B. Beal,,0-0,,
11:35.0,M. Gortat makes 2-pt shot from 5 ft (assist by P. Pierce),2,2-0,,
11:20.0,,,2-2,2,R. Westbrook makes 2-pt shot from 15 ft
11:03.0,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall),2,4-2,,
10:43.0,,,4-2,,R. Westbrook misses 2-pt shot from 15 ft
10:43.0,Defensive rebound by B. Beal,,4-2,,
10:33.0,N. Hilario misses 2-pt shot from 16 ft,,4-2,,
10:32.0,Offensive rebound by Team,,4-2,,
10:32.0,,,4-2,,Loose ball foul by S. Ibaka (drawn by M. Gortat)
10:18.0,Turnover by P. Pierce (lost ball; steal by R. Westbrook),,4-2,,
10:14.0,,,4-4,2,R. Westbrook makes 2-pt shot at rim
9:54.0,N. Hilario misses 2-pt shot at rim,,4-4,,
9:53.0,,,4-4,,Defensive rebound by S. Adams
9:44.0,,,4-6,2,K. Durant makes 2-pt shot from 9 ft
9:19.0,M. Gortat misses 2-pt shot from 8 ft,,4-6,,
9:18.0,,,4-6,,Defensive rebound by R. Westbrook
9:05.0,,,4-9,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Ibaka)
9:04.0,,,4-9,,Personal foul by S. Adams (drawn by N. Hilario)
9:04.0,Technical foul by N. Hilario,,4-9,,
9:04.0,,,4-10,1,K. Durant makes technical free throw
8:40.0,P. Pierce makes 2-pt shot from 16 ft,2,6-10,,
8:20.0,,,6-10,,S. Ibaka misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by P. Pierce,,6-10,,
8:13.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,9-10,,
7:56.0,,,9-10,,R. Westbrook misses 2-pt shot from 14 ft
7:55.0,Defensive rebound by J. Wall,,9-10,,
7:51.0,,,9-10,,Personal block foul by R. Westbrook (drawn by J. Wall)
7:51.0,,,9-10,,K. Perkins enters the game for S. Adams
7:45.0,,,9-10,,Personal foul by A. Roberson (drawn by N. Hilario)
7:40.0,N. Hilario makes 2-pt shot from 13 ft (assist by B. Beal),2,11-10,,
7:23.0,,,11-10,,Shooting foul by P. Pierce (drawn by K. Durant)
7:23.0,,,11-12,2,K. Durant makes 2-pt shot from 1 ft
7:23.0,,,11-13,1,K. Durant makes free throw 1 of 1
7:10.0,Shooting foul by K. Durant (drawn by P. Pierce),,11-13,,
7:10.0,P. Pierce makes free throw 1 of 2,1,12-13,,
7:10.0,P. Pierce makes free throw 2 of 2,1,13-13,,
7:00.0,Personal foul by J. Wall (drawn by R. Westbrook),,13-13,,
6:53.0,,,13-13,,Turnover by A. Roberson (bad pass; steal by M. Gortat)
6:45.0,J. Wall misses 2-pt shot from 13 ft,,13-13,,
6:45.0,Offensive rebound by M. Gortat,,13-13,,
6:31.0,P. Pierce misses 3-pt shot from 24 ft,,13-13,,
6:28.0,,,13-13,,Defensive rebound by Team
6:07.0,,,13-13,,R. Westbrook misses 2-pt shot from 17 ft
6:06.0,,,13-13,,Offensive rebound by A. Roberson
5:55.0,,,13-13,,Shooting foul by B. Beal (drawn by R. Westbrook)
5:55.0,,,13-13,,Oklahoma City full timeout
5:55.0,,,13-14,1,R. Westbrook makes free throw 1 of 2
5:55.0,,,13-15,1,R. Westbrook makes free throw 2 of 2
5:39.0,B. Beal misses 2-pt shot from 19 ft,,13-15,,
5:38.0,,,13-15,,Defensive rebound by K. Perkins
5:33.0,,,13-17,2,R. Westbrook makes 2-pt shot from 2 ft
5:21.0,B. Beal makes 2-pt shot from 1 ft,2,15-17,,
4:55.0,,,15-17,,Turnover by S. Ibaka (lost ball)
4:37.0,P. Pierce misses 2-pt shot at rim,,15-17,,
4:36.0,,,15-17,,Defensive rebound by A. Roberson
4:29.0,,,15-17,,S. Ibaka misses 2-pt shot from 15 ft
4:28.0,Defensive rebound by B. Beal,,15-17,,
4:17.0,N. Hilario makes 2-pt shot from 14 ft (assist by B. Beal),2,17-17,,
4:04.0,,,17-17,,R. Westbrook misses 2-pt shot from 14 ft
4:03.0,Defensive rebound by M. Gortat,,17-17,,
3:54.0,Shooting foul by S. Ibaka (drawn by J. Wall),,17-17,,
3:54.0,J. Wall makes free throw 1 of 2,1,18-17,,
3:54.0,R. Butler enters the game for P. Pierce,,18-17,,
3:54.0,K. Humphries enters the game for N. Hilario,,18-17,,
3:54.0,,,18-17,,P. Jones enters the game for K. Durant
3:54.0,,,18-17,,N. Collison enters the game for S. Ibaka
3:54.0,J. Wall makes free throw 2 of 2,1,19-17,,
3:41.0,,,19-17,,Shooting foul by J. Wall (drawn by R. Westbrook)
3:41.0,Technical foul by J. Wall (drawn by R. Westbrook),,19-17,,
3:41.0,,,19-17,,R. Westbrook misses technical free throw
3:41.0,,,19-17,,Offensive rebound by Team
3:41.0,,,19-18,1,R. Westbrook makes free throw 1 of 2
3:41.0,A. Miller enters the game for J. Wall,,19-18,,
3:41.0,,,19-19,1,R. Westbrook makes free throw 2 of 2
3:26.0,R. Butler makes 3-pt shot from 23 ft (assist by B. Beal),3,22-19,,
3:15.0,Violation by M. Gortat (kicked ball),,22-19,,
3:15.0,,,22-19,,A. Morrow enters the game for A. Roberson
3:08.0,,,22-19,,R. Westbrook misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by B. Beal,,22-19,,
3:06.0,,,22-19,,Personal foul by R. Westbrook (drawn by B. Beal)
3:06.0,,,22-19,,Technical foul by R. Westbrook (drawn by B. Beal)
3:06.0,B. Beal makes technical free throw,1,23-19,,
3:06.0,B. Beal makes free throw 1 of 2,1,24-19,,
3:06.0,,,24-19,,R. Jackson enters the game for R. Westbrook
3:06.0,B. Beal makes free throw 2 of 2,1,25-19,,
2:49.0,,,25-21,2,N. Collison makes 2-pt shot at rim (assist by K. Perkins)
2:31.0,K. Humphries misses 2-pt shot from 12 ft (block by N. Collison),,25-21,,
2:29.0,,,25-21,,Defensive rebound by K. Perkins
2:16.0,,,25-21,,R. Jackson misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by M. Gortat,,25-21,,
1:57.0,A. Miller makes 2-pt shot from 1 ft,2,27-21,,
1:44.0,,,27-23,2,N. Collison makes 2-pt shot from 16 ft (assist by R. Jackson)
1:34.0,Washington full timeout,,27-23,,
1:25.0,K. Humphries misses 2-pt shot from 16 ft,,27-23,,
1:24.0,,,27-23,,Defensive rebound by R. Jackson
1:04.0,,,27-23,,N. Collison misses 2-pt shot from 4 ft
1:04.0,Defensive rebound by Team,,27-23,,
1:04.0,,,27-23,,Loose ball foul by K. Perkins (drawn by A. Miller)
1:04.0,A. Miller makes free throw 1 of 2,1,28-23,,
1:04.0,M. Webster enters the game for M. Gortat,,28-23,,
1:04.0,K. Seraphin enters the game for B. Beal,,28-23,,
1:04.0,A. Miller makes free throw 2 of 2,1,29-23,,
0:51.0,,,29-26,3,A. Morrow makes 3-pt shot from 24 ft (assist by N. Collison)
0:37.0,K. Seraphin misses 2-pt shot from 20 ft,,29-26,,
0:36.0,,,29-26,,Defensive rebound by P. Jones
0:24.0,,,29-28,2,K. Perkins makes 2-pt shot from 4 ft
0:01.0,R. Butler misses 2-pt shot from 17 ft,,29-28,,
0:00.0,,,29-28,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by M. Webster (step out of bounds),,29-28,,
11:33.0,,,29-30,2,K. Perkins makes 2-pt shot at rim (assist by R. Jackson)
11:33.0,,,29-30,,Shooting foul by K. Seraphin (drawn by K. Perkins)
11:33.0,,,29-30,,K. Perkins misses free throw 1 of 1
11:33.0,Defensive rebound by K. Humphries,,29-30,,
11:15.0,Shooting foul by K. Perkins (drawn by M. Webster),,29-30,,
11:15.0,M. Webster makes free throw 1 of 2,1,30-30,,
11:15.0,M. Webster misses free throw 2 of 2,,30-30,,
11:14.0,,,30-30,,Defensive rebound by N. Collison
10:57.0,,,30-30,,R. Jackson misses 2-pt shot from 2 ft
10:55.0,,,30-30,,Offensive rebound by K. Perkins
