time,Portland,pts.away,score,pts.home,Philadelphia
1:17.0,Shooting foul by D. Gordon (drawn by C. Kaman),,21-16,,
1:17.0,C. Kaman misses free throw 1 of 2,,21-16,,
1:17.0,Offensive rebound by Team,,21-16,,
1:17.0,,,21-16,,M. Carter-Williams enters the game for K. McDaniels
1:17.0,C. Kaman makes free throw 2 of 2,1,22-16,,
1:06.0,,,22-18,2,N. Noel makes 2-pt shot from 15 ft (assist by A. Shved)
0:53.0,Turnover by W. Barton (bad pass; steal by A. Shved),,22-18,,
0:53.0,J. Freeland enters the game for L. Aldridge,,22-18,,
0:47.0,,,22-18,,H. Thompson misses 2-pt shot from 15 ft
0:45.0,Defensive rebound by W. Barton,,22-18,,
0:42.0,W. Barton makes 2-pt shot at rim (assist by A. Crabbe),2,24-18,,
0:38.0,Personal foul by W. Barton (drawn by M. Carter-Williams),,24-18,,
0:27.0,,,24-20,2,D. Gordon makes 2-pt shot from 8 ft (assist by A. Shved)
0:02.0,Turnover by Team (shot clock),,24-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,24-22,2,K. McDaniels makes 2-pt shot at rim (assist by H. Thompson)
11:19.0,Turnover by S. Blake (bad pass; steal by N. Noel),,24-22,,
11:13.0,,,24-24,2,M. Carter-Williams makes 2-pt shot at rim
10:52.0,W. Barton makes 3-pt shot from 24 ft,3,27-24,,
10:29.0,,,27-26,2,B. Davies makes 2-pt shot from 7 ft (assist by K. McDaniels)
10:15.0,Turnover by S. Blake (bad pass),,27-26,,
10:15.0,,,27-26,,H. Sims enters the game for N. Noel
10:04.0,,,27-26,,Turnover by H. Sims (bad pass; steal by S. Blake)
10:01.0,S. Blake misses 2-pt shot from 3 ft (block by K. McDaniels),,27-26,,
10:01.0,Offensive rebound by Team,,27-26,,
9:59.0,J. Freeland makes 2-pt shot from 14 ft (assist by A. Crabbe),2,29-26,,
9:51.0,,,29-26,,M. Carter-Williams misses 2-pt shot from 4 ft (block by W. Barton)
9:48.0,,,29-26,,Offensive rebound by M. Carter-Williams
9:47.0,,,29-28,2,H. Sims makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
9:38.0,Turnover by C. Kaman (lost ball),,29-28,,
9:29.0,,,29-28,,H. Sims misses 2-pt shot from 16 ft
9:29.0,,,29-28,,Offensive rebound by Team
9:29.0,Loose ball foul by J. Freeland (drawn by B. Davies),,29-28,,
9:29.0,,,29-28,,Philadelphia full timeout
9:19.0,,,29-28,,Turnover by H. Sims (lost ball; steal by W. Barton)
9:12.0,A. Crabbe misses 3-pt shot from 25 ft,,29-28,,
9:10.0,Offensive rebound by J. Freeland,,29-28,,
9:01.0,S. Blake misses 3-pt shot from 26 ft,,29-28,,
8:59.0,,,29-28,,Defensive rebound by H. Thompson
8:50.0,Shooting block foul by J. Freeland (drawn by M. Carter-Williams),,29-28,,
8:50.0,Technical foul by J. Freeland (drawn by M. Carter-Williams),,29-28,,
8:50.0,,,29-29,1,H. Sims makes technical free throw
