time,Orlando,pts.away,score,pts.home,Utah
0:39.0,,,24-21,3,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles)
0:24.0,A. Nicholson misses 2-pt shot from 4 ft,,24-21,,
0:22.0,,,24-21,,Defensive rebound by G. Hayward
0:02.0,,,24-21,,G. Hayward misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by A. Nicholson,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,27-21,,
11:24.0,,,27-21,,R. Hood misses 2-pt shot from 7 ft
11:22.0,,,27-21,,Offensive rebound by T. Booker
11:12.0,,,27-23,2,T. Booker makes 2-pt shot from 2 ft
10:53.0,B. Gordon makes 2-pt shot from 17 ft,2,29-23,,
10:38.0,,,29-25,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
10:18.0,E. Payton misses 2-pt shot from 20 ft,,29-25,,
10:16.0,,,29-25,,Defensive rebound by T. Booker
9:59.0,,,29-28,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Booker)
9:43.0,Offensive foul by A. Nicholson,,29-28,,
9:43.0,Turnover by A. Nicholson (offensive foul),,29-28,,
9:43.0,V. Oladipo enters the game for W. Green,,29-28,,
9:25.0,Personal foul by A. Nicholson (drawn by R. Gobert),,29-28,,
9:11.0,,,29-28,,T. Booker misses 2-pt shot from 22 ft
9:10.0,Defensive rebound by Team,,29-28,,
9:10.0,D. Dedmon enters the game for A. Nicholson,,29-28,,
8:53.0,B. Gordon makes 2-pt shot from 6 ft,2,31-28,,
8:32.0,,,31-28,,R. Hood misses 2-pt shot from 6 ft
8:32.0,Defensive rebound by E. Payton,,31-28,,
8:32.0,,,31-28,,Loose ball foul by R. Hood (drawn by V. Oladipo)
8:32.0,Official timeout,,31-28,,
8:32.0,,,31-28,,I. Clark enters the game for R. Hood
8:32.0,,,31-28,,E. Kanter enters the game for R. Gobert
8:32.0,,,31-28,,D. Favors enters the game for T. Booker
8:08.0,C. Frye makes 2-pt shot from 3 ft (assist by B. Gordon),2,33-28,,
7:49.0,,,33-30,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Ingles)
7:39.0,C. Frye misses 3-pt shot from 26 ft,,33-30,,
7:37.0,,,33-30,,Defensive rebound by D. Favors
7:16.0,,,33-32,2,E. Kanter makes 2-pt shot at rim
7:03.0,B. Gordon makes 2-pt shot from 16 ft,2,35-32,,
6:44.0,,,35-32,,D. Favors misses 2-pt shot from 8 ft
6:43.0,Defensive rebound by V. Oladipo,,35-32,,
6:37.0,V. Oladipo makes 2-pt shot from 19 ft,2,37-32,,
6:18.0,,,37-32,,J. Ingles misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by C. Frye,,37-32,,
6:12.0,Orlando full timeout,,37-32,,
6:12.0,K. O'Quinn enters the game for D. Dedmon,,37-32,,
6:12.0,E. Fournier enters the game for E. Payton,,37-32,,
6:12.0,T. Harris enters the game for B. Gordon,,37-32,,
6:12.0,,,37-32,,T. Burke enters the game for D. Exum
6:12.0,,,37-32,,G. Hayward enters the game for J. Ingles
6:05.0,V. Oladipo makes 2-pt shot from 1 ft,2,39-32,,
5:55.0,,,39-32,,E. Kanter misses 2-pt shot from 1 ft (block by K. O'Quinn)
5:55.0,,,39-32,,Offensive rebound by Team
5:43.0,,,39-34,2,D. Favors makes 2-pt shot from 8 ft
5:30.0,V. Oladipo misses 2-pt shot from 18 ft,,39-34,,
5:28.0,Offensive rebound by K. O'Quinn,,39-34,,
5:25.0,K. O'Quinn misses 2-pt shot from 5 ft,,39-34,,
5:23.0,,,39-34,,Defensive rebound by D. Favors
5:07.0,,,39-34,,T. Burke misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by T. Harris,,39-34,,
4:56.0,T. Harris misses 2-pt shot from 5 ft (block by D. Favors),,39-34,,
4:53.0,,,39-34,,Defensive rebound by D. Favors
4:49.0,,,39-34,,Turnover by T. Burke (bad pass; steal by E. Fournier)
4:42.0,V. Oladipo makes 2-pt shot from 1 ft (assist by T. Harris),2,41-34,,
4:23.0,D. Dedmon enters the game for K. O'Quinn,,41-34,,
4:13.0,,,41-34,,I. Clark misses 2-pt shot from 10 ft
4:13.0,,,41-34,,Offensive rebound by Team
4:13.0,Personal foul by C. Frye (drawn by E. Kanter),,41-34,,
4:06.0,,,41-34,,T. Burke misses 2-pt shot from 6 ft
4:03.0,,,41-34,,Offensive rebound by E. Kanter
4:03.0,,,41-34,,E. Kanter misses 2-pt shot at rim
4:02.0,Defensive rebound by D. Dedmon,,41-34,,
3:46.0,T. Harris misses 3-pt shot from 24 ft,,41-34,,
3:45.0,Offensive rebound by D. Dedmon,,41-34,,
3:34.0,E. Fournier makes 3-pt shot from 24 ft,3,44-34,,
3:10.0,Jump ball: D. Favors vs. E. Fournier (E. Kanter gains possession),,,,Jump ball: D. Favors vs. E. Fournier (E. Kanter gains possession)
3:03.0,,,44-36,2,E. Kanter makes 2-pt shot from 17 ft (assist by D. Favors)
2:47.0,D. Dedmon misses 2-pt shot at rim,,44-36,,
2:43.0,Offensive rebound by D. Dedmon,,44-36,,
2:43.0,D. Dedmon makes 2-pt shot from 4 ft,2,46-36,,
2:37.0,,,46-36,,Utah full timeout
2:37.0,,,46-36,,D. Exum enters the game for I. Clark
2:18.0,,,46-36,,G. Hayward misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by D. Dedmon,,46-36,,
1:56.0,D. Dedmon misses 2-pt shot from 7 ft,,46-36,,
1:54.0,,,46-36,,Defensive rebound by D. Favors
1:47.0,,,46-36,,Shooting foul by D. Dedmon (drawn by T. Burke)
1:47.0,,,46-36,,T. Burke misses free throw 1 of 2
1:47.0,,,46-36,,Offensive rebound by Team
1:47.0,K. O'Quinn enters the game for D. Dedmon,,46-36,,
1:47.0,,,46-37,1,T. Burke makes free throw 2 of 2
1:34.0,V. Oladipo makes 2-pt shot from 1 ft,2,48-37,,
1:16.0,Violation by C. Frye (kicked ball),,48-37,,
1:05.0,,,48-39,2,G. Hayward makes 2-pt shot from 10 ft
0:51.0,Shooting foul by G. Hayward (drawn by T. Harris),,48-39,,
0:51.0,T. Harris makes free throw 1 of 2,1,49-39,,
0:51.0,T. Harris makes free throw 2 of 2,1,50-39,,
0:31.0,,,50-41,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
0:11.0,V. Oladipo makes 3-pt shot from 24 ft,3,53-41,,
0:00.0,,,53-41,,T. Burke misses 2-pt shot from 3 ft
0:00.0,,,53-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,C. Frye makes 3-pt shot from 25 ft (assist by T. Harris),3,56-41,,
11:20.0,,,56-41,,T. Burke misses 3-pt shot from 25 ft
11:18.0,,,56-41,,Offensive rebound by E. Kanter
11:17.0,,,56-41,,Shooting foul by K. O'Quinn (drawn by E. Kanter)
11:17.0,,,56-42,1,E. Kanter makes free throw 1 of 2
