time,Orlando,pts.away,score,pts.home,Utah
0:13.0,D. Dedmon enters the game for W. Green,,96-91,,
0:13.0,K. O'Quinn enters the game for E. Payton,,96-91,,
0:13.0,,,96-91,,R. Gobert enters the game for R. Hood
0:13.0,,,96-91,,S. Novak misses free throw 2 of 2
0:11.0,Defensive rebound by E. Fournier,,96-91,,
0:10.0,,,96-91,,Personal foul by T. Burke (drawn by E. Fournier)
0:10.0,E. Fournier makes free throw 1 of 2,1,97-91,,
0:10.0,,,97-91,,T. Booker enters the game for S. Novak
0:10.0,E. Payton enters the game for D. Dedmon,,97-91,,
0:10.0,W. Green enters the game for K. O'Quinn,,97-91,,
0:10.0,E. Fournier makes free throw 2 of 2,1,98-91,,
0:10.0,,,98-91,,Utah full timeout
0:10.0,,,98-91,,S. Novak enters the game for T. Booker
0:10.0,,,98-91,,R. Hood enters the game for R. Gobert
0:01.0,,,98-91,,T. Burke misses 2-pt shot from 3 ft
0:00.0,,,98-91,,Offensive rebound by D. Favors
0:00.0,,,98-93,2,D. Favors makes 2-pt shot from 2 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
