time,Detroit,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: C. Aldrich vs. A. Drummond (R. Jackson gains possession)
11:37.0,A. Drummond makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-0,,L. Thomas misses 3-pt shot from 24 ft
11:21.0,,,2-0,,Offensive rebound by Team
11:18.0,,,2-2,2,L. Galloway makes 2-pt shot from 19 ft (assist by L. Thomas)
10:59.0,C. Butler makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,5-2,,
10:44.0,,,5-4,2,L. Thomas makes 2-pt shot from 12 ft
10:26.0,C. Butler misses 3-pt shot from 24 ft,,5-4,,
10:25.0,,,5-4,,Defensive rebound by J. Smith
10:19.0,,,5-4,,T. Hardaway misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by A. Drummond,,5-4,,
10:01.0,G. Monroe misses 2-pt shot from 16 ft,,5-4,,
10:00.0,,,5-4,,Defensive rebound by C. Aldrich
9:57.0,,,5-4,,Turnover by C. Aldrich (bad pass; steal by A. Drummond)
9:52.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,7-4,,
9:35.0,,,7-4,,J. Smith misses 2-pt shot from 8 ft
9:34.0,Defensive rebound by K. Caldwell-Pope,,7-4,,
9:21.0,A. Drummond misses 2-pt shot from 2 ft,,7-4,,
9:20.0,Offensive rebound by A. Drummond,,7-4,,
9:20.0,A. Drummond misses 2-pt shot from 2 ft,,7-4,,
9:19.0,Offensive rebound by A. Drummond,,7-4,,
9:19.0,A. Drummond makes 2-pt shot from 2 ft,2,9-4,,
9:00.0,,,9-6,2,J. Smith makes 2-pt shot from 19 ft (assist by L. Galloway)
8:41.0,A. Drummond misses 2-pt shot from 5 ft (block by C. Aldrich),,9-6,,
8:40.0,,,9-6,,Defensive rebound by C. Aldrich
8:35.0,,,9-9,3,T. Hardaway makes 3-pt shot from 25 ft (assist by L. Galloway)
8:15.0,R. Jackson misses 2-pt shot from 14 ft,,9-9,,
8:14.0,Offensive rebound by A. Drummond,,9-9,,
8:14.0,A. Drummond makes 2-pt shot at rim,2,11-9,,
8:02.0,,,11-9,,L. Galloway misses 2-pt shot from 1 ft
8:01.0,,,11-9,,Offensive rebound by C. Aldrich
8:00.0,,,11-9,,C. Aldrich misses 2-pt shot at rim
7:59.0,,,11-9,,Offensive rebound by C. Aldrich
7:59.0,,,11-11,2,C. Aldrich makes 2-pt shot at rim
7:53.0,Detroit full timeout,,11-11,,
7:33.0,A. Drummond makes 2-pt shot from 2 ft,2,13-11,,
7:18.0,,,13-11,,Turnover by J. Smith (lost ball; steal by K. Caldwell-Pope)
7:08.0,R. Jackson makes 2-pt shot from 14 ft,2,15-11,,
6:54.0,,,15-11,,C. Aldrich misses 2-pt shot from 8 ft
6:52.0,Defensive rebound by G. Monroe,,15-11,,
6:40.0,G. Monroe misses 2-pt shot from 4 ft,,15-11,,
6:39.0,,,15-11,,Defensive rebound by L. Thomas
6:32.0,,,15-14,3,T. Hardaway makes 3-pt shot from 25 ft
6:17.0,Offensive foul by A. Drummond,,15-14,,
6:17.0,Turnover by A. Drummond (offensive foul),,15-14,,
6:07.0,,,15-14,,Turnover by T. Hardaway (lost ball; steal by G. Monroe)
6:03.0,R. Jackson makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,17-14,,
6:03.0,Shooting foul by L. Galloway (drawn by R. Jackson),,17-14,,
6:03.0,R. Jackson makes free throw 1 of 1,1,18-14,,
5:42.0,,,18-14,,J. Smith misses 2-pt shot from 20 ft
5:41.0,Defensive rebound by A. Drummond,,18-14,,
5:29.0,,,18-14,,Personal foul by J. Smith (drawn by G. Monroe)
5:29.0,,,18-14,,L. Amundson enters the game for C. Aldrich
5:22.0,R. Jackson misses 2-pt shot from 16 ft,,18-14,,
5:20.0,,,18-14,,Defensive rebound by J. Smith
5:05.0,,,18-14,,Turnover by J. Smith (lost ball)
4:46.0,K. Caldwell-Pope misses 2-pt shot from 11 ft,,18-14,,
4:45.0,,,18-14,,Defensive rebound by J. Smith
