time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. C. Kaman (W. Ellington gains possession),,,,Jump ball: J. Hill vs. C. Kaman (W. Ellington gains possession)
11:42.0,E. Davis misses 2-pt shot from 10 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by C. Kaman
11:32.0,,,0-0,,W. Matthews misses 2-pt shot from 10 ft
11:30.0,,,0-0,,Offensive rebound by C. Kaman
11:26.0,,,0-3,3,L. Aldridge makes 3-pt shot from 24 ft (assist by C. Kaman)
11:12.0,W. Ellington misses 2-pt shot from 20 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by L. Aldridge
11:02.0,,,0-3,,Turnover by D. Lillard (bad pass; steal by R. Price)
10:59.0,R. Price makes 2-pt shot at rim (assist by R. Kelly),2,2-3,,
10:38.0,,,2-3,,C. Kaman misses 2-pt shot from 13 ft
10:36.0,Defensive rebound by W. Ellington,,2-3,,
10:27.0,R. Price misses 2-pt shot from 20 ft,,2-3,,
10:26.0,,,2-3,,Defensive rebound by L. Aldridge
10:14.0,,,2-5,2,L. Aldridge makes 2-pt shot from 15 ft
9:47.0,J. Hill makes 2-pt shot from 7 ft,2,4-5,,
9:29.0,,,4-5,,C. Kaman misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by R. Kelly,,4-5,,
9:17.0,J. Hill makes 2-pt shot from 20 ft (assist by R. Price),2,6-5,,
8:57.0,,,6-7,2,C. Kaman makes 2-pt shot at rim (assist by D. Lillard)
8:38.0,W. Ellington misses 3-pt shot from 24 ft,,6-7,,
8:37.0,Offensive rebound by R. Price,,6-7,,
8:27.0,Turnover by E. Davis (lost ball; steal by D. Lillard),,6-7,,
8:17.0,,,6-7,,L. Aldridge misses 2-pt shot from 21 ft
8:16.0,Defensive rebound by J. Hill,,6-7,,
8:16.0,,,6-7,,Personal take foul by C. Kaman (drawn by R. Kelly)
8:16.0,,,6-7,,Portland full timeout
8:16.0,,,6-7,,A. Crabbe enters the game for W. Matthews
8:02.0,J. Hill makes 2-pt shot from 15 ft (assist by R. Price),2,8-7,,
7:43.0,Personal foul by E. Davis (drawn by L. Aldridge),,8-7,,
7:38.0,,,8-9,2,N. Batum makes 2-pt shot from 21 ft (assist by D. Lillard)
7:15.0,R. Price misses 2-pt shot from 18 ft,,8-9,,
7:14.0,Offensive rebound by J. Hill,,8-9,,
7:07.0,W. Ellington misses 2-pt shot from 9 ft,,8-9,,
7:05.0,Offensive rebound by Team,,8-9,,
6:57.0,Turnover by R. Kelly (bad pass; steal by A. Crabbe),,8-9,,
6:51.0,,,8-11,2,D. Lillard makes 2-pt shot at rim (assist by A. Crabbe)
6:35.0,W. Ellington misses 2-pt shot from 23 ft,,8-11,,
6:35.0,,,8-11,,Defensive rebound by N. Batum
6:27.0,,,8-11,,C. Kaman misses 2-pt shot from 17 ft
6:27.0,Defensive rebound by E. Davis,,8-11,,
6:18.0,E. Davis misses 2-pt shot from 4 ft (block by C. Kaman),,8-11,,
6:16.0,,,8-11,,Defensive rebound by C. Kaman
6:11.0,,,8-11,,N. Batum misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by W. Ellington,,8-11,,
6:00.0,J. Hill makes 2-pt shot from 20 ft (assist by R. Price),2,10-11,,
5:42.0,,,10-13,2,C. Kaman makes 2-pt shot from 16 ft (assist by A. Crabbe)
5:27.0,R. Kelly misses 2-pt shot from 8 ft,,10-13,,
5:26.0,,,10-13,,Defensive rebound by C. Kaman
5:16.0,,,10-13,,Shooting foul by J. Hill (drawn by C. Kaman)
5:16.0,,,10-14,1,C. Kaman makes free throw 1 of 2
5:16.0,C. Boozer enters the game for E. Davis,,10-14,,
5:16.0,N. Young enters the game for W. Ellington,,10-14,,
5:16.0,,,10-15,1,C. Kaman makes free throw 2 of 2
4:51.0,N. Young makes 3-pt shot from 38 ft,3,13-15,,
4:32.0,,,13-15,,N. Batum misses 2-pt shot from 8 ft
4:32.0,Defensive rebound by J. Hill,,13-15,,
4:19.0,C. Boozer misses 2-pt shot from 18 ft,,13-15,,
4:19.0,,,13-15,,Defensive rebound by D. Lillard
4:13.0,,,13-17,2,D. Lillard makes 2-pt shot at rim
4:13.0,,,13-17,,Shooting foul by J. Hill (drawn by D. Lillard)
4:13.0,,,13-17,,S. Blake enters the game for A. Crabbe
4:13.0,,,13-17,,T. Robinson enters the game for C. Kaman
4:13.0,,,13-18,1,D. Lillard makes free throw 1 of 1
4:00.0,N. Young misses 2-pt shot from 18 ft,,13-18,,
4:00.0,,,13-18,,Defensive rebound by Team
4:00.0,R. Sacre enters the game for J. Hill,,13-18,,
3:46.0,,,13-18,,D. Lillard misses 2-pt shot from 17 ft
3:45.0,,,13-18,,Offensive rebound by Team
3:43.0,,,13-18,,L. Aldridge misses 2-pt shot from 20 ft
3:42.0,Defensive rebound by R. Price,,13-18,,
3:29.0,R. Price makes 3-pt shot from 26 ft (assist by R. Kelly),3,16-18,,
3:03.0,,,16-18,,S. Blake misses 2-pt shot from 22 ft
3:02.0,Defensive rebound by R. Sacre,,16-18,,
2:53.0,N. Young misses 2-pt shot from 18 ft,,16-18,,
2:52.0,,,16-18,,Defensive rebound by T. Robinson
2:49.0,,,16-18,,Shooting foul by R. Kelly (drawn by D. Lillard)
2:49.0,LA Lakers full timeout,,16-18,,
2:49.0,J. Lin enters the game for R. Price,,16-18,,
2:49.0,,,16-18,,W. Matthews enters the game for N. Batum
2:49.0,,,16-19,1,D. Lillard makes free throw 1 of 2
2:49.0,,,16-20,1,D. Lillard makes free throw 2 of 2
2:30.0,J. Lin makes 2-pt shot from 13 ft,2,18-20,,
2:11.0,,,18-20,,L. Aldridge misses 2-pt shot from 18 ft
2:10.0,Defensive rebound by R. Kelly,,18-20,,
2:03.0,C. Boozer makes 2-pt shot from 4 ft (assist by J. Lin),2,20-20,,
1:46.0,Violation by C. Boozer (def goaltending),,20-20,,
1:46.0,,,20-22,2,D. Lillard makes 2-pt shot at rim
1:29.0,C. Boozer misses 2-pt shot from 19 ft,,20-22,,
1:28.0,,,20-22,,Defensive rebound by W. Matthews
1:22.0,,,20-22,,T. Robinson misses 2-pt shot from 17 ft
1:21.0,Defensive rebound by N. Young,,20-22,,
1:11.0,R. Sacre makes 2-pt shot from 1 ft (assist by N. Young),2,22-22,,
1:11.0,Shooting foul by T. Robinson (drawn by R. Sacre),,22-22,,
1:11.0,J. Clarkson enters the game for R. Kelly,,22-22,,
1:11.0,,,22-22,,C. McCollum enters the game for D. Lillard
1:11.0,R. Sacre makes free throw 1 of 1,1,23-22,,
0:56.0,,,23-22,,W. Matthews misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by C. Boozer,,23-22,,
0:34.0,C. Boozer misses 2-pt shot from 7 ft,,23-22,,
0:32.0,Offensive rebound by R. Sacre,,23-22,,
0:27.0,Turnover by N. Young (lost ball; steal by W. Matthews),,23-22,,
0:23.0,,,23-22,,Shooting foul by J. Lin (drawn by W. Matthews)
0:23.0,,,23-23,1,W. Matthews makes free throw 1 of 2
0:23.0,,,23-24,1,W. Matthews makes free throw 2 of 2
0:03.0,J. Lin misses 3-pt shot from 26 ft,,23-24,,
0:02.0,Offensive rebound by R. Sacre,,23-24,,
0:00.0,J. Clarkson misses 2-pt shot from 22 ft,,23-24,,
0:00.0,Offensive rebound by Team,,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by R. Sacre (drawn by C. McCollum),,23-24,,
11:41.0,,,23-24,,M. Leonard misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by C. Boozer,,23-24,,
11:28.0,J. Lin misses 2-pt shot from 20 ft,,23-24,,
11:27.0,,,23-24,,Defensive rebound by T. Robinson
11:16.0,,,23-24,,W. Matthews misses 3-pt shot from 25 ft
11:15.0,,,23-24,,Offensive rebound by M. Leonard
11:10.0,,,23-26,2,C. McCollum makes 2-pt shot from 10 ft
10:56.0,N. Young misses 2-pt shot from 19 ft,,23-26,,
10:54.0,,,23-26,,Defensive rebound by M. Leonard
10:40.0,,,23-26,,W. Matthews misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by Team,,23-26,,
10:28.0,Turnover by J. Lin (bad pass; steal by T. Robinson),,23-26,,
10:17.0,,,23-29,3,M. Leonard makes 3-pt shot from 24 ft (assist by S. Blake)
9:57.0,Shooting foul by T. Robinson (drawn by C. Boozer),,23-29,,
9:57.0,C. Boozer makes free throw 1 of 2,1,24-29,,
9:57.0,C. Boozer makes free throw 2 of 2,1,25-29,,
9:40.0,,,25-29,,S. Blake misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by R. Sacre,,25-29,,
9:32.0,Shooting foul by M. Leonard (drawn by J. Lin),,25-29,,
9:32.0,J. Lin makes free throw 1 of 2,1,26-29,,
9:32.0,J. Lin misses free throw 2 of 2,,26-29,,
9:31.0,,,26-29,,Defensive rebound by T. Robinson
9:15.0,,,26-29,,C. McCollum misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by C. Boozer,,26-29,,
9:10.0,J. Lin makes 2-pt shot from 2 ft (assist by C. Boozer),2,28-29,,
9:08.0,,,28-29,,Portland full timeout
9:08.0,,,28-29,,C. Kaman enters the game for T. Robinson
9:08.0,,,28-29,,N. Batum enters the game for W. Matthews
8:56.0,,,28-29,,C. McCollum misses 2-pt shot from 18 ft
8:55.0,Defensive rebound by J. Lin,,28-29,,
8:40.0,C. Boozer misses 2-pt shot from 14 ft,,28-29,,
8:39.0,,,28-29,,Defensive rebound by M. Leonard
8:30.0,,,28-29,,Turnover by C. McCollum (bad pass; steal by R. Sacre)
8:25.0,J. Clarkson makes 2-pt shot from 2 ft,2,30-29,,
7:51.0,,,30-31,2,M. Leonard makes 2-pt shot from 14 ft (assist by N. Batum)
7:36.0,N. Young makes 2-pt shot from 18 ft,2,32-31,,
7:36.0,Shooting foul by N. Batum (drawn by N. Young),,32-31,,
7:36.0,,,32-31,,D. Lillard enters the game for C. McCollum
7:36.0,E. Davis enters the game for C. Boozer,,32-31,,
7:36.0,N. Young makes free throw 1 of 1,1,33-31,,
7:16.0,,,33-31,,N. Batum misses 2-pt shot from 17 ft
7:14.0,Defensive rebound by J. Lin,,33-31,,
7:04.0,Turnover by J. Lin (bad pass; steal by D. Lillard),,33-31,,
6:57.0,,,33-33,2,D. Lillard makes 2-pt shot from 1 ft
6:40.0,Shooting foul by S. Blake (drawn by J. Clarkson),,33-33,,
6:40.0,J. Clarkson misses free throw 1 of 2,,33-33,,
6:40.0,Offensive rebound by Team,,33-33,,
6:40.0,R. Price enters the game for J. Lin,,33-33,,
6:40.0,J. Hill enters the game for R. Sacre,,33-33,,
6:40.0,J. Clarkson makes free throw 2 of 2,1,34-33,,
6:27.0,,,34-33,,Turnover by C. Kaman (offensive foul)
6:27.0,,,34-33,,Offensive foul by C. Kaman
6:03.0,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Price),2,36-33,,
5:48.0,,,36-36,3,M. Leonard makes 3-pt shot from 24 ft (assist by C. Kaman)
5:23.0,R. Price misses 2-pt shot from 15 ft,,36-36,,
5:23.0,,,36-36,,Defensive rebound by C. Kaman
5:12.0,,,36-36,,Turnover by S. Blake (bad pass; steal by N. Young)
5:07.0,Turnover by R. Price (lost ball; steal by S. Blake),,36-36,,
5:02.0,,,36-38,2,D. Lillard makes 2-pt shot from 1 ft (assist by N. Batum)
4:42.0,N. Young misses 3-pt shot from 24 ft,,36-38,,
4:41.0,,,36-38,,Defensive rebound by M. Leonard
4:33.0,,,36-40,2,D. Lillard makes 2-pt shot from 6 ft (assist by S. Blake)
4:25.0,LA Lakers full timeout,,36-40,,
4:25.0,R. Kelly enters the game for N. Young,,36-40,,
4:25.0,,,36-40,,L. Aldridge enters the game for M. Leonard
4:25.0,,,36-40,,W. Matthews enters the game for S. Blake
4:08.0,R. Price misses 2-pt shot from 6 ft,,36-40,,
4:07.0,,,36-40,,Defensive rebound by L. Aldridge
3:54.0,,,36-43,3,N. Batum makes 3-pt shot from 24 ft (assist by D. Lillard)
3:29.0,J. Hill makes 2-pt shot from 2 ft,2,38-43,,
3:11.0,,,38-43,,N. Batum misses 2-pt shot from 3 ft
3:10.0,Defensive rebound by J. Hill,,38-43,,
3:02.0,Turnover by R. Kelly (lost ball),,38-43,,
3:02.0,W. Ellington enters the game for J. Clarkson,,38-43,,
2:45.0,,,38-43,,Turnover by N. Batum (traveling)
2:45.0,Official timeout,,38-43,,
2:30.0,E. Davis misses 2-pt shot from 5 ft (block by C. Kaman),,38-43,,
2:28.0,Offensive rebound by E. Davis,,38-43,,
2:28.0,E. Davis misses 2-pt shot from 1 ft (block by C. Kaman),,38-43,,
2:26.0,Offensive rebound by W. Ellington,,38-43,,
2:19.0,W. Ellington makes 3-pt shot from 22 ft (assist by E. Davis),3,41-43,,
2:00.0,,,41-43,,D. Lillard misses 2-pt shot from 18 ft
1:59.0,Defensive rebound by R. Kelly,,41-43,,
1:52.0,R. Price misses 3-pt shot from 25 ft,,41-43,,
1:51.0,Offensive rebound by J. Hill,,41-43,,
1:48.0,J. Hill misses 2-pt shot from 19 ft,,41-43,,
1:48.0,Offensive rebound by E. Davis,,41-43,,
1:41.0,J. Hill makes 2-pt shot from 10 ft (assist by R. Price),2,43-43,,
1:23.0,,,43-45,2,L. Aldridge makes 2-pt shot from 2 ft
1:08.0,R. Kelly misses 2-pt shot from 1 ft,,43-45,,
1:07.0,,,43-45,,Defensive rebound by C. Kaman
0:55.0,,,43-45,,N. Batum misses 3-pt shot from 24 ft
0:53.0,,,43-45,,Offensive rebound by C. Kaman
0:34.0,,,43-45,,D. Lillard misses 2-pt shot from 4 ft
0:33.0,,,43-45,,Offensive rebound by C. Kaman
0:31.0,,,43-45,,C. Kaman misses 2-pt shot from 1 ft
0:31.0,,,43-45,,Offensive rebound by C. Kaman
0:31.0,,,43-47,2,C. Kaman makes 2-pt shot from 1 ft
0:13.0,R. Price makes 2-pt shot from 2 ft,2,45-47,,
0:06.0,Personal take foul by R. Price (drawn by D. Lillard),,45-47,,
0:06.0,,,45-47,,C. McCollum enters the game for C. Kaman
0:06.0,J. Lin enters the game for J. Hill,,45-47,,
0:00.0,,,45-47,,D. Lillard misses 3-pt shot from 24 ft
0:00.0,,,45-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,45-47,,L. Aldridge misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by J. Hill,,45-47,,
11:23.0,J. Hill makes 2-pt shot from 19 ft (assist by R. Kelly),2,47-47,,
11:09.0,,,47-47,,D. Lillard misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by W. Ellington,,47-47,,
10:52.0,J. Hill misses 2-pt shot from 8 ft,,47-47,,
10:51.0,,,47-47,,Defensive rebound by L. Aldridge
10:36.0,,,47-47,,Turnover by W. Matthews (bad pass; steal by E. Davis)
10:29.0,E. Davis misses 2-pt shot from 2 ft,,47-47,,
10:27.0,,,47-47,,Defensive rebound by C. Kaman
10:06.0,,,47-49,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Lillard)
9:50.0,W. Ellington misses 2-pt shot from 20 ft,,47-49,,
9:50.0,,,47-49,,Defensive rebound by L. Aldridge
9:33.0,,,47-49,,L. Aldridge misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by R. Kelly,,47-49,,
9:23.0,R. Price makes 2-pt shot from 16 ft,2,49-49,,
9:01.0,,,49-49,,L. Aldridge misses 2-pt shot from 15 ft
9:00.0,,,49-49,,Offensive rebound by D. Lillard
9:00.0,Personal foul by J. Hill (drawn by D. Lillard),,49-49,,
8:54.0,,,49-52,3,N. Batum makes 3-pt shot from 23 ft (assist by C. Kaman)
