time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (J. Noah gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (J. Noah gains possession)
11:41.0,,,0-0,,P. Gasol misses 2-pt shot from 18 ft
11:38.0,,,0-0,,Offensive rebound by J. Noah
11:36.0,,,0-0,,M. Dunleavy misses 2-pt shot from 1 ft
11:35.0,,,0-0,,Offensive rebound by J. Noah
11:28.0,,,0-0,,T. Snell misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by T. Thompson,,0-0,,
11:15.0,,,0-0,,Personal foul by M. Dunleavy (drawn by T. Thompson)
11:09.0,T. Mozgov misses 2-pt shot from 4 ft (block by J. Noah),,0-0,,
11:07.0,Offensive rebound by T. Thompson,,0-0,,
11:06.0,T. Thompson makes 2-pt shot from 1 ft,2,2-0,,
10:53.0,,,2-0,,D. Rose misses 2-pt shot from 11 ft
10:52.0,Defensive rebound by T. Mozgov,,2-0,,
10:47.0,Shooting foul by J. Noah (drawn by L. James),,2-0,,
10:47.0,L. James makes 2-pt shot from 1 ft,2,4-0,,
10:47.0,L. James makes free throw 1 of 1,1,5-0,,
10:31.0,,,5-0,,P. Gasol misses 2-pt shot from 2 ft
10:30.0,Defensive rebound by L. James,,5-0,,
10:24.0,Turnover by L. James (bad pass; steal by T. Snell),,5-0,,
10:20.0,,,5-2,2,P. Gasol makes 2-pt shot from 1 ft (assist by T. Snell)
10:20.0,,,5-2,,Shooting foul by J. Smith (drawn by P. Gasol)
10:20.0,,,5-3,1,P. Gasol makes free throw 1 of 1
10:05.0,L. James makes 3-pt shot from 25 ft (assist by T. Thompson),3,8-3,,
9:54.0,,,8-3,,M. Dunleavy misses 2-pt shot from 5 ft
9:52.0,Defensive rebound by T. Mozgov,,8-3,,
9:45.0,L. James misses 3-pt shot from 26 ft,,8-3,,
9:44.0,Offensive rebound by T. Mozgov,,8-3,,
9:40.0,Turnover by T. Thompson (3 sec),,8-3,,
9:30.0,,,8-5,2,D. Rose makes 2-pt shot at rim (assist by J. Noah)
9:18.0,Turnover by K. Irving (step out of bounds),,8-5,,
9:02.0,,,8-5,,M. Dunleavy misses 3-pt shot from 26 ft
9:00.0,Defensive rebound by T. Mozgov,,8-5,,
8:55.0,K. Irving misses 3-pt shot from 26 ft,,8-5,,
8:54.0,,,8-5,,Defensive rebound by T. Snell
8:44.0,,,8-5,,Shooting foul by T. Thompson (drawn by J. Noah)
8:44.0,,,8-6,1,J. Noah makes free throw 1 of 2
8:44.0,,,8-7,1,J. Noah makes free throw 2 of 2
8:26.0,Shooting foul by P. Gasol (drawn by T. Mozgov),,8-7,,
8:26.0,T. Mozgov makes free throw 1 of 2,1,9-7,,
8:26.0,T. Mozgov misses free throw 2 of 2,,9-7,,
8:25.0,,,9-7,,Defensive rebound by J. Noah
8:10.0,,,9-9,2,D. Rose makes 2-pt shot from 5 ft
7:48.0,L. James misses 2-pt shot from 21 ft,,9-9,,
7:46.0,,,9-9,,Defensive rebound by M. Dunleavy
7:42.0,Violation by K. Irving (kicked ball),,9-9,,
7:35.0,,,9-12,3,P. Gasol makes 3-pt shot from 25 ft (assist by D. Rose)
7:16.0,J. Smith misses 2-pt shot from 1 ft,,9-12,,
7:13.0,,,9-12,,Defensive rebound by J. Noah
7:01.0,,,9-12,,P. Gasol misses 2-pt shot from 4 ft
7:00.0,Defensive rebound by T. Mozgov,,9-12,,
6:48.0,Turnover by L. James (bad pass; steal by T. Snell),,9-12,,
6:44.0,,,9-14,2,T. Snell makes 2-pt shot at rim (assist by M. Dunleavy)
6:24.0,T. Mozgov makes 2-pt shot from 20 ft (assist by K. Irving),2,11-14,,
6:08.0,,,11-16,2,T. Snell makes 2-pt shot at rim (assist by M. Dunleavy)
5:49.0,T. Mozgov makes 2-pt shot at rim (assist by J. Smith),2,13-16,,
5:25.0,,,13-18,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Noah)
5:14.0,L. James makes 2-pt shot from 2 ft,2,15-18,,
4:48.0,,,15-18,,J. Noah misses 2-pt shot from 2 ft (block by T. Mozgov)
4:44.0,,,15-18,,Offensive rebound by P. Gasol
4:44.0,,,15-20,2,P. Gasol makes 2-pt shot from 1 ft
4:40.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,17-20,,
4:16.0,,,17-20,,J. Noah misses 2-pt shot from 21 ft
4:15.0,Defensive rebound by T. Mozgov,,17-20,,
4:05.0,J. Smith misses 3-pt shot from 26 ft,,17-20,,
4:04.0,,,17-20,,Defensive rebound by J. Noah
3:58.0,,,17-22,2,D. Rose makes 2-pt shot from 2 ft
3:58.0,,,17-22,,Shooting foul by T. Mozgov (drawn by D. Rose)
3:58.0,,,17-22,,Chicago full timeout
3:58.0,,,17-22,,T. Gibson enters the game for J. Noah
3:58.0,I. Shumpert enters the game for L. James,,17-22,,
3:58.0,,,17-23,1,D. Rose makes free throw 1 of 1
3:39.0,I. Shumpert misses 3-pt shot from 23 ft,,17-23,,
3:38.0,,,17-23,,Defensive rebound by P. Gasol
3:34.0,,,17-25,2,D. Rose makes 2-pt shot from 2 ft
3:17.0,K. Irving misses 2-pt shot from 9 ft,,17-25,,
3:16.0,Offensive rebound by K. Irving,,17-25,,
3:02.0,K. Irving misses 2-pt shot from 3 ft (block by P. Gasol),,17-25,,
3:02.0,Offensive rebound by Team,,17-25,,
3:02.0,,,17-25,,N. Mirotic enters the game for T. Snell
2:55.0,J. Smith makes 3-pt shot from 27 ft (assist by K. Irving),3,20-25,,
