time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. K. Olynyk (J. Sullinger gains possession),,,,Jump ball: N. Noel vs. K. Olynyk (J. Sullinger gains possession)
11:51.0,J. Sullinger misses 3-pt shot from 26 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by H. Sims
11:34.0,,,0-0,,N. Noel misses 2-pt shot from 17 ft
11:32.0,Defensive rebound by R. Rondo,,0-0,,
11:17.0,J. Green misses 2-pt shot from 11 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by N. Noel
10:55.0,,,0-2,2,N. Noel makes 2-pt shot from 7 ft (assist by M. Carter-Williams)
10:44.0,A. Bradley misses 2-pt shot from 9 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by M. Carter-Williams
10:41.0,,,0-2,,Turnover by M. Carter-Williams (lost ball; steal by A. Bradley)
10:34.0,Turnover by K. Olynyk (lost ball; steal by M. Carter-Williams),,0-2,,
10:33.0,Personal foul by K. Olynyk (drawn by M. Carter-Williams),,0-2,,
10:19.0,,,0-2,,M. Carter-Williams misses 2-pt shot from 17 ft
10:18.0,Defensive rebound by J. Green,,0-2,,
10:13.0,Turnover by J. Green (lost ball; steal by L. Mbah a Moute),,0-2,,
10:07.0,,,0-2,,L. Mbah a Moute misses 2-pt shot from 3 ft (block by J. Green)
10:07.0,,,0-2,,Offensive rebound by Team
10:03.0,,,0-2,,H. Thompson misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by J. Sullinger,,0-2,,
9:53.0,J. Green makes 2-pt shot at rim (assist by J. Sullinger),2,2-2,,
9:53.0,Shooting foul by H. Thompson (drawn by J. Green),,2-2,,
9:53.0,J. Green makes free throw 1 of 1,1,3-2,,
9:43.0,,,3-4,2,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
9:26.0,A. Bradley makes 2-pt shot from 17 ft (assist by J. Green),2,5-4,,
9:05.0,,,5-6,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by H. Thompson)
8:49.0,K. Olynyk misses 2-pt shot from 12 ft,,5-6,,
8:47.0,,,5-6,,Defensive rebound by M. Carter-Williams
8:37.0,,,5-6,,H. Sims misses 2-pt shot from 9 ft
8:32.0,,,5-6,,Offensive rebound by H. Sims
8:32.0,,,5-8,2,H. Sims makes 2-pt shot from 4 ft
8:16.0,A. Bradley misses 3-pt shot from 26 ft,,5-8,,
8:14.0,,,5-8,,Defensive rebound by H. Thompson
8:05.0,,,5-8,,H. Thompson misses 2-pt shot at rim
8:02.0,Defensive rebound by K. Olynyk,,5-8,,
7:52.0,Turnover by R. Rondo (bad pass; steal by L. Mbah a Moute),,5-8,,
7:39.0,,,5-8,,Turnover by M. Carter-Williams (bad pass; steal by R. Rondo)
7:24.0,R. Rondo makes 3-pt shot from 25 ft (assist by J. Green),3,8-8,,
7:02.0,,,8-11,3,H. Thompson makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
6:46.0,J. Sullinger makes 2-pt shot from 2 ft,2,10-11,,
6:26.0,,,10-13,2,H. Sims makes 2-pt shot from 19 ft (assist by H. Thompson)
6:04.0,A. Bradley misses 3-pt shot from 25 ft,,10-13,,
6:03.0,,,10-13,,Defensive rebound by N. Noel
5:45.0,,,10-13,,N. Noel misses 2-pt shot from 5 ft
5:44.0,,,10-13,,Offensive rebound by L. Mbah a Moute
5:43.0,,,10-13,,Shooting foul by J. Sullinger (drawn by L. Mbah a Moute)
5:43.0,,,10-13,,Philadelphia full timeout
5:43.0,E. Turner enters the game for J. Sullinger,,10-13,,
5:43.0,T. Zeller enters the game for R. Rondo,,10-13,,
5:43.0,,,10-13,,T. Wroten enters the game for H. Thompson
5:43.0,,,10-13,,L. Mbah a Moute misses free throw 1 of 2
5:43.0,,,10-13,,Offensive rebound by Team
5:43.0,,,10-13,,L. Mbah a Moute misses free throw 2 of 2
5:43.0,Defensive rebound by J. Green,,10-13,,
