time,Phoenix,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Barron vs. T. Mozgov (E. Bledsoe gains possession),,,,Jump ball: E. Barron vs. T. Mozgov (E. Bledsoe gains possession)
11:41.0,M. Morris makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,2-0,,
11:25.0,,,2-0,,Shooting foul by E. Barron (drawn by K. Irving)
11:25.0,,,2-1,1,K. Irving makes free throw 1 of 2
11:25.0,,,2-2,1,K. Irving makes free throw 2 of 2
11:11.0,B. Knight makes 3-pt shot from 24 ft (assist by M. Morris),3,5-2,,
10:51.0,,,5-2,,J. Smith misses 3-pt shot from 22 ft
10:50.0,Defensive rebound by P. Tucker,,5-2,,
10:41.0,B. Knight makes 3-pt shot from 23 ft (assist by M. Morris),3,8-2,,
10:24.0,,,8-4,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
10:06.0,M. Morris makes 2-pt shot from 11 ft (assist by B. Knight),2,10-4,,
9:52.0,,,10-6,2,K. Irving makes 2-pt shot at rim (assist by L. James)
9:41.0,E. Bledsoe misses 2-pt shot from 1 ft,,10-6,,
9:40.0,,,10-6,,Defensive rebound by T. Mozgov
9:33.0,,,10-8,2,K. Irving makes 2-pt shot from 1 ft
9:19.0,,,10-8,,Violation by J. Smith (kicked ball)
9:12.0,E. Bledsoe makes 2-pt shot from 15 ft,2,12-8,,
9:00.0,,,12-10,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
8:40.0,M. Morris misses 2-pt shot from 16 ft,,12-10,,
8:39.0,,,12-10,,Defensive rebound by J. Smith
8:37.0,,,12-10,,Turnover by J. Smith (bad pass; steal by E. Barron)
8:34.0,Shooting foul by T. Mozgov (drawn by E. Barron),,12-10,,
8:34.0,E. Barron misses free throw 1 of 2,,12-10,,
8:34.0,Offensive rebound by Team,,12-10,,
8:34.0,E. Barron makes free throw 2 of 2,1,13-10,,
8:23.0,,,13-10,,Turnover by K. Love (bad pass; steal by P. Tucker)
8:21.0,,,13-10,,Personal foul by K. Irving (drawn by M. Morris)
8:13.0,Turnover by E. Bledsoe (bad pass; steal by J. Smith),,13-10,,
8:13.0,Personal foul by E. Bledsoe (drawn by T. Mozgov),,13-10,,
7:52.0,,,13-13,3,K. Love makes 3-pt shot from 25 ft (assist by J. Smith)
7:39.0,B. Knight misses 2-pt shot from 20 ft,,13-13,,
7:37.0,,,13-13,,Defensive rebound by L. James
7:24.0,,,13-13,,J. Smith misses 2-pt shot from 11 ft
7:23.0,Defensive rebound by E. Bledsoe,,13-13,,
7:13.0,P. Tucker makes 3-pt shot from 24 ft,3,16-13,,
6:55.0,,,16-13,,K. Irving misses 2-pt shot at rim
6:53.0,Defensive rebound by E. Barron,,16-13,,
6:42.0,E. Bledsoe makes 2-pt shot from 20 ft,2,18-13,,
6:23.0,,,18-15,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
5:56.0,M. Morris misses 2-pt shot at rim,,18-15,,
5:54.0,,,18-15,,Defensive rebound by L. James
5:48.0,,,18-18,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
5:28.0,E. Bledsoe misses 2-pt shot at rim,,18-18,,
5:24.0,,,18-18,,Defensive rebound by K. Love
5:21.0,,,18-18,,Turnover by L. James (lost ball)
5:21.0,,,18-18,,Cleveland full timeout
5:21.0,,,18-18,,T. Thompson enters the game for L. James
5:21.0,,,18-18,,I. Shumpert enters the game for T. Mozgov
5:01.0,E. Barron misses 2-pt shot from 16 ft,,18-18,,
5:00.0,,,18-18,,Defensive rebound by J. Smith
4:42.0,,,18-18,,K. Irving misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by M. Morris,,18-18,,
4:31.0,Shooting foul by K. Irving (drawn by P. Tucker),,18-18,,
4:31.0,P. Tucker misses free throw 1 of 2,,18-18,,
4:31.0,Offensive rebound by Team,,18-18,,
4:31.0,B. Wright enters the game for E. Barron,,18-18,,
4:31.0,A. Goodwin enters the game for E. Bledsoe,,18-18,,
4:31.0,,,18-18,,M. Dellavedova enters the game for K. Irving
4:31.0,P. Tucker makes free throw 2 of 2,1,19-18,,
4:18.0,,,19-21,3,K. Love makes 3-pt shot from 27 ft (assist by I. Shumpert)
3:51.0,M. Morris misses 3-pt shot from 25 ft,,19-21,,
3:50.0,Offensive rebound by P. Tucker,,19-21,,
3:48.0,Shooting foul by J. Smith (drawn by P. Tucker),,19-21,,
3:48.0,P. Tucker makes free throw 1 of 2,1,20-21,,
3:48.0,P. Tucker makes free throw 2 of 2,1,21-21,,
3:33.0,,,21-23,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
3:19.0,B. Knight misses 2-pt shot from 21 ft,,21-23,,
3:18.0,,,21-23,,Defensive rebound by J. Smith
3:10.0,,,21-23,,J. Smith misses 2-pt shot from 1 ft
3:09.0,,,21-23,,Offensive rebound by T. Thompson
3:02.0,Personal foul by P. Tucker (drawn by J. Smith),,21-23,,
