time,Memphis,pts.away,score,pts.home,Washington
5:12.0,,,78-98,2,M. Gortat makes 2-pt shot from 10 ft (assist by D. Gooden)
4:58.0,J. Adams misses 3-pt shot from 25 ft,,78-98,,
4:57.0,,,78-98,,Defensive rebound by O. Porter
4:46.0,,,78-98,,M. Webster misses 2-pt shot from 6 ft
4:45.0,,,78-98,,Offensive rebound by O. Porter
4:35.0,,,78-98,,Turnover by M. Webster (lost ball; steal by J. Adams)
4:25.0,R. Smith misses 2-pt shot from 1 ft (block by M. Gortat),,78-98,,
4:25.0,Offensive rebound by Team,,78-98,,
4:25.0,,,78-98,,R. Butler enters the game for M. Gortat
4:19.0,J. Stokes misses 2-pt shot from 14 ft,,78-98,,
4:19.0,,,78-98,,Defensive rebound by M. Webster
4:18.0,Personal foul by R. Smith (drawn by M. Webster),,78-98,,
4:18.0,,,78-98,,M. Webster misses free throw 1 of 2
4:18.0,,,78-98,,Offensive rebound by Team
4:18.0,,,78-99,1,M. Webster makes free throw 2 of 2
4:06.0,J. Stokes makes 2-pt shot from 2 ft,2,80-99,,
3:54.0,,,80-99,,Turnover by R. Sessions (lost ball; steal by J. Adams)
3:53.0,,,80-99,,Personal take foul by D. Gooden (drawn by J. Adams)
3:53.0,,,80-99,,T. Murry enters the game for O. Porter
3:39.0,Turnover by R. Smith (bad pass; steal by D. Gooden),,80-99,,
3:31.0,,,80-99,,M. Webster misses 3-pt shot from 22 ft
3:29.0,Defensive rebound by N. Calathes,,80-99,,
3:16.0,Turnover by R. Smith (offensive foul),,80-99,,
3:16.0,Offensive foul by R. Smith,,80-99,,
2:52.0,,,80-99,,Shooting foul by J. Stokes (drawn by D. Gooden)
2:52.0,Memphis full timeout,,80-99,,
2:52.0,,,80-100,1,D. Gooden makes free throw 1 of 2
2:52.0,,,80-100,,D. Gooden misses free throw 2 of 2
2:51.0,Defensive rebound by J. Stokes,,80-100,,
2:32.0,J. Adams misses 3-pt shot from 23 ft,,80-100,,
2:31.0,Offensive rebound by J. Stokes,,80-100,,
2:29.0,J. Stokes makes 2-pt shot from 1 ft,2,82-100,,
2:10.0,,,82-102,2,T. Murry makes 2-pt shot from 1 ft
1:54.0,Turnover by R. Smith (bad pass; steal by T. Murry),,82-102,,
1:51.0,,,82-102,,Shooting foul by N. Calathes (drawn by T. Murry)
1:51.0,,,82-103,1,T. Murry makes free throw 1 of 2
1:51.0,,,82-103,,D. Blair enters the game for D. Gooden
1:51.0,,,82-104,1,T. Murry makes free throw 2 of 2
1:32.0,J. Green makes 2-pt shot at rim (assist by J. Stokes),2,84-104,,
1:18.0,,,84-104,,Turnover by T. Murry (bad pass)
1:00.0,J. Green misses 2-pt shot from 19 ft,,84-104,,
1:00.0,Offensive rebound by J. Stokes,,84-104,,
0:59.0,,,84-104,,Personal foul by T. Murry (drawn by J. Stokes)
0:59.0,J. Stokes misses free throw 1 of 2,,84-104,,
0:59.0,Offensive rebound by Team,,84-104,,
0:59.0,J. Stokes misses free throw 2 of 2,,84-104,,
0:58.0,,,84-104,,Defensive rebound by D. Blair
0:46.0,,,84-107,3,R. Butler makes 3-pt shot from 26 ft (assist by R. Sessions)
0:34.0,,,84-107,,Personal foul by M. Webster (drawn by J. Green)
0:34.0,J. Green makes free throw 1 of 2,1,85-107,,
0:34.0,J. Green misses free throw 2 of 2,,85-107,,
0:32.0,,,85-107,,Defensive rebound by R. Sessions
0:21.0,,,85-107,,Turnover by T. Murry (lost ball; steal by R. Smith)
0:20.0,,,85-107,,Personal block foul by T. Murry (drawn by R. Smith)
0:20.0,R. Smith makes free throw 1 of 2,1,86-107,,
0:20.0,R. Smith makes free throw 2 of 2,1,87-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
