time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Muscala vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: M. Muscala vs. N. Noel (L. Mbah a Moute gains possession)
11:41.0,,,0-0,,N. Noel misses 2-pt shot from 4 ft (block by A. Horford)
11:40.0,,,0-0,,Offensive rebound by Team
11:31.0,,,0-2,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by I. Canaan)
11:14.0,M. Muscala makes 2-pt shot from 19 ft (assist by J. Teague),2,2-2,,
10:55.0,,,2-2,,N. Noel misses 2-pt shot from 3 ft
10:54.0,,,2-2,,Offensive rebound by N. Noel
10:52.0,,,2-2,,N. Noel misses 2-pt shot from 3 ft (block by A. Horford)
10:50.0,Defensive rebound by K. Bazemore,,2-2,,
10:47.0,Shooting foul by R. Covington (drawn by K. Bazemore),,2-2,,
10:47.0,K. Bazemore misses free throw 1 of 2,,2-2,,
10:47.0,Offensive rebound by Team,,2-2,,
10:47.0,K. Bazemore makes free throw 2 of 2,1,3-2,,
10:36.0,,,3-2,,R. Covington misses 3-pt shot from 25 ft (block by K. Bazemore)
10:35.0,Defensive rebound by J. Jenkins,,3-2,,
10:29.0,J. Teague makes 3-pt shot from 25 ft,3,6-2,,
10:06.0,,,6-2,,J. Sampson misses 3-pt shot from 27 ft
10:04.0,,,6-2,,Offensive rebound by J. Sampson
9:56.0,,,6-2,,Turnover by R. Covington (bad pass)
9:36.0,Turnover by J. Teague (bad pass; steal by J. Sampson),,6-2,,
9:27.0,,,6-2,,I. Canaan misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by M. Muscala,,6-2,,
9:16.0,J. Teague misses 2-pt shot from 2 ft,,6-2,,
9:15.0,,,6-2,,Defensive rebound by L. Mbah a Moute
9:00.0,,,6-5,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by I. Canaan)
8:45.0,J. Jenkins misses 2-pt shot from 17 ft,,6-5,,
8:44.0,,,6-5,,Defensive rebound by L. Mbah a Moute
8:25.0,,,6-5,,J. Sampson misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by K. Bazemore,,6-5,,
8:19.0,K. Bazemore misses 2-pt shot from 2 ft,,6-5,,
8:16.0,,,6-5,,Defensive rebound by I. Canaan
8:14.0,,,6-5,,Shooting foul by J. Teague (drawn by I. Canaan)
8:14.0,,,6-6,1,I. Canaan makes free throw 1 of 2
8:14.0,,,6-7,1,I. Canaan makes free throw 2 of 2
7:55.0,A. Horford makes 2-pt shot from 16 ft,2,8-7,,
7:41.0,,,8-7,,R. Covington misses 2-pt shot from 19 ft
7:41.0,,,8-7,,Offensive rebound by Team
7:41.0,Loose ball foul by M. Muscala (drawn by N. Noel),,8-7,,
7:30.0,,,8-9,2,L. Mbah a Moute makes 2-pt shot from 20 ft
7:15.0,A. Horford misses 2-pt shot from 5 ft,,8-9,,
7:13.0,Offensive rebound by M. Muscala,,8-9,,
7:13.0,M. Muscala misses 2-pt shot from 1 ft,,8-9,,
7:12.0,,,8-9,,Defensive rebound by L. Mbah a Moute
7:03.0,,,8-9,,Turnover by N. Noel (lost ball; steal by J. Teague)
6:58.0,Turnover by J. Jenkins (lost ball; steal by I. Canaan),,8-9,,
6:52.0,,,8-11,2,N. Noel makes 2-pt shot at rim (assist by J. Sampson)
6:37.0,Shooting foul by J. Sampson (drawn by K. Bazemore),,8-11,,
6:37.0,K. Bazemore makes free throw 1 of 2,1,9-11,,
6:37.0,K. Bazemore makes free throw 2 of 2,1,10-11,,
6:37.0,,,10-11,,Philadelphia full timeout
6:24.0,,,10-11,,J. Sampson misses 2-pt shot from 3 ft (block by A. Horford)
6:22.0,Defensive rebound by A. Horford,,10-11,,
6:12.0,M. Muscala misses 2-pt shot from 18 ft,,10-11,,
6:10.0,,,10-11,,Defensive rebound by N. Noel
5:57.0,,,10-11,,R. Covington misses 2-pt shot from 6 ft (block by M. Muscala)
5:55.0,Defensive rebound by M. Muscala,,10-11,,
5:51.0,J. Jenkins makes 3-pt shot from 24 ft (assist by A. Horford),3,13-11,,
5:36.0,,,13-13,2,R. Covington makes 2-pt shot from 19 ft (assist by L. Mbah a Moute)
5:26.0,J. Teague misses 2-pt shot from 12 ft,,13-13,,
5:25.0,,,13-13,,Defensive rebound by R. Covington
5:20.0,,,13-15,2,N. Noel makes 2-pt shot at rim (assist by I. Canaan)
5:19.0,Atlanta full timeout,,13-15,,
5:19.0,M. Scott enters the game for J. Jenkins,,13-15,,
5:19.0,D. Schroder enters the game for M. Muscala,,13-15,,
5:19.0,,,13-15,,F. Aldemir enters the game for J. Sampson
5:19.0,,,13-15,,J. Grant enters the game for L. Mbah a Moute
5:05.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,15-15,,
4:46.0,,,15-15,,I. Canaan misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by K. Bazemore,,15-15,,
4:26.0,A. Horford makes 2-pt shot from 2 ft,2,17-15,,
4:10.0,,,17-18,3,R. Covington makes 3-pt shot from 25 ft
4:06.0,,,17-18,,L. Mbah a Moute enters the game for R. Covington
3:53.0,J. Teague makes 2-pt shot from 2 ft (assist by A. Horford),2,19-18,,
3:32.0,,,19-18,,L. Mbah a Moute misses 2-pt shot from 15 ft
3:31.0,Defensive rebound by M. Scott,,19-18,,
3:25.0,Turnover by D. Schroder (lost ball; steal by N. Noel),,19-18,,
3:20.0,,,19-18,,Turnover by J. Grant (lost ball; steal by K. Bazemore)
3:15.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,21-18,,
2:44.0,,,21-18,,F. Aldemir misses 2-pt shot from 2 ft
2:43.0,Defensive rebound by J. Teague,,21-18,,
2:38.0,J. Teague misses 2-pt shot from 3 ft,,21-18,,
2:36.0,,,21-18,,Defensive rebound by J. Grant
2:29.0,,,21-18,,I. Canaan misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by M. Scott,,21-18,,
2:19.0,D. Schroder misses 3-pt shot from 24 ft,,21-18,,
2:18.0,,,21-18,,Defensive rebound by F. Aldemir
2:10.0,,,21-18,,L. Mbah a Moute misses 3-pt shot from 26 ft
2:09.0,Defensive rebound by M. Scott,,21-18,,
2:01.0,Shooting foul by N. Noel (drawn by J. Teague),,21-18,,
2:01.0,J. Teague makes free throw 1 of 2,1,22-18,,
2:01.0,E. Brand enters the game for A. Horford,,22-18,,
2:01.0,S. Mack enters the game for K. Bazemore,,22-18,,
2:01.0,,,22-18,,T. Robinson enters the game for L. Mbah a Moute
2:01.0,,,22-18,,I. Smith enters the game for N. Noel
2:01.0,,,22-18,,J. Sampson enters the game for I. Canaan
2:01.0,J. Teague makes free throw 2 of 2,1,23-18,,
1:38.0,,,23-18,,J. Sampson misses 2-pt shot from 3 ft (block by J. Teague)
1:35.0,Defensive rebound by J. Teague,,23-18,,
1:25.0,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder),3,26-18,,
1:14.0,,,26-18,,J. Grant misses 2-pt shot from 3 ft
1:13.0,,,26-18,,Offensive rebound by F. Aldemir
1:13.0,,,26-18,,Shooting foul by E. Brand (drawn by F. Aldemir)
1:13.0,J. Jenkins enters the game for J. Teague,,26-18,,
1:13.0,,,26-18,,F. Aldemir misses free throw 1 of 2
1:13.0,,,26-18,,Offensive rebound by Team
1:13.0,,,26-18,,F. Aldemir misses free throw 2 of 2
1:12.0,Defensive rebound by M. Scott,,26-18,,
0:58.0,D. Schroder makes 2-pt shot from 1 ft,2,28-18,,
0:49.0,,,28-20,2,T. Robinson makes 2-pt shot from 17 ft
0:32.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,31-20,,
0:12.0,,,31-20,,Turnover by F. Aldemir (lost ball)
0:06.0,Turnover by D. Schroder (bad pass; steal by J. Grant),,31-20,,
0:02.0,,,31-20,,J. Grant misses 2-pt shot from 5 ft
0:02.0,,,31-20,,Offensive rebound by J. Sampson
0:01.0,,,31-20,,J. Sampson misses 2-pt shot at rim
0:00.0,Defensive rebound by Team,,31-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Jenkins makes 2-pt shot from 16 ft (assist by S. Mack),2,33-20,,
11:30.0,,,33-20,,I. Smith misses 2-pt shot from 5 ft
11:29.0,Defensive rebound by E. Brand,,33-20,,
11:20.0,Turnover by S. Mack (lost ball),,33-20,,
11:08.0,,,33-20,,T. Robinson misses 2-pt shot from 14 ft
11:05.0,Defensive rebound by M. Scott,,33-20,,
10:59.0,M. Scott misses 3-pt shot from 25 ft,,33-20,,
10:57.0,Offensive rebound by D. Schroder,,33-20,,
10:43.0,Turnover by D. Schroder (palming),,33-20,,
10:30.0,,,33-20,,Turnover by H. Thompson (bad pass; steal by E. Brand)
10:22.0,S. Mack makes 3-pt shot from 24 ft (assist by M. Scott),3,36-20,,
10:17.0,,,36-20,,Philadelphia full timeout
10:01.0,,,36-20,,H. Thompson misses 2-pt shot from 16 ft
