time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Howard (T. Splitter gains possession),,,,Jump ball: T. Duncan vs. D. Howard (T. Splitter gains possession)
11:47.0,,,0-2,2,T. Duncan makes 2-pt shot from 8 ft (assist by M. Belinelli)
11:32.0,P. Beverley misses 2-pt shot from 3 ft (block by T. Splitter),,0-2,,
11:31.0,,,0-2,,Defensive rebound by T. Duncan
11:17.0,,,0-4,2,T. Duncan makes 2-pt shot from 8 ft (assist by D. Green)
11:07.0,Turnover by J. Harden (bad pass; steal by D. Green),,0-4,,
11:01.0,,,0-6,2,C. Joseph makes 2-pt shot at rim (assist by M. Belinelli)
10:43.0,T. Ariza makes 2-pt shot from 13 ft (assist by J. Harden),2,2-6,,
10:22.0,,,2-6,,T. Splitter misses 2-pt shot from 4 ft
10:21.0,,,2-6,,Offensive rebound by T. Duncan
10:14.0,,,2-8,2,D. Green makes 2-pt shot from 7 ft (assist by T. Splitter)
10:02.0,,,2-8,,Personal foul by T. Splitter (drawn by D. Howard)
9:47.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Smith),3,5-8,,
9:25.0,,,5-8,,D. Green misses 3-pt shot from 25 ft
9:24.0,,,5-8,,Offensive rebound by C. Joseph
9:13.0,,,5-8,,T. Duncan misses 2-pt shot from 6 ft (block by D. Howard)
9:12.0,,,5-8,,Offensive rebound by T. Splitter
9:12.0,,,5-10,2,T. Splitter makes 2-pt shot from 1 ft
9:07.0,Houston full timeout,,5-10,,
8:55.0,J. Harden makes 3-pt shot from 26 ft (assist by T. Ariza),3,8-10,,
8:41.0,Jump ball: D. Green vs. J. Smith (T. Ariza gains possession),,,,Jump ball: D. Green vs. J. Smith (T. Ariza gains possession)
8:41.0,,,8-10,,Turnover by D. Green (lost ball; steal by J. Smith)
8:32.0,T. Ariza misses 2-pt shot from 18 ft,,8-10,,
8:31.0,,,8-10,,Defensive rebound by D. Green
8:22.0,,,8-10,,T. Duncan misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by P. Beverley,,8-10,,
8:02.0,D. Howard makes 2-pt shot from 1 ft,2,10-10,,
7:43.0,,,10-10,,M. Belinelli misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by P. Beverley,,10-10,,
7:37.0,P. Beverley misses 2-pt shot from 3 ft,,10-10,,
7:36.0,,,10-10,,Defensive rebound by T. Duncan
7:28.0,,,10-13,3,D. Green makes 3-pt shot from 25 ft
7:18.0,,,10-13,,Violation by T. Splitter (kicked ball)
7:05.0,P. Beverley misses 3-pt shot from 23 ft,,10-13,,
7:04.0,Offensive rebound by D. Howard,,10-13,,
7:04.0,D. Howard makes 2-pt shot at rim,2,12-13,,
6:50.0,,,12-13,,T. Splitter misses 2-pt shot from 5 ft
6:49.0,Defensive rebound by J. Smith,,12-13,,
6:46.0,Offensive charge foul by J. Harden,,12-13,,
6:46.0,Turnover by J. Harden (offensive foul),,12-13,,
6:23.0,,,12-15,2,T. Duncan makes 2-pt shot from 7 ft
6:11.0,J. Smith makes 2-pt shot from 5 ft (assist by P. Beverley),2,14-15,,
5:58.0,,,14-15,,Turnover by T. Duncan (bad pass; steal by J. Harden)
5:54.0,J. Harden makes 2-pt shot from 2 ft,2,16-15,,
5:29.0,,,16-17,2,T. Duncan makes 2-pt shot at rim (assist by D. Green)
5:14.0,D. Howard misses 2-pt shot from 7 ft,,16-17,,
5:12.0,Offensive rebound by J. Harden,,16-17,,
5:11.0,J. Harden misses 2-pt shot from 1 ft (block by T. Splitter),,16-17,,
5:09.0,Offensive rebound by J. Smith,,16-17,,
5:07.0,J. Smith makes 2-pt shot at rim,2,18-17,,
4:44.0,,,18-17,,C. Joseph misses 2-pt shot from 17 ft
4:42.0,Defensive rebound by J. Smith,,18-17,,
4:34.0,T. Ariza misses 3-pt shot from 23 ft,,18-17,,
4:33.0,,,18-17,,Defensive rebound by T. Splitter
4:30.0,,,18-17,,San Antonio full timeout
4:30.0,D. Motiejunas enters the game for D. Howard,,18-17,,
4:30.0,C. Brewer enters the game for T. Ariza,,18-17,,
4:30.0,,,18-17,,B. Diaw enters the game for T. Splitter
4:30.0,,,18-17,,M. Ginobili enters the game for M. Belinelli
4:13.0,,,18-19,2,T. Duncan makes 2-pt shot from 6 ft
4:13.0,Shooting block foul by D. Motiejunas (drawn by T. Duncan),,18-19,,
4:13.0,,,18-20,1,T. Duncan makes free throw 1 of 1
3:56.0,J. Smith misses 2-pt shot from 5 ft,,18-20,,
3:56.0,,,18-20,,Defensive rebound by T. Duncan
3:33.0,,,18-20,,D. Green misses 2-pt shot from 20 ft
3:32.0,Defensive rebound by D. Motiejunas,,18-20,,
3:28.0,Shooting foul by M. Ginobili (drawn by J. Harden),,18-20,,
3:28.0,J. Harden makes free throw 1 of 2,1,19-20,,
3:28.0,J. Terry enters the game for P. Beverley,,19-20,,
3:28.0,,,19-20,,P. Mills enters the game for C. Joseph
3:28.0,,,19-20,,A. Baynes enters the game for T. Duncan
3:28.0,J. Harden makes free throw 2 of 2,1,20-20,,
3:14.0,,,20-22,2,A. Baynes makes 2-pt shot at rim (assist by D. Green)
2:57.0,J. Harden makes 2-pt shot from 13 ft,2,22-22,,
2:47.0,Personal foul by J. Harden (drawn by D. Green),,22-22,,
2:47.0,,,22-23,1,D. Green makes free throw 1 of 3
2:47.0,,,22-24,1,D. Green makes free throw 2 of 3
2:47.0,T. Ariza enters the game for J. Harden,,22-24,,
2:47.0,J. Dorsey enters the game for J. Smith,,22-24,,
2:47.0,,,22-25,1,D. Green makes free throw 3 of 3
2:30.0,J. Terry misses 3-pt shot from 24 ft,,22-25,,
2:30.0,Offensive rebound by Team,,22-25,,
2:30.0,,,22-25,,Loose ball foul by D. Green (drawn by J. Dorsey)
2:30.0,,,22-25,,M. Belinelli enters the game for D. Green
2:24.0,Turnover by T. Ariza (bad pass),,22-25,,
2:13.0,,,22-25,,Offensive foul by P. Mills
2:13.0,,,22-25,,Turnover by P. Mills (offensive foul)
2:03.0,Turnover by D. Motiejunas (bad pass; steal by M. Ginobili),,22-25,,
1:50.0,,,22-25,,P. Mills misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by T. Ariza,,22-25,,
1:41.0,T. Ariza misses 2-pt shot from 4 ft,,22-25,,
1:40.0,,,22-25,,Defensive rebound by M. Ginobili
1:24.0,,,22-25,,P. Mills misses 3-pt shot from 24 ft
1:23.0,,,22-25,,Offensive rebound by A. Baynes
1:16.0,,,22-25,,M. Belinelli misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by J. Terry,,22-25,,
1:07.0,Shooting foul by A. Baynes (drawn by D. Motiejunas),,22-25,,
1:07.0,D. Motiejunas makes free throw 1 of 2,1,23-25,,
1:07.0,D. Motiejunas misses free throw 2 of 2,,23-25,,
1:05.0,Offensive rebound by T. Ariza,,23-25,,
0:58.0,Shooting foul by M. Ginobili (drawn by D. Motiejunas),,23-25,,
0:58.0,D. Motiejunas makes free throw 1 of 2,1,24-25,,
0:58.0,D. Motiejunas makes free throw 2 of 2,1,25-25,,
0:47.0,,,25-25,,Turnover by M. Ginobili (lost ball; steal by J. Dorsey)
0:43.0,C. Brewer makes 2-pt shot from 2 ft (assist by J. Dorsey),2,27-25,,
0:30.0,,,27-28,3,B. Diaw makes 3-pt shot from 24 ft (assist by P. Mills)
0:11.0,J. Terry misses 3-pt shot from 25 ft,,27-28,,
0:10.0,Offensive rebound by J. Dorsey,,27-28,,
0:06.0,T. Ariza misses 3-pt shot from 23 ft,,27-28,,
0:05.0,Offensive rebound by D. Motiejunas,,27-28,,
0:05.0,D. Motiejunas misses 2-pt shot at rim (block by P. Mills),,27-28,,
0:05.0,Offensive rebound by Team,,27-28,,
0:03.0,D. Motiejunas makes 3-pt shot from 23 ft (assist by T. Ariza),3,30-28,,
0:02.0,,,30-28,,Turnover by B. Diaw (bad pass; steal by D. Motiejunas)
0:00.0,C. Brewer makes 3-pt shot from 28 ft (assist by D. Motiejunas),3,33-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. Brewer misses 2-pt shot from 1 ft,,33-28,,
11:43.0,,,33-28,,Defensive rebound by B. Diaw
11:31.0,,,33-28,,A. Baynes misses 2-pt shot from 5 ft
11:30.0,Defensive rebound by D. Howard,,33-28,,
11:19.0,Shooting foul by A. Baynes (drawn by D. Howard),,33-28,,
11:19.0,D. Howard makes free throw 1 of 2,1,34-28,,
11:19.0,D. Howard misses free throw 2 of 2,,34-28,,
11:18.0,,,34-28,,Defensive rebound by A. Baynes
11:06.0,,,34-28,,M. Belinelli misses 2-pt shot from 18 ft
11:06.0,Defensive rebound by Team,,34-28,,
11:06.0,,,34-28,,Loose ball foul by A. Baynes (drawn by D. Howard)
10:59.0,C. Brewer makes 3-pt shot from 22 ft (assist by J. Terry),3,37-28,,
10:49.0,,,37-30,2,M. Ginobili makes 2-pt shot from 1 ft
10:41.0,,,37-30,,Personal block foul by A. Baynes (drawn by D. Howard)
10:28.0,D. Motiejunas makes 2-pt shot from 6 ft,2,39-30,,
10:11.0,,,39-33,3,M. Ginobili makes 3-pt shot from 23 ft
9:57.0,,,39-33,,Personal foul by B. Diaw (drawn by D. Motiejunas)
9:42.0,D. Howard makes 2-pt shot from 5 ft (assist by J. Terry),2,41-33,,
9:23.0,,,41-35,2,M. Ginobili makes 2-pt shot from 1 ft (assist by A. Baynes)
9:09.0,Turnover by D. Howard (bad pass),,41-35,,
8:56.0,,,41-35,,Turnover by M. Belinelli (bad pass; steal by T. Ariza)
8:53.0,,,41-35,,Shooting block foul by M. Ginobili (drawn by C. Brewer)
8:53.0,Official timeout,,41-35,,
8:53.0,,,41-35,,D. Green enters the game for M. Ginobili
8:53.0,,,41-35,,T. Splitter enters the game for A. Baynes
8:53.0,C. Brewer makes free throw 1 of 2,1,42-35,,
8:53.0,C. Brewer makes free throw 2 of 2,1,43-35,,
8:42.0,,,43-35,,M. Belinelli misses 3-pt shot from 22 ft
8:41.0,Defensive rebound by D. Howard,,43-35,,
8:29.0,D. Motiejunas misses 2-pt shot from 5 ft,,43-35,,
8:28.0,Offensive rebound by D. Howard,,43-35,,
8:28.0,D. Howard makes 2-pt shot from 1 ft,2,45-35,,
8:09.0,,,45-37,2,B. Diaw makes 2-pt shot from 2 ft
7:56.0,Turnover by C. Brewer (bad pass; steal by D. Green),,45-37,,
7:50.0,,,45-39,2,D. Green makes 2-pt shot from 1 ft
7:40.0,Offensive charge foul by D. Howard,,45-39,,
7:40.0,Turnover by D. Howard (offensive foul),,45-39,,
7:40.0,J. Smith enters the game for D. Motiejunas,,45-39,,
7:40.0,P. Beverley enters the game for J. Terry,,45-39,,
7:40.0,J. Harden enters the game for C. Brewer,,45-39,,
7:23.0,,,45-39,,B. Diaw misses 2-pt shot from 6 ft
7:22.0,Defensive rebound by J. Smith,,45-39,,
7:10.0,D. Howard makes 2-pt shot from 3 ft,2,47-39,,
6:52.0,,,47-39,,M. Belinelli misses 2-pt shot from 18 ft
6:51.0,,,47-39,,Offensive rebound by D. Green
