time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. N. Noel (R. Covington gains possession),,,,Jump ball: L. Amundson vs. N. Noel (R. Covington gains possession)
11:41.0,N. Noel misses 2-pt shot from 4 ft (block by L. Amundson),,0-0,,
11:40.0,,,0-0,,Defensive rebound by L. Thomas
11:29.0,,,0-0,,A. Bargnani misses 2-pt shot from 20 ft
11:28.0,Defensive rebound by N. Noel,,0-0,,
11:19.0,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith),3,3-0,,
11:03.0,,,3-0,,Turnover by A. Bargnani (bad pass)
10:51.0,F. Aldemir misses 3-pt shot from 26 ft,,3-0,,
10:50.0,,,3-0,,Defensive rebound by S. Larkin
10:41.0,,,3-2,2,S. Larkin makes 2-pt shot from 15 ft
10:18.0,N. Noel makes 2-pt shot from 17 ft (assist by I. Smith),2,5-2,,
10:00.0,,,5-2,,Shooting foul by F. Aldemir (drawn by L. Amundson)
10:00.0,,,5-2,,L. Amundson misses free throw 1 of 2
10:00.0,,,5-2,,Offensive rebound by Team
10:00.0,,,5-3,1,L. Amundson makes free throw 2 of 2
9:44.0,I. Smith makes 2-pt shot from 6 ft,2,7-3,,
9:25.0,,,7-3,,A. Bargnani misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by Team,,7-3,,
9:24.0,,,7-3,,Loose ball foul by L. Amundson (drawn by F. Aldemir)
9:16.0,,,7-3,,Personal foul by L. Thomas (drawn by J. Grant)
9:03.0,I. Smith makes 3-pt shot from 25 ft (assist by R. Covington),3,10-3,,
8:48.0,,,10-3,,Shooting foul by F. Aldemir (drawn by S. Larkin)
8:48.0,,,10-4,1,S. Larkin makes free throw 1 of 2
8:48.0,,,10-5,1,S. Larkin makes free throw 2 of 2
8:35.0,J. Grant misses 2-pt shot from 3 ft (block by L. Thomas),,10-5,,
8:34.0,,,10-5,,Defensive rebound by L. Amundson
8:22.0,,,10-7,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
8:02.0,J. Richardson enters the game for F. Aldemir,,10-7,,
7:56.0,I. Smith misses 2-pt shot from 21 ft,,10-7,,
7:55.0,,,10-7,,Defensive rebound by L. Galloway
7:50.0,,,10-7,,L. Galloway misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by J. Grant,,10-7,,
7:41.0,R. Covington misses 3-pt shot from 26 ft,,10-7,,
7:40.0,,,10-7,,Defensive rebound by S. Larkin
7:35.0,Personal foul by J. Grant (drawn by A. Bargnani),,10-7,,
7:25.0,,,10-9,2,L. Galloway makes 2-pt shot from 17 ft (assist by A. Bargnani)
7:09.0,R. Covington misses 3-pt shot from 27 ft,,10-9,,
7:08.0,Offensive rebound by N. Noel,,10-9,,
7:07.0,,,10-9,,Personal foul by L. Amundson (drawn by N. Noel)
7:07.0,,,10-9,,Q. Acy enters the game for L. Amundson
7:00.0,I. Smith makes 2-pt shot from 3 ft,2,12-9,,
6:46.0,,,12-9,,L. Galloway misses 3-pt shot from 26 ft
6:45.0,,,12-9,,Offensive rebound by A. Bargnani
6:33.0,,,12-9,,A. Bargnani misses 2-pt shot from 17 ft
6:32.0,,,12-9,,Offensive rebound by Q. Acy
6:30.0,,,12-9,,Turnover by Q. Acy (bad pass)
6:30.0,Philadelphia full timeout,,12-9,,
6:23.0,J. Richardson misses 2-pt shot from 1 ft,,12-9,,
6:22.0,Offensive rebound by J. Richardson,,12-9,,
6:14.0,J. Grant misses 3-pt shot from 25 ft,,12-9,,
6:13.0,,,12-9,,Defensive rebound by L. Thomas
5:52.0,,,12-9,,L. Galloway misses 2-pt shot from 20 ft
5:51.0,,,12-9,,Offensive rebound by A. Bargnani
5:49.0,,,12-9,,Shooting foul by J. Grant (drawn by A. Bargnani)
5:49.0,,,12-10,1,A. Bargnani makes free throw 1 of 2
5:49.0,H. Sims enters the game for J. Grant,,12-10,,
5:49.0,,,12-10,,T. Hardaway enters the game for L. Thomas
5:49.0,,,12-10,,A. Bargnani misses free throw 2 of 2
5:48.0,Defensive rebound by H. Sims,,12-10,,
5:37.0,,,12-10,,Personal foul by L. Galloway (drawn by R. Covington)
5:26.0,J. Richardson misses 3-pt shot from 25 ft,,12-10,,
5:25.0,,,12-10,,Defensive rebound by Q. Acy
5:18.0,,,12-10,,L. Galloway misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by N. Noel,,12-10,,
5:07.0,H. Sims misses 2-pt shot from 15 ft,,12-10,,
5:06.0,,,12-10,,Defensive rebound by L. Galloway
4:56.0,H. Thompson enters the game for R. Covington,,12-10,,
4:49.0,,,12-12,2,Q. Acy makes 2-pt shot from 15 ft (assist by L. Galloway)
4:39.0,I. Smith misses 2-pt shot from 8 ft,,12-12,,
4:38.0,,,12-12,,Defensive rebound by Q. Acy
4:29.0,,,12-14,2,A. Bargnani makes 2-pt shot from 17 ft (assist by S. Larkin)
4:03.0,I. Smith misses 3-pt shot from 26 ft,,12-14,,
4:02.0,Offensive rebound by H. Thompson,,12-14,,
3:50.0,N. Noel makes 2-pt shot from 3 ft (assist by I. Smith),2,14-14,,
3:38.0,,,14-14,,L. Galloway misses 2-pt shot from 2 ft (block by H. Sims)
3:37.0,Defensive rebound by J. Richardson,,14-14,,
3:25.0,H. Sims misses 2-pt shot from 7 ft (block by A. Bargnani),,14-14,,
3:24.0,,,14-14,,Defensive rebound by Team
3:12.0,,,14-17,3,A. Bargnani makes 3-pt shot from 26 ft (assist by T. Hardaway)
2:52.0,Turnover by I. Smith (bad pass; steal by Q. Acy),,14-17,,
2:45.0,,,14-17,,Turnover by T. Hardaway (lost ball; steal by I. Smith)
2:35.0,N. Noel misses 2-pt shot from 13 ft,,14-17,,
2:34.0,,,14-17,,Defensive rebound by Q. Acy
2:24.0,,,14-20,3,A. Bargnani makes 3-pt shot from 26 ft (assist by S. Larkin)
2:00.0,J. Richardson makes 2-pt shot from 2 ft,2,16-20,,
1:51.0,,,16-20,,New York full timeout
1:51.0,J. Sampson enters the game for N. Noel,,16-20,,
1:51.0,G. Robinson enters the game for I. Smith,,16-20,,
1:51.0,,,16-20,,R. Ledo enters the game for S. Larkin
1:41.0,,,16-20,,L. Galloway misses 2-pt shot from 3 ft (block by H. Sims)
1:40.0,,,16-20,,Offensive rebound by Team
1:38.0,,,16-22,2,R. Ledo makes 2-pt shot from 2 ft (assist by T. Hardaway)
1:19.0,H. Sims makes 2-pt shot from 2 ft (assist by J. Richardson),2,18-22,,
1:06.0,Personal foul by H. Thompson (drawn by A. Bargnani),,18-22,,
1:06.0,,,18-23,1,A. Bargnani makes free throw 1 of 2
1:06.0,,,18-24,1,A. Bargnani makes free throw 2 of 2
0:56.0,J. Sampson misses 2-pt shot from 6 ft (block by A. Bargnani),,18-24,,
0:55.0,Offensive rebound by Team,,18-24,,
0:55.0,,,18-24,,J. Smith enters the game for A. Bargnani
0:44.0,H. Sims makes 2-pt shot from 17 ft,2,20-24,,
0:35.0,,,20-26,2,R. Ledo makes 2-pt shot from 3 ft
0:29.0,J. Richardson misses 3-pt shot from 28 ft,,20-26,,
0:28.0,,,20-26,,Defensive rebound by Q. Acy
0:22.0,,,20-26,,T. Hardaway misses 3-pt shot from 27 ft
0:21.0,Defensive rebound by H. Sims,,20-26,,
0:03.0,J. Sampson misses 2-pt shot from 11 ft (block by L. Galloway),,20-26,,
0:02.0,,,20-26,,Defensive rebound by L. Galloway
0:00.0,,,20-26,,L. Galloway misses 3-pt shot from 51 ft
0:00.0,,,20-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,20-28,2,J. Smith makes 2-pt shot from 12 ft
11:26.0,H. Thompson makes 3-pt shot from 26 ft (assist by F. Aldemir),3,23-28,,
11:03.0,,,23-28,,Turnover by T. Hardaway (bad pass)
10:45.0,F. Aldemir misses 2-pt shot from 5 ft (block by Q. Acy),,23-28,,
10:44.0,,,23-28,,Defensive rebound by Team
10:29.0,,,23-30,2,J. Smith makes 2-pt shot from 16 ft (assist by Q. Acy)
10:16.0,R. Covington makes 3-pt shot from 27 ft (assist by J. Sampson),3,26-30,,
10:08.0,,,26-30,,Turnover by R. Ledo (bad pass; steal by R. Covington)
10:00.0,H. Thompson misses 2-pt shot from 2 ft (block by J. Smith),,26-30,,
9:59.0,Offensive rebound by F. Aldemir,,26-30,,
9:43.0,H. Thompson makes 3-pt shot from 23 ft (assist by J. Sampson),3,29-30,,
9:28.0,,,29-30,,R. Ledo misses 2-pt shot from 3 ft
9:27.0,,,29-30,,Offensive rebound by J. Smith
9:27.0,,,29-30,,J. Smith misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by F. Aldemir,,29-30,,
9:09.0,G. Robinson misses 2-pt shot from 2 ft,,29-30,,
9:08.0,Offensive rebound by G. Robinson,,29-30,,
9:08.0,G. Robinson misses 2-pt shot from 2 ft,,29-30,,
9:07.0,Offensive rebound by F. Aldemir,,29-30,,
9:07.0,F. Aldemir misses 2-pt shot from 2 ft,,29-30,,
9:06.0,Offensive rebound by F. Aldemir,,29-30,,
9:06.0,F. Aldemir makes 2-pt shot from 2 ft,2,31-30,,
8:52.0,,,31-30,,Turnover by J. Smith (bad pass)
8:52.0,Official timeout,,31-30,,
8:52.0,J. Grant enters the game for G. Robinson,,31-30,,
8:41.0,H. Thompson makes 3-pt shot from 26 ft (assist by F. Aldemir),3,34-30,,
8:25.0,,,34-32,2,S. Larkin makes 2-pt shot from 2 ft (assist by Q. Acy)
8:04.0,J. Sampson misses 3-pt shot from 27 ft,,34-32,,
8:02.0,Offensive rebound by Team,,34-32,,
8:02.0,,,34-32,,L. Thomas enters the game for R. Ledo
8:02.0,N. Noel enters the game for H. Thompson,,34-32,,
7:55.0,J. Sampson makes 2-pt shot from 3 ft,2,36-32,,
7:39.0,,,36-32,,L. Amundson enters the game for Q. Acy
7:35.0,,,36-32,,Turnover by L. Amundson (bad pass)
7:20.0,N. Noel misses 2-pt shot from 4 ft,,36-32,,
7:19.0,,,36-32,,Defensive rebound by L. Amundson
7:13.0,Violation by J. Sampson (kicked ball),,36-32,,
7:13.0,I. Smith enters the game for J. Sampson,,36-32,,
7:05.0,,,36-32,,T. Hardaway misses 2-pt shot from 3 ft
7:04.0,,,36-32,,Offensive rebound by L. Thomas
7:04.0,,,36-34,2,L. Thomas makes 2-pt shot from 2 ft
6:43.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,38-34,,
6:30.0,,,38-37,3,T. Hardaway makes 3-pt shot from 26 ft (assist by L. Thomas)
6:29.0,Philadelphia full timeout,,38-37,,
6:29.0,,,38-37,,L. Galloway enters the game for L. Thomas
6:29.0,,,38-37,,A. Bargnani enters the game for S. Larkin
6:29.0,,,38-37,,L. Thomas enters the game for J. Smith
6:15.0,R. Covington misses 3-pt shot from 25 ft,,38-37,,
6:14.0,Offensive rebound by R. Covington,,38-37,,
5:53.0,I. Smith makes 2-pt shot from 16 ft,2,40-37,,
5:32.0,,,40-39,2,L. Thomas makes 2-pt shot from 9 ft
5:19.0,Turnover by R. Covington (lost ball; steal by T. Hardaway),,40-39,,
5:15.0,Violation by N. Noel (def goaltending),,40-39,,
5:15.0,,,40-41,2,T. Hardaway makes 2-pt shot from 2 ft
5:15.0,,,40-41,,Shooting foul by I. Smith (drawn by T. Hardaway)
5:15.0,,,40-42,1,T. Hardaway makes free throw 1 of 1
4:54.0,N. Noel makes 2-pt shot from 7 ft,2,42-42,,
4:42.0,,,42-42,,Turnover by L. Thomas (lost ball; steal by J. Grant)
4:37.0,J. Grant makes 2-pt shot at rim (assist by R. Covington),2,44-42,,
4:21.0,Personal foul by R. Covington (drawn by T. Hardaway),,44-42,,
4:14.0,,,44-42,,T. Hardaway misses 3-pt shot from 26 ft
4:12.0,,,44-42,,Offensive rebound by L. Thomas
4:10.0,,,44-42,,L. Thomas misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by I. Smith,,44-42,,
4:02.0,J. Richardson enters the game for R. Covington,,44-42,,
3:55.0,I. Smith makes 2-pt shot from 2 ft,2,46-42,,
3:55.0,Shooting foul by L. Galloway (drawn by I. Smith),,46-42,,
3:55.0,,,46-42,,S. Larkin enters the game for L. Galloway
3:55.0,I. Smith misses free throw 1 of 1,,46-42,,
3:54.0,Offensive rebound by F. Aldemir,,46-42,,
3:54.0,F. Aldemir misses 2-pt shot from 2 ft,,46-42,,
3:53.0,,,46-42,,Defensive rebound by A. Bargnani
3:44.0,,,46-44,2,A. Bargnani makes 2-pt shot from 14 ft (assist by T. Hardaway)
3:25.0,J. Grant misses 2-pt shot from 2 ft,,46-44,,
3:24.0,Offensive rebound by N. Noel,,46-44,,
3:23.0,N. Noel misses 2-pt shot from 3 ft (block by L. Amundson),,46-44,,
3:22.0,Offensive rebound by Team,,46-44,,
3:22.0,H. Thompson enters the game for J. Grant,,46-44,,
3:13.0,Turnover by J. Richardson (bad pass; steal by L. Amundson),,46-44,,
2:56.0,,,46-46,2,L. Thomas makes 2-pt shot from 9 ft (assist by L. Amundson)
2:41.0,I. Smith misses 2-pt shot from 2 ft,,46-46,,
2:40.0,Offensive rebound by F. Aldemir,,46-46,,
2:40.0,F. Aldemir makes 2-pt shot from 2 ft,2,48-46,,
2:25.0,,,48-46,,Shooting foul by F. Aldemir (drawn by A. Bargnani)
2:25.0,,,48-46,,New York full timeout
2:25.0,H. Sims enters the game for F. Aldemir,,48-46,,
2:25.0,,,48-47,1,A. Bargnani makes free throw 1 of 2
2:25.0,,,48-48,1,A. Bargnani makes free throw 2 of 2
2:12.0,J. Richardson misses 3-pt shot from 25 ft,,48-48,,
2:11.0,,,48-48,,Defensive rebound by L. Amundson
1:56.0,,,48-48,,T. Hardaway misses 3-pt shot from 27 ft
1:55.0,,,48-48,,Offensive rebound by S. Larkin
1:49.0,,,48-50,2,L. Thomas makes 2-pt shot from 2 ft (assist by A. Bargnani)
1:33.0,N. Noel misses 2-pt shot from 2 ft,,48-50,,
1:32.0,,,48-50,,Defensive rebound by T. Hardaway
1:17.0,,,48-50,,Turnover by A. Bargnani (bad pass)
1:03.0,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith),3,51-50,,
0:44.0,,,51-52,2,T. Hardaway makes 2-pt shot from 2 ft
0:44.0,Philadelphia full timeout,,51-52,,
0:36.0,H. Thompson misses 3-pt shot from 26 ft,,51-52,,
0:35.0,,,51-52,,Defensive rebound by S. Larkin
0:15.0,,,51-52,,S. Larkin misses 2-pt shot from 2 ft (block by N. Noel)
0:13.0,,,51-52,,Offensive rebound by A. Bargnani
0:12.0,,,51-54,2,A. Bargnani makes 2-pt shot from 16 ft
0:03.0,,,51-54,,Personal foul by S. Larkin (drawn by I. Smith)
0:03.0,,,51-54,,Q. Acy enters the game for L. Amundson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:58.0,,,51-54,,Turnover by L. Amundson (bad pass; steal by I. Smith)
11:49.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith),3,54-54,,
11:24.0,,,54-54,,A. Bargnani misses 2-pt shot from 5 ft
11:23.0,Defensive rebound by F. Aldemir,,54-54,,
11:00.0,I. Smith misses 2-pt shot from 14 ft,,54-54,,
10:59.0,,,54-54,,Defensive rebound by L. Thomas
10:44.0,,,54-54,,L. Thomas misses 3-pt shot from 23 ft
10:43.0,Defensive rebound by N. Noel,,54-54,,
10:37.0,,,54-54,,Personal foul by L. Galloway (drawn by J. Grant)
10:23.0,F. Aldemir misses 3-pt shot from 24 ft,,54-54,,
10:22.0,Offensive rebound by N. Noel,,54-54,,
10:20.0,,,54-54,,Personal foul by S. Larkin (drawn by F. Aldemir)
10:04.0,I. Smith misses 3-pt shot from 27 ft,,54-54,,
10:03.0,Offensive rebound by R. Covington,,54-54,,
9:58.0,R. Covington misses 3-pt shot from 25 ft,,54-54,,
9:57.0,,,54-54,,Defensive rebound by S. Larkin
9:45.0,,,54-56,2,L. Amundson makes 2-pt shot at rim (assist by A. Bargnani)
9:25.0,Shooting foul by L. Amundson (drawn by R. Covington),,54-56,,
9:25.0,R. Covington misses free throw 1 of 2,,54-56,,
9:25.0,Offensive rebound by Team,,54-56,,
9:25.0,R. Covington makes free throw 2 of 2,1,55-56,,
9:06.0,,,55-58,2,S. Larkin makes 2-pt shot from 6 ft
8:56.0,I. Smith misses 2-pt shot from 7 ft,,55-58,,
8:55.0,,,55-58,,Defensive rebound by L. Amundson
8:42.0,,,55-58,,A. Bargnani misses 2-pt shot from 18 ft (block by N. Noel)
8:41.0,,,55-58,,Offensive rebound by Team
8:37.0,,,55-58,,S. Larkin misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by N. Noel,,55-58,,
8:16.0,N. Noel misses 2-pt shot from 7 ft (block by L. Amundson),,55-58,,
8:15.0,,,55-58,,Defensive rebound by A. Bargnani
8:06.0,,,55-58,,A. Bargnani misses 3-pt shot from 25 ft
8:05.0,,,55-58,,Offensive rebound by L. Thomas
7:58.0,,,55-58,,Offensive foul by L. Galloway
7:58.0,,,55-58,,Turnover by L. Galloway (offensive foul)
7:58.0,,,55-58,,R. Ledo enters the game for L. Galloway
7:36.0,J. Grant makes 2-pt shot from 3 ft (assist by I. Smith),2,57-58,,
7:22.0,,,57-60,2,S. Larkin makes 2-pt shot from 2 ft (assist by L. Amundson)
7:09.0,Shooting foul by R. Ledo (drawn by R. Covington),,57-60,,
