time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. A. Stoudemire,,,,Jump ball: Z. Pachulia vs. A. Stoudemire
11:45.0,J. Calderon misses 2-pt shot from 12 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by Team
11:28.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by B. Knight)
11:05.0,A. Stoudemire misses 2-pt shot from 1 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by G. Antetokounmpo
10:51.0,,,0-4,2,B. Knight makes 2-pt shot from 1 ft
10:30.0,Turnover by S. Larkin (bad pass; steal by B. Knight),,0-4,,
10:25.0,,,0-6,2,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia)
10:25.0,,,0-6,,Shooting foul by J. Smith (drawn by G. Antetokounmpo)
10:25.0,New York full timeout,,0-6,,
10:25.0,,,0-7,1,G. Antetokounmpo makes free throw 1 of 1
10:13.0,S. Larkin misses 3-pt shot from 25 ft,,0-7,,
10:11.0,,,0-7,,Defensive rebound by K. Middleton
9:55.0,,,0-10,3,K. Middleton makes 3-pt shot from 24 ft (assist by J. O'Bryant)
9:35.0,J. Calderon misses 3-pt shot from 23 ft,,0-10,,
9:33.0,,,0-10,,Defensive rebound by K. Middleton
9:14.0,,,0-10,,J. O'Bryant misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by S. Larkin,,0-10,,
9:06.0,Turnover by S. Larkin (lost ball; steal by K. Middleton),,0-10,,
9:02.0,,,0-12,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
8:48.0,Turnover by C. Anthony (lost ball; steal by B. Knight),,0-12,,
8:39.0,,,0-12,,B. Knight misses 2-pt shot from 19 ft
8:38.0,,,0-12,,Offensive rebound by Z. Pachulia
8:32.0,,,0-12,,B. Knight misses 2-pt shot at rim (block by A. Stoudemire)
8:31.0,Defensive rebound by Team,,0-12,,
8:17.0,J. Smith misses 2-pt shot from 18 ft,,0-12,,
8:17.0,,,0-12,,Defensive rebound by Team
8:17.0,Loose ball foul by C. Anthony (drawn by K. Middleton),,0-12,,
8:17.0,C. Aldrich enters the game for A. Stoudemire,,0-12,,
8:17.0,T. Hardaway enters the game for S. Larkin,,0-12,,
7:59.0,,,0-12,,Z. Pachulia misses 2-pt shot from 7 ft
7:58.0,,,0-12,,Offensive rebound by J. O'Bryant
7:56.0,,,0-12,,J. O'Bryant misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by C. Anthony,,0-12,,
7:38.0,T. Hardaway misses 2-pt shot from 12 ft,,0-12,,
7:36.0,,,0-12,,Defensive rebound by K. Middleton
7:25.0,,,0-12,,Turnover by Z. Pachulia (3 sec)
7:09.0,J. Calderon misses 2-pt shot at rim,,0-12,,
7:07.0,,,0-12,,Defensive rebound by K. Middleton
7:02.0,,,0-12,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by J. Smith,,0-12,,
