time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. D. Jordan (C. Paul gains possession),,,,Jump ball: T. Black vs. D. Jordan (C. Paul gains possession)
11:33.0,J. Redick makes 3-pt shot from 23 ft (assist by M. Barnes),3,3-0,,
11:18.0,,,3-0,,T. Ariza misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by D. Jordan,,3-0,,
11:03.0,Turnover by J. Redick (bad pass; steal by J. Harden),,3-0,,
10:50.0,Personal foul by B. Griffin (drawn by D. Motiejunas),,3-0,,
10:37.0,,,3-2,2,T. Black makes 2-pt shot from 3 ft (assist by D. Motiejunas)
10:22.0,,,3-2,,Personal foul by I. Canaan (drawn by C. Paul)
10:13.0,J. Redick misses 2-pt shot from 21 ft,,3-2,,
10:11.0,,,3-2,,Defensive rebound by T. Ariza
9:54.0,,,3-5,3,I. Canaan makes 3-pt shot from 27 ft
9:54.0,,,3-5,,Shooting foul by C. Paul (drawn by I. Canaan)
9:54.0,,,3-6,1,I. Canaan makes free throw 1 of 1
9:29.0,Turnover by Team (shot clock),,3-6,,
9:15.0,,,3-6,,D. Motiejunas misses 2-pt shot from 6 ft
9:13.0,Defensive rebound by B. Griffin,,3-6,,
9:06.0,B. Griffin misses 2-pt shot from 3 ft,,3-6,,
9:05.0,,,3-6,,Defensive rebound by T. Black
8:56.0,,,3-6,,Turnover by J. Harden (bad pass)
8:41.0,D. Jordan misses 2-pt shot from 1 ft,,3-6,,
8:40.0,Offensive rebound by D. Jordan,,3-6,,
8:38.0,Offensive charge foul by D. Jordan,,3-6,,
8:38.0,Turnover by D. Jordan (offensive foul),,3-6,,
8:23.0,,,3-8,2,D. Motiejunas makes 2-pt shot from 5 ft
8:15.0,,,3-8,,Personal foul by D. Motiejunas (drawn by D. Jordan)
8:02.0,M. Barnes misses 3-pt shot from 24 ft,,3-8,,
8:01.0,,,3-8,,Defensive rebound by T. Ariza
