time,Denver,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Nurkic (D. Green gains possession),,,,Jump ball: A. Bogut vs. J. Nurkic (D. Green gains possession)
11:47.0,,,0-0,,K. Thompson misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by J. Nurkic,,0-0,,
11:26.0,W. Chandler misses 3-pt shot from 25 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by A. Bogut
11:16.0,,,0-0,,Turnover by D. Green (lost ball; steal by W. Chandler)
11:07.0,Turnover by J. Nurkic (step out of bounds),,0-0,,
11:04.0,,,0-0,,Turnover by S. Curry (bad pass)
10:47.0,G. Harris misses 2-pt shot from 15 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by H. Barnes
10:39.0,,,0-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
10:20.0,Turnover by J. Nurkic (bad pass; steal by S. Curry),,0-3,,
10:15.0,,,0-3,,S. Curry misses 2-pt shot from 5 ft
10:13.0,,,0-3,,Offensive rebound by H. Barnes
10:13.0,,,0-5,2,H. Barnes makes 2-pt shot from 1 ft
9:56.0,T. Lawson misses 2-pt shot from 13 ft,,0-5,,
9:55.0,Offensive rebound by J. Nurkic,,0-5,,
9:53.0,J. Nurkic misses 2-pt shot from 6 ft (block by A. Bogut),,0-5,,
9:52.0,Offensive rebound by J. Nurkic,,0-5,,
9:52.0,Shooting foul by A. Bogut (drawn by J. Nurkic),,0-5,,
9:52.0,J. Nurkic misses free throw 1 of 2,,0-5,,
9:52.0,Offensive rebound by Team,,0-5,,
9:52.0,J. Nurkic makes free throw 2 of 2,1,1-5,,
9:41.0,,,1-5,,K. Thompson misses 3-pt shot from 26 ft
9:40.0,Defensive rebound by D. Gallinari,,1-5,,
9:33.0,D. Gallinari makes 2-pt shot from 19 ft,2,3-5,,
9:18.0,,,3-8,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry)
9:00.0,W. Chandler misses 3-pt shot from 26 ft,,3-8,,
8:59.0,Offensive rebound by Team,,3-8,,
8:59.0,Jump ball: G. Harris vs. K. Thompson,,,,Jump ball: G. Harris vs. K. Thompson
8:41.0,D. Gallinari makes 2-pt shot from 6 ft,2,5-8,,
8:30.0,,,5-11,3,H. Barnes makes 3-pt shot from 24 ft (assist by S. Curry)
8:21.0,,,5-11,,Violation by A. Bogut (kicked ball)
8:14.0,D. Gallinari misses 2-pt shot from 17 ft,,5-11,,
8:13.0,,,5-11,,Defensive rebound by K. Thompson
8:00.0,,,5-13,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut)
7:43.0,J. Nurkic makes 2-pt shot from 8 ft (assist by T. Lawson),2,7-13,,
7:33.0,,,7-13,,K. Thompson misses 3-pt shot from 23 ft
7:32.0,,,7-13,,Offensive rebound by S. Curry
7:27.0,,,7-15,2,S. Curry makes 2-pt shot from 11 ft
7:12.0,Shooting foul by H. Barnes (drawn by J. Nurkic),,7-15,,
7:12.0,J. Nurkic makes 2-pt shot from 1 ft (assist by T. Lawson),2,9-15,,
7:12.0,J. Nurkic makes free throw 1 of 1,1,10-15,,
6:57.0,,,10-18,3,K. Thompson makes 3-pt shot from 23 ft (assist by A. Bogut)
6:49.0,Denver full timeout,,10-18,,
6:43.0,Offensive foul by G. Harris,,10-18,,
6:43.0,Turnover by G. Harris (offensive foul),,10-18,,
6:23.0,,,10-20,2,D. Green makes 2-pt shot from 17 ft (assist by A. Bogut)
6:18.0,Turnover by T. Lawson (bad pass; steal by S. Curry),,10-20,,
6:14.0,,,10-20,,S. Curry misses 2-pt shot from 22 ft
6:12.0,Defensive rebound by D. Gallinari,,10-20,,
5:59.0,W. Chandler misses 2-pt shot from 9 ft,,10-20,,
5:58.0,,,10-20,,Defensive rebound by D. Green
5:42.0,,,10-22,2,K. Thompson makes 2-pt shot from 16 ft
5:30.0,T. Lawson makes 2-pt shot from 1 ft,2,12-22,,
5:16.0,,,12-22,,D. Green misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by J. Nurkic,,12-22,,
5:05.0,T. Lawson misses 3-pt shot from 26 ft,,12-22,,
5:03.0,,,12-22,,Defensive rebound by H. Barnes
4:54.0,,,12-22,,H. Barnes misses 2-pt shot from 18 ft
4:53.0,Defensive rebound by J. Nurkic,,12-22,,
4:47.0,D. Gallinari misses 2-pt shot from 11 ft (block by D. Green),,12-22,,
4:46.0,Offensive rebound by D. Gallinari,,12-22,,
4:45.0,Shooting foul by H. Barnes (drawn by W. Chandler),,12-22,,
4:45.0,W. Chandler makes free throw 1 of 3,1,13-22,,
4:45.0,W. Chandler makes free throw 2 of 3,1,14-22,,
4:45.0,,,14-22,,A. Iguodala enters the game for K. Thompson
4:45.0,,,14-22,,L. Barbosa enters the game for H. Barnes
4:45.0,J. Hickson enters the game for J. Nurkic,,14-22,,
4:45.0,W. Chandler makes free throw 3 of 3,1,15-22,,
4:30.0,,,15-22,,S. Curry misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by J. Hickson,,15-22,,
4:20.0,Turnover by T. Lawson (bad pass; steal by S. Curry),,15-22,,
4:15.0,,,15-22,,A. Iguodala misses 2-pt shot from 1 ft
4:13.0,Defensive rebound by W. Chandler,,15-22,,
4:03.0,Turnover by W. Chandler (bad pass),,15-22,,
3:46.0,,,15-22,,D. Green misses 3-pt shot from 25 ft
3:44.0,,,15-22,,Offensive rebound by A. Bogut
3:37.0,,,15-25,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Bogut)
3:21.0,W. Chandler misses 3-pt shot from 27 ft,,15-25,,
3:20.0,Offensive rebound by G. Harris,,15-25,,
3:18.0,G. Harris makes 2-pt shot from 13 ft,2,17-25,,
3:06.0,,,17-25,,L. Barbosa misses 3-pt shot from 26 ft
3:05.0,Defensive rebound by D. Gallinari,,17-25,,
2:52.0,G. Harris misses 3-pt shot from 25 ft,,17-25,,
2:51.0,,,17-25,,Defensive rebound by A. Iguodala
2:49.0,,,17-27,2,L. Barbosa makes 2-pt shot from 2 ft (assist by A. Iguodala)
2:32.0,T. Lawson misses 3-pt shot from 27 ft,,17-27,,
2:31.0,,,17-27,,Defensive rebound by L. Barbosa
2:29.0,,,17-29,2,S. Curry makes 2-pt shot from 1 ft (assist by L. Barbosa)
2:12.0,D. Gallinari makes 2-pt shot from 2 ft (assist by T. Lawson),2,19-29,,
2:12.0,,,19-29,,Golden State full timeout
2:12.0,,,19-29,,F. Ezeli enters the game for A. Bogut
2:12.0,W. Barton enters the game for G. Harris,,19-29,,
1:58.0,,,19-29,,S. Curry misses 2-pt shot from 22 ft
1:56.0,Defensive rebound by D. Gallinari,,19-29,,
1:44.0,D. Gallinari misses 3-pt shot from 27 ft,,19-29,,
1:43.0,,,19-29,,Defensive rebound by F. Ezeli
1:39.0,,,19-31,2,L. Barbosa makes 2-pt shot from 2 ft
1:15.0,J. Hickson misses 2-pt shot from 6 ft (block by F. Ezeli),,19-31,,
1:13.0,,,19-31,,Defensive rebound by S. Curry
1:09.0,,,19-31,,D. Green misses 2-pt shot from 1 ft
1:08.0,,,19-31,,Offensive rebound by F. Ezeli
