time,New Orleans,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. G. Dieng (O. Asik gains possession),,,,Jump ball: A. Davis vs. G. Dieng (O. Asik gains possession)
11:39.0,Turnover by E. Gordon (bad pass),,0-0,,
11:28.0,,,0-2,2,G. Dieng makes 2-pt shot from 12 ft (assist by A. Wiggins)
11:02.0,Shooting foul by R. Hummel (drawn by O. Asik),,0-2,,
11:02.0,O. Asik makes free throw 1 of 2,1,1-2,,
11:02.0,O. Asik misses free throw 2 of 2,,1-2,,
11:01.0,,,1-2,,Defensive rebound by G. Dieng
10:41.0,,,1-2,,M. Williams misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by A. Davis,,1-2,,
10:31.0,T. Evans misses 2-pt shot at rim,,1-2,,
10:30.0,,,1-2,,Defensive rebound by R. Hummel
10:20.0,,,1-4,2,G. Dieng makes 2-pt shot from 16 ft (assist by M. Williams)
9:57.0,D. Cunningham misses 2-pt shot from 18 ft,,1-4,,
9:56.0,,,1-4,,Defensive rebound by G. Dieng
9:45.0,,,1-6,2,T. Young makes 2-pt shot at rim (assist by R. Hummel)
9:24.0,A. Davis misses 2-pt shot from 20 ft,,1-6,,
9:23.0,,,1-6,,Defensive rebound by G. Dieng
9:13.0,,,1-8,2,T. Young makes 2-pt shot from 1 ft (assist by M. Williams)
8:52.0,E. Gordon misses 2-pt shot at rim,,1-8,,
8:52.0,,,1-8,,Defensive rebound by G. Dieng
8:45.0,,,1-8,,R. Hummel misses 3-pt shot from 22 ft
8:42.0,,,1-8,,Offensive rebound by A. Wiggins
8:36.0,,,1-11,3,T. Young makes 3-pt shot from 25 ft (assist by M. Williams)
8:35.0,New Orleans full timeout,,1-11,,
8:19.0,A. Davis makes 2-pt shot from 6 ft,2,3-11,,
8:00.0,,,3-13,2,M. Williams makes 2-pt shot from 19 ft
7:44.0,O. Asik makes 2-pt shot at rim,2,5-13,,
7:19.0,,,5-15,2,T. Young makes 2-pt shot at rim (assist by G. Dieng)
6:57.0,A. Davis misses 2-pt shot from 14 ft,,5-15,,
6:56.0,Offensive rebound by D. Cunningham,,5-15,,
6:55.0,D. Cunningham makes 2-pt shot from 1 ft,2,7-15,,
6:44.0,,,7-15,,A. Wiggins misses 2-pt shot from 13 ft
6:44.0,Defensive rebound by Team,,7-15,,
6:27.0,E. Gordon makes 2-pt shot from 17 ft,2,9-15,,
6:10.0,,,9-17,2,M. Williams makes 2-pt shot from 15 ft (assist by G. Dieng)
5:56.0,,,9-17,,Personal foul by T. Young (drawn by A. Davis)
5:47.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,12-17,,
5:19.0,,,12-17,,T. Young misses 2-pt shot from 13 ft
5:18.0,Defensive rebound by O. Asik,,12-17,,
5:05.0,A. Davis misses 2-pt shot from 8 ft,,12-17,,
5:03.0,,,12-17,,Defensive rebound by M. Williams
4:51.0,,,12-17,,Shooting foul by A. Davis (drawn by M. Williams)
4:51.0,,,12-17,,M. Williams misses free throw 1 of 2
4:51.0,,,12-17,,Offensive rebound by Team
4:51.0,Q. Pondexter enters the game for D. Cunningham,,12-17,,
4:51.0,,,12-18,1,M. Williams makes free throw 2 of 2
4:38.0,E. Gordon misses 2-pt shot from 8 ft,,12-18,,
4:37.0,,,12-18,,Defensive rebound by R. Hummel
4:28.0,,,12-18,,G. Dieng misses 2-pt shot from 15 ft
4:26.0,Defensive rebound by Team,,12-18,,
4:26.0,,,12-18,,C. Budinger enters the game for R. Hummel
4:13.0,,,12-18,,Personal foul by T. Young (drawn by A. Davis)
4:13.0,A. Ajinca enters the game for O. Asik,,12-18,,
4:13.0,,,12-18,,A. Bennett enters the game for T. Young
4:13.0,,,12-18,,N. Pekovic enters the game for G. Dieng
4:07.0,T. Evans makes 2-pt shot from 1 ft,2,14-18,,
3:58.0,,,14-18,,A. Wiggins misses 2-pt shot from 20 ft
3:57.0,Defensive rebound by A. Davis,,14-18,,
3:37.0,Shooting foul by A. Wiggins (drawn by A. Ajinca),,14-18,,
3:37.0,A. Ajinca makes free throw 1 of 2,1,15-18,,
3:37.0,A. Ajinca makes free throw 2 of 2,1,16-18,,
3:19.0,,,16-18,,N. Pekovic misses 2-pt shot from 4 ft
3:18.0,Defensive rebound by A. Ajinca,,16-18,,
3:12.0,T. Evans makes 2-pt shot from 1 ft,2,18-18,,
3:12.0,,,18-18,,Minnesota full timeout
3:00.0,Personal foul by Q. Pondexter (drawn by A. Wiggins),,18-18,,
2:51.0,,,18-20,2,A. Wiggins makes 2-pt shot at rim
2:36.0,A. Davis makes 2-pt shot from 8 ft,2,20-20,,
2:11.0,Personal foul by A. Ajinca (drawn by N. Pekovic),,20-20,,
2:11.0,N. Wolters enters the game for T. Evans,,20-20,,
2:03.0,,,20-20,,N. Pekovic misses 2-pt shot from 8 ft
2:01.0,Defensive rebound by A. Ajinca,,20-20,,
1:46.0,E. Gordon makes 2-pt shot from 21 ft,2,22-20,,
1:23.0,,,22-20,,A. Wiggins misses 3-pt shot from 24 ft
1:22.0,,,22-20,,Offensive rebound by N. Pekovic
1:21.0,,,22-20,,N. Pekovic misses 2-pt shot at rim
1:19.0,Defensive rebound by A. Ajinca,,22-20,,
1:05.0,E. Gordon misses 3-pt shot from 25 ft,,22-20,,
1:04.0,,,22-20,,Defensive rebound by N. Pekovic
0:54.0,,,22-20,,Turnover by M. Williams (bad pass; steal by A. Davis)
0:51.0,Offensive charge foul by E. Gordon,,22-20,,
0:51.0,Turnover by E. Gordon (offensive foul),,22-20,,
0:51.0,,,22-20,,Z. LaVine enters the game for M. Williams
0:35.0,,,22-20,,A. Wiggins misses 2-pt shot from 4 ft (block by A. Ajinca)
0:32.0,,,22-20,,Offensive rebound by A. Bennett
0:27.0,,,22-20,,Z. LaVine misses 2-pt shot from 11 ft
0:27.0,,,22-20,,Offensive rebound by Team
0:27.0,,,22-20,,Turnover by Team (shot clock)
0:05.0,E. Gordon makes 2-pt shot from 16 ft,2,24-20,,
0:00.0,,,24-20,,C. Budinger misses 3-pt shot from 24 ft
0:00.0,,,24-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-20,,A. Bennett misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by A. Ajinca,,24-20,,
11:33.0,A. Ajinca makes 2-pt shot from 6 ft (assist by N. Wolters),2,26-20,,
11:19.0,,,26-22,2,N. Pekovic makes 2-pt shot at rim (assist by C. Budinger)
11:08.0,Turnover by N. Wolters (bad pass),,26-22,,
10:45.0,,,26-24,2,N. Pekovic makes 2-pt shot at rim (assist by C. Budinger)
10:30.0,A. Ajinca makes 2-pt shot from 17 ft (assist by Q. Pondexter),2,28-24,,
10:04.0,,,28-26,2,C. Budinger makes 2-pt shot at rim
9:52.0,Q. Pondexter misses 2-pt shot from 12 ft,,28-26,,
9:51.0,,,28-26,,Defensive rebound by N. Pekovic
