time,Minnesota,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. A. Horford (N. Pekovic gains possession),,,,Jump ball: G. Dieng vs. A. Horford (N. Pekovic gains possession)
11:36.0,N. Pekovic misses 2-pt shot from 3 ft (block by A. Horford),,0-0,,
11:36.0,Offensive rebound by Team,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:20.0,,,0-2,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
10:58.0,A. Wiggins makes 2-pt shot from 8 ft,2,2-2,,
10:52.0,,,2-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
10:31.0,G. Dieng misses 2-pt shot from 16 ft,,2-4,,
10:30.0,Offensive rebound by T. Young,,2-4,,
10:25.0,M. Williams makes 3-pt shot from 25 ft (assist by T. Young),3,5-4,,
10:19.0,,,5-4,,Turnover by J. Teague (bad pass)
10:05.0,Turnover by T. Young (lost ball; steal by P. Millsap),,5-4,,
9:59.0,,,5-4,,P. Millsap misses 2-pt shot from 1 ft
9:58.0,Defensive rebound by A. Wiggins,,5-4,,
9:44.0,N. Pekovic misses 2-pt shot from 1 ft (block by A. Horford),,5-4,,
9:40.0,,,5-4,,Defensive rebound by P. Millsap
9:37.0,,,5-6,2,D. Carroll makes 2-pt shot from 13 ft (assist by K. Korver)
9:12.0,T. Young misses 3-pt shot from 22 ft,,5-6,,
9:11.0,,,5-6,,Defensive rebound by K. Korver
8:50.0,,,5-6,,J. Teague misses 2-pt shot from 11 ft (block by A. Wiggins)
8:48.0,Defensive rebound by A. Wiggins,,5-6,,
8:37.0,T. Young misses 3-pt shot from 24 ft,,5-6,,
8:36.0,,,5-6,,Defensive rebound by J. Teague
8:30.0,,,5-6,,D. Carroll misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by N. Pekovic,,5-6,,
8:18.0,N. Pekovic makes 2-pt shot at rim (assist by M. Williams),2,7-6,,
8:08.0,,,7-6,,K. Korver misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by M. Williams,,7-6,,
7:55.0,A. Wiggins misses 2-pt shot from 21 ft,,7-6,,
7:52.0,,,7-6,,Defensive rebound by A. Horford
7:41.0,,,7-8,2,A. Horford makes 2-pt shot from 19 ft (assist by P. Millsap)
7:40.0,Minnesota full timeout,,7-8,,
7:19.0,A. Wiggins makes 2-pt shot from 1 ft,2,9-8,,
7:02.0,,,9-8,,J. Teague misses 3-pt shot from 22 ft
7:00.0,Defensive rebound by G. Dieng,,9-8,,
6:47.0,G. Dieng makes 2-pt shot at rim (assist by T. Young),2,11-8,,
6:27.0,,,11-11,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Carroll)
6:06.0,Shooting foul by P. Millsap (drawn by N. Pekovic),,11-11,,
6:06.0,N. Pekovic makes free throw 1 of 2,1,12-11,,
6:06.0,,,12-11,,Violation by A. Horford (lane)
6:06.0,N. Pekovic misses free throw 2 of 2,,12-11,,
6:05.0,,,12-11,,Defensive rebound by A. Horford
5:42.0,,,12-13,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
5:17.0,M. Williams makes 2-pt shot from 1 ft (assist by T. Young),2,14-13,,
5:02.0,,,14-13,,P. Antic enters the game for A. Horford
5:02.0,,,14-13,,T. Sefolosha enters the game for K. Korver
4:49.0,,,14-15,2,J. Teague makes 2-pt shot from 9 ft
4:20.0,M. Williams misses 3-pt shot from 23 ft,,14-15,,
4:20.0,Offensive rebound by Team,,14-15,,
4:20.0,Turnover by Team (shot clock),,14-15,,
4:09.0,,,14-15,,Offensive foul by J. Teague
4:09.0,,,14-15,,Turnover by J. Teague (offensive foul)
4:09.0,R. Hummel enters the game for N. Pekovic,,14-15,,
3:49.0,G. Dieng misses 2-pt shot from 2 ft (block by T. Sefolosha),,14-15,,
3:47.0,,,14-15,,Defensive rebound by P. Antic
3:42.0,,,14-15,,D. Schroder enters the game for J. Teague
3:35.0,,,14-15,,Shooting foul by G. Dieng (drawn by P. Antic)
3:35.0,,,14-17,2,P. Antic makes 2-pt shot from 9 ft (assist by D. Schroder)
3:35.0,,,14-18,1,P. Antic makes free throw 1 of 1
3:11.0,T. Young makes 2-pt shot at rim (assist by G. Dieng),2,16-18,,
2:56.0,,,16-21,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by D. Schroder)
2:41.0,T. Young makes 2-pt shot from 2 ft (assist by M. Williams),2,18-21,,
2:41.0,Shooting foul by P. Millsap (drawn by T. Young),,18-21,,
2:41.0,,,18-21,,Atlanta full timeout
2:41.0,,,18-21,,M. Scott enters the game for P. Millsap
2:41.0,T. Young misses free throw 1 of 1,,18-21,,
2:40.0,,,18-21,,Defensive rebound by D. Carroll
2:23.0,,,18-21,,Shooting foul by G. Dieng (drawn by P. Antic)
2:23.0,,,18-21,,P. Antic misses free throw 1 of 3
2:23.0,,,18-21,,Offensive rebound by Team
2:23.0,,,18-21,,P. Antic misses free throw 2 of 3
2:23.0,,,18-21,,Offensive rebound by Team
2:23.0,N. Pekovic enters the game for G. Dieng,,18-21,,
2:23.0,,,18-21,,P. Antic misses free throw 3 of 3
2:21.0,Defensive rebound by N. Pekovic,,18-21,,
2:01.0,A. Wiggins misses 2-pt shot from 5 ft,,18-21,,
2:00.0,,,18-21,,Defensive rebound by Team
1:44.0,,,18-23,2,D. Schroder makes 2-pt shot from 21 ft
1:26.0,M. Williams makes 2-pt shot from 21 ft (assist by N. Pekovic),2,20-23,,
1:10.0,,,20-23,,D. Schroder misses 3-pt shot from 23 ft
1:04.0,,,20-23,,Offensive rebound by M. Scott
1:03.0,,,20-23,,Turnover by M. Scott (bad pass; steal by A. Wiggins)
0:58.0,R. Hummel makes 2-pt shot at rim (assist by M. Williams),2,22-23,,
0:42.0,,,22-23,,P. Antic misses 3-pt shot from 26 ft
0:41.0,Defensive rebound by R. Hummel,,22-23,,
0:24.0,Shooting foul by D. Carroll (drawn by N. Pekovic),,22-23,,
0:24.0,N. Pekovic makes free throw 1 of 2,1,23-23,,
0:24.0,,,23-23,,A. Horford enters the game for P. Antic
0:24.0,,,23-23,,K. Korver enters the game for D. Carroll
0:24.0,Z. LaVine enters the game for M. Williams,,23-23,,
0:24.0,N. Pekovic makes free throw 2 of 2,1,24-23,,
0:08.0,Personal take foul by Z. LaVine (drawn by D. Schroder),,24-23,,
0:08.0,C. Budinger enters the game for N. Pekovic,,24-23,,
0:02.0,,,24-25,2,D. Schroder makes 2-pt shot at rim
0:00.0,T. Young misses 3-pt shot from 45 ft,,24-25,,
0:00.0,Offensive rebound by Team,,24-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-28,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
11:36.0,,,24-28,,Personal foul by D. Schroder (drawn by Z. LaVine)
11:16.0,Turnover by Team (shot clock),,24-28,,
11:00.0,Personal foul by Z. LaVine (drawn by D. Schroder),,24-28,,
10:54.0,,,24-30,2,D. Schroder makes 2-pt shot from 1 ft (assist by A. Horford)
10:45.0,Minnesota full timeout,,24-30,,
10:34.0,C. Budinger misses 3-pt shot from 24 ft,,24-30,,
10:32.0,,,24-30,,Defensive rebound by M. Scott
10:19.0,,,24-33,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by A. Horford)
10:01.0,Z. LaVine makes 2-pt shot from 16 ft (assist by R. Hummel),2,26-33,,
9:42.0,,,26-33,,M. Scott misses 2-pt shot from 6 ft
9:41.0,Defensive rebound by A. Wiggins,,26-33,,
9:34.0,R. Hummel misses 2-pt shot from 21 ft,,26-33,,
9:33.0,,,26-33,,Defensive rebound by K. Korver
9:31.0,,,26-35,2,M. Scott makes 2-pt shot at rim (assist by K. Korver)
9:31.0,,,26-35,,Shooting foul by Z. LaVine (drawn by M. Scott)
9:31.0,,,26-35,,K. Bazemore enters the game for T. Sefolosha
9:31.0,T. Young enters the game for A. Wiggins,,26-35,,
9:31.0,M. Williams enters the game for Z. LaVine,,26-35,,
9:31.0,,,26-36,1,M. Scott makes free throw 1 of 1
9:08.0,M. Williams misses 3-pt shot from 27 ft,,26-36,,
9:05.0,,,26-36,,Defensive rebound by A. Horford
8:58.0,,,26-36,,D. Schroder misses 2-pt shot at rim
8:56.0,Defensive rebound by R. Hummel,,26-36,,
8:49.0,N. Pekovic misses 2-pt shot from 1 ft (block by K. Bazemore),,26-36,,
8:47.0,,,26-36,,Defensive rebound by A. Horford
8:47.0,Personal foul by M. Williams (drawn by D. Schroder),,26-36,,
8:47.0,Technical foul by Team,,26-36,,
8:47.0,Official timeout,,26-36,,
8:47.0,,,26-37,1,K. Korver makes technical free throw
8:29.0,,,26-37,,M. Scott misses 2-pt shot from 19 ft
8:27.0,Defensive rebound by R. Hummel,,26-37,,
8:11.0,Shooting foul by K. Bazemore (drawn by R. Hummel),,26-37,,
8:11.0,R. Hummel makes free throw 1 of 2,1,27-37,,
8:11.0,R. Hummel makes free throw 2 of 2,1,28-37,,
7:54.0,,,28-39,2,A. Horford makes 2-pt shot from 20 ft (assist by K. Korver)
7:36.0,C. Budinger misses 2-pt shot from 2 ft (block by K. Bazemore),,28-39,,
7:35.0,Offensive rebound by C. Budinger,,28-39,,
7:35.0,Shooting foul by M. Scott (drawn by C. Budinger),,28-39,,
7:35.0,C. Budinger makes free throw 1 of 2,1,29-39,,
7:35.0,,,29-39,,J. Teague enters the game for D. Schroder
7:35.0,C. Budinger makes free throw 2 of 2,1,30-39,,
7:25.0,,,30-39,,Turnover by K. Korver (bad pass; steal by C. Budinger)
7:14.0,Turnover by M. Williams (bad pass; steal by K. Bazemore),,30-39,,
7:08.0,,,30-39,,K. Korver misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by M. Williams,,30-39,,
6:54.0,C. Budinger misses 3-pt shot from 24 ft,,30-39,,
6:53.0,Offensive rebound by T. Young,,30-39,,
6:51.0,,,30-39,,P. Millsap enters the game for M. Scott
6:51.0,Jump ball: K. Korver vs. T. Young (R. Hummel gains possession),,,,Jump ball: K. Korver vs. T. Young (R. Hummel gains possession)
6:40.0,Turnover by M. Williams (bad pass; steal by P. Millsap),,30-39,,
6:25.0,,,30-41,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
6:03.0,N. Pekovic misses 2-pt shot from 5 ft,,30-41,,
6:03.0,,,30-41,,Defensive rebound by P. Millsap
6:03.0,Personal foul by T. Young (drawn by P. Millsap),,30-41,,
6:03.0,G. Dieng enters the game for N. Pekovic,,30-41,,
6:03.0,A. Wiggins enters the game for C. Budinger,,30-41,,
5:44.0,,,30-41,,J. Teague misses 2-pt shot from 10 ft
5:41.0,Defensive rebound by G. Dieng,,30-41,,
5:35.0,T. Young misses 2-pt shot from 5 ft,,30-41,,
5:32.0,,,30-41,,Defensive rebound by P. Millsap
5:25.0,,,30-41,,J. Teague misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by T. Young,,30-41,,
5:21.0,Shooting foul by K. Korver (drawn by G. Dieng),,30-41,,
5:21.0,,,30-41,,Atlanta full timeout
5:21.0,,,30-41,,D. Carroll enters the game for A. Horford
5:21.0,,,30-41,,P. Antic enters the game for K. Korver
5:21.0,G. Dieng misses free throw 1 of 2,,30-41,,
5:21.0,Offensive rebound by Team,,30-41,,
5:21.0,G. Dieng makes free throw 2 of 2,1,31-41,,
5:04.0,,,31-43,2,J. Teague makes 2-pt shot from 1 ft
4:51.0,Turnover by A. Wiggins (lost ball; steal by J. Teague),,31-43,,
4:46.0,,,31-45,2,J. Teague makes 2-pt shot at rim
4:36.0,Minnesota full timeout,,31-45,,
4:28.0,Shooting foul by P. Antic (drawn by G. Dieng),,31-45,,
4:28.0,G. Dieng makes free throw 1 of 2,1,32-45,,
4:28.0,G. Dieng makes free throw 2 of 2,1,33-45,,
4:15.0,,,33-48,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Antic)
3:55.0,T. Young misses 2-pt shot at rim,,33-48,,
3:54.0,,,33-48,,Defensive rebound by Team
3:46.0,,,33-51,3,P. Millsap makes 3-pt shot from 25 ft (assist by P. Antic)
3:20.0,R. Hummel makes 3-pt shot from 23 ft (assist by T. Young),3,36-51,,
3:00.0,,,36-51,,K. Bazemore misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by R. Hummel,,36-51,,
2:51.0,A. Wiggins misses 2-pt shot from 11 ft,,36-51,,
2:50.0,Offensive rebound by G. Dieng,,36-51,,
2:45.0,G. Dieng makes 2-pt shot at rim (assist by M. Williams),2,38-51,,
2:33.0,,,38-53,2,J. Teague makes 2-pt shot from 4 ft
2:05.0,R. Hummel misses 2-pt shot from 17 ft,,38-53,,
2:03.0,Offensive rebound by T. Young,,38-53,,
2:02.0,T. Young makes 2-pt shot at rim,2,40-53,,
