time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. J. Valanciunas (M. Williams gains possession),,,,Jump ball: B. Biyombo vs. J. Valanciunas (M. Williams gains possession)
11:40.0,K. Walker makes 2-pt shot from 3 ft (assist by J. Taylor),2,2-0,,
11:23.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 3 ft
11:02.0,M. Williams makes 3-pt shot from 26 ft (assist by J. Taylor),3,5-2,,
10:44.0,,,5-4,2,T. Ross makes 2-pt shot from 21 ft (assist by K. Lowry)
10:22.0,G. Henderson misses 2-pt shot from 12 ft,,5-4,,
10:21.0,Offensive rebound by Team,,5-4,,
10:03.0,K. Walker makes 3-pt shot from 25 ft (assist by G. Henderson),3,8-4,,
9:44.0,,,8-4,,T. Ross misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by B. Biyombo,,8-4,,
9:32.0,G. Henderson misses 2-pt shot from 5 ft,,8-4,,
9:31.0,,,8-4,,Defensive rebound by T. Hansbrough
9:17.0,,,8-7,3,K. Lowry makes 3-pt shot from 25 ft
9:00.0,Turnover by B. Biyombo (lost ball; steal by D. DeRozan),,8-7,,
8:52.0,,,8-7,,K. Lowry misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by Team,,8-7,,
8:31.0,Shooting foul by J. Valanciunas (drawn by B. Biyombo),,8-7,,
8:31.0,B. Biyombo misses free throw 1 of 2,,8-7,,
8:31.0,Offensive rebound by Team,,8-7,,
8:31.0,B. Biyombo makes free throw 2 of 2,1,9-7,,
8:17.0,,,9-9,2,D. DeRozan makes 2-pt shot from 9 ft (assist by T. Hansbrough)
8:04.0,K. Walker misses 3-pt shot from 26 ft,,9-9,,
8:03.0,,,9-9,,Defensive rebound by J. Valanciunas
7:50.0,,,9-9,,T. Ross misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by M. Williams,,9-9,,
7:40.0,G. Henderson makes 2-pt shot from 9 ft,2,11-9,,
7:22.0,Personal foul by B. Biyombo (drawn by J. Valanciunas),,11-9,,
7:07.0,,,11-11,2,J. Valanciunas makes 2-pt shot from 11 ft (assist by T. Ross)
6:49.0,G. Henderson misses 2-pt shot from 18 ft,,11-11,,
6:48.0,,,11-11,,Defensive rebound by T. Hansbrough
6:37.0,,,11-11,,J. Valanciunas misses 2-pt shot from 6 ft
6:36.0,,,11-11,,Offensive rebound by K. Lowry
6:31.0,,,11-13,2,T. Hansbrough makes 2-pt shot at rim (assist by K. Lowry)
6:22.0,Offensive foul by J. Taylor,,11-13,,
6:22.0,Turnover by J. Taylor (offensive foul),,11-13,,
6:12.0,,,11-13,,Offensive foul by D. DeRozan
6:12.0,,,11-13,,Turnover by D. DeRozan (offensive foul)
6:00.0,K. Walker makes 2-pt shot from 16 ft,2,13-13,,
5:42.0,,,13-15,2,D. DeRozan makes 2-pt shot from 15 ft
5:15.0,M. Williams misses 3-pt shot from 23 ft,,13-15,,
5:14.0,,,13-15,,Defensive rebound by K. Lowry
5:10.0,,,13-15,,Toronto full timeout
4:56.0,,,13-15,,K. Lowry misses 2-pt shot from 8 ft
4:55.0,Defensive rebound by J. Taylor,,13-15,,
4:31.0,G. Henderson misses 2-pt shot from 19 ft,,13-15,,
4:30.0,Offensive rebound by G. Henderson,,13-15,,
4:23.0,K. Walker misses 3-pt shot from 25 ft,,13-15,,
4:22.0,,,13-15,,Defensive rebound by J. Valanciunas
4:02.0,,,13-15,,Turnover by D. DeRozan (bad pass)
3:52.0,M. Williams misses 3-pt shot from 23 ft,,13-15,,
3:51.0,,,13-15,,Defensive rebound by D. DeRozan
3:41.0,,,13-17,2,D. DeRozan makes 2-pt shot from 2 ft
3:25.0,K. Walker makes 2-pt shot from 4 ft,2,15-17,,
3:05.0,,,15-20,3,T. Ross makes 3-pt shot from 23 ft (assist by D. DeRozan)
2:46.0,Shooting foul by T. Hansbrough (drawn by B. Biyombo),,15-20,,
2:46.0,Charlotte full timeout,,15-20,,
2:46.0,,,15-20,,P. Patterson enters the game for T. Hansbrough
2:46.0,,,15-20,,A. Johnson enters the game for J. Valanciunas
2:46.0,,,15-20,,G. Vasquez enters the game for K. Lowry
2:46.0,T. Daniels enters the game for M. Williams,,15-20,,
2:46.0,N. Vonleh enters the game for G. Henderson,,15-20,,
2:46.0,B. Biyombo makes free throw 1 of 2,1,16-20,,
2:46.0,B. Biyombo makes free throw 2 of 2,1,17-20,,
