time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Olynyk (J. Noah gains possession),,,,Jump ball: P. Gasol vs. K. Olynyk (J. Noah gains possession)
11:41.0,M. Dunleavy misses 3-pt shot from 23 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Green
11:26.0,,,0-0,,K. Olynyk misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by Team,,0-0,,
11:03.0,P. Gasol misses 2-pt shot from 3 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by J. Sullinger
10:53.0,,,0-0,,R. Rondo misses 2-pt shot from 14 ft
10:53.0,Defensive rebound by Team,,0-0,,
10:53.0,,,0-0,,Loose ball foul by K. Olynyk (drawn by J. Noah)
10:39.0,M. Dunleavy misses 2-pt shot from 20 ft,,0-0,,
10:37.0,Offensive rebound by P. Gasol,,0-0,,
10:36.0,P. Gasol makes 2-pt shot from 7 ft,2,2-0,,
10:16.0,,,2-2,2,J. Sullinger makes 2-pt shot at rim (assist by K. Olynyk)
10:01.0,J. Noah misses 2-pt shot from 1 ft,,2-2,,
10:00.0,,,2-2,,Defensive rebound by J. Sullinger
9:54.0,,,2-4,2,R. Rondo makes 2-pt shot from 1 ft
9:35.0,,,2-4,,Shooting block foul by J. Sullinger (drawn by M. Dunleavy)
9:35.0,M. Dunleavy makes free throw 1 of 2,1,3-4,,
9:35.0,M. Dunleavy makes free throw 2 of 2,1,4-4,,
9:21.0,,,4-4,,R. Rondo misses 2-pt shot from 5 ft
9:20.0,Defensive rebound by D. Rose,,4-4,,
9:14.0,D. Rose misses 2-pt shot from 1 ft (block by A. Bradley),,4-4,,
9:12.0,Offensive rebound by J. Noah,,4-4,,
9:10.0,J. Noah makes 2-pt shot at rim,2,6-4,,
8:56.0,,,6-6,2,A. Bradley makes 2-pt shot from 19 ft
8:42.0,,,6-6,,Def 3 sec tech foul by K. Olynyk
8:42.0,M. Dunleavy misses technical free throw,,6-6,,
8:42.0,Offensive rebound by Team,,6-6,,
8:31.0,,,6-6,,Personal foul by K. Olynyk (drawn by P. Gasol)
8:24.0,J. Noah misses 2-pt shot from 2 ft,,6-6,,
8:23.0,,,6-6,,Defensive rebound by J. Green
8:08.0,,,6-8,2,J. Green makes 2-pt shot from 17 ft
8:02.0,,,6-8,,Personal foul by A. Bradley (drawn by D. Rose)
8:02.0,,,6-8,,T. Zeller enters the game for K. Olynyk
7:56.0,D. Rose makes 2-pt shot from 1 ft,2,8-8,,
7:38.0,,,8-11,3,A. Bradley makes 3-pt shot from 23 ft (assist by J. Green)
7:17.0,D. Rose makes 2-pt shot at rim (assist by J. Noah),2,10-11,,
7:01.0,,,10-13,2,J. Sullinger makes 2-pt shot from 14 ft
6:44.0,J. Butler misses 2-pt shot from 14 ft,,10-13,,
6:42.0,Offensive rebound by M. Dunleavy,,10-13,,
6:42.0,M. Dunleavy makes 2-pt shot at rim,2,12-13,,
6:36.0,,,12-16,3,A. Bradley makes 3-pt shot from 24 ft (assist by R. Rondo)
6:10.0,P. Gasol makes 2-pt shot from 17 ft (assist by J. Noah),2,14-16,,
5:48.0,,,14-19,3,J. Sullinger makes 3-pt shot from 24 ft (assist by R. Rondo)
5:30.0,,,14-19,,Personal foul by R. Rondo (drawn by D. Rose)
5:30.0,,,14-19,,Boston full timeout
5:30.0,,,14-19,,B. Bass enters the game for J. Sullinger
5:30.0,D. Rose misses free throw 1 of 2,,14-19,,
5:30.0,Offensive rebound by Team,,14-19,,
5:30.0,D. Rose makes free throw 2 of 2,1,15-19,,
5:19.0,,,15-19,,A. Bradley misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by M. Dunleavy,,15-19,,
5:04.0,,,15-19,,Personal foul by J. Green (drawn by J. Butler)
5:04.0,J. Butler makes free throw 1 of 2,1,16-19,,
5:04.0,,,16-19,,E. Turner enters the game for J. Green
5:04.0,K. Hinrich enters the game for D. Rose,,16-19,,
5:04.0,N. Mirotic enters the game for J. Noah,,16-19,,
5:04.0,J. Butler misses free throw 2 of 2,,16-19,,
5:03.0,,,16-19,,Defensive rebound by B. Bass
4:52.0,,,16-19,,Turnover by A. Bradley (bad pass; steal by K. Hinrich)
4:34.0,P. Gasol misses 2-pt shot from 4 ft,,16-19,,
4:33.0,,,16-19,,Defensive rebound by B. Bass
4:27.0,Personal foul by J. Butler (drawn by T. Zeller),,16-19,,
4:08.0,,,16-19,,E. Turner misses 2-pt shot from 13 ft
4:07.0,Defensive rebound by P. Gasol,,16-19,,
4:03.0,Turnover by P. Gasol (lost ball),,16-19,,
3:53.0,,,16-21,2,R. Rondo makes 2-pt shot from 1 ft
3:30.0,Shooting foul by T. Zeller (drawn by J. Butler),,16-21,,
3:30.0,J. Butler misses free throw 1 of 2,,16-21,,
3:30.0,Offensive rebound by Team,,16-21,,
3:30.0,,,16-21,,M. Thornton enters the game for A. Bradley
3:30.0,J. Butler makes free throw 2 of 2,1,17-21,,
3:18.0,,,17-23,2,B. Bass makes 2-pt shot from 1 ft (assist by R. Rondo)
3:18.0,,,17-23,,Shooting foul by P. Gasol (drawn by B. Bass)
3:18.0,A. Brooks enters the game for J. Butler,,17-23,,
3:18.0,,,17-24,1,B. Bass makes free throw 1 of 1
3:04.0,P. Gasol misses 2-pt shot from 5 ft,,17-24,,
3:02.0,,,17-24,,Defensive rebound by B. Bass
2:54.0,Chicago full timeout,,17-24,,
2:54.0,,,17-24,,P. Pressey enters the game for R. Rondo
2:42.0,,,17-24,,B. Bass misses 2-pt shot from 13 ft
2:41.0,Defensive rebound by N. Mirotic,,17-24,,
2:18.0,P. Gasol makes 2-pt shot from 5 ft,2,19-24,,
2:03.0,,,19-26,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
1:48.0,P. Gasol misses 2-pt shot from 4 ft,,19-26,,
1:47.0,,,19-26,,Defensive rebound by T. Zeller
1:38.0,,,19-28,2,E. Turner makes 2-pt shot from 13 ft
1:26.0,A. Brooks makes 2-pt shot from 3 ft,2,21-28,,
1:26.0,Shooting foul by T. Zeller (drawn by A. Brooks),,21-28,,
1:26.0,A. Brooks makes free throw 1 of 1,1,22-28,,
1:05.0,,,22-28,,B. Bass misses 3-pt shot from 22 ft
1:05.0,,,22-28,,Offensive rebound by Team
1:05.0,Loose ball foul by A. Brooks (drawn by T. Zeller),,22-28,,
1:05.0,,,22-28,,K. Olynyk enters the game for T. Zeller
0:51.0,,,22-28,,B. Bass misses 2-pt shot from 4 ft (block by N. Mirotic)
0:50.0,,,22-28,,Offensive rebound by B. Bass
0:49.0,,,22-30,2,B. Bass makes 2-pt shot from 3 ft
0:39.0,Turnover by N. Mirotic (bad pass; steal by M. Thornton),,22-30,,
0:35.0,Personal foul by K. Hinrich (drawn by M. Thornton),,22-30,,
0:35.0,,,22-31,1,M. Thornton makes free throw 1 of 2
0:35.0,,,22-32,1,M. Thornton makes free throw 2 of 2
0:29.0,A. Brooks makes 2-pt shot from 7 ft,2,24-32,,
0:08.0,,,24-32,,E. Turner misses 2-pt shot from 16 ft
0:08.0,,,24-32,,Offensive rebound by Team
0:08.0,Loose ball foul by M. Dunleavy (drawn by K. Olynyk),,24-32,,
0:08.0,Technical foul by Team,,24-32,,
0:08.0,,,24-33,1,M. Thornton makes technical free throw
0:08.0,,,24-34,1,K. Olynyk makes free throw 1 of 2
0:08.0,,,24-35,1,K. Olynyk makes free throw 2 of 2
0:02.0,P. Gasol misses 2-pt shot from 1 ft,,24-35,,
0:01.0,Offensive rebound by P. Gasol,,24-35,,
0:01.0,P. Gasol misses 2-pt shot from 1 ft,,24-35,,
0:00.0,Offensive rebound by Team,,24-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,Personal foul by A. Brooks (drawn by P. Pressey),,24-35,,
11:45.0,,,24-37,2,J. Green makes 2-pt shot from 8 ft
11:36.0,,,24-37,,Personal foul by J. Green (drawn by N. Mirotic)
11:19.0,A. Brooks makes 3-pt shot from 24 ft (assist by J. Butler),3,27-37,,
11:06.0,,,27-37,,P. Pressey misses 2-pt shot from 2 ft (block by J. Noah)
11:04.0,Defensive rebound by J. Noah,,27-37,,
10:56.0,N. Mirotic makes 2-pt shot at rim (assist by A. Brooks),2,29-37,,
10:39.0,,,29-37,,J. Sullinger misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by J. Butler,,29-37,,
10:27.0,,,29-37,,Personal block foul by J. Green (drawn by J. Butler)
10:27.0,,,29-37,,E. Turner enters the game for J. Green
10:22.0,Shooting foul by P. Pressey (drawn by J. Noah),,29-37,,
10:22.0,J. Noah makes free throw 1 of 2,1,30-37,,
10:22.0,J. Noah makes free throw 2 of 2,1,31-37,,
10:05.0,,,31-37,,K. Olynyk misses 2-pt shot from 6 ft (block by J. Noah)
