time,LA Lakers,pts.away,score,pts.home,Atlanta
0:44.0,R. Price enters the game for C. Boozer,,109-104,,
0:40.0,,,109-106,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Korver)
0:21.0,K. Bryant misses 2-pt shot from 20 ft,,109-106,,
0:18.0,Offensive rebound by J. Hill,,109-106,,
0:18.0,J. Hill makes 2-pt shot at rim,2,111-106,,
0:18.0,,,111-106,,Atlanta full timeout
0:18.0,,,111-106,,P. Antic enters the game for T. Sefolosha
0:15.0,,,111-106,,Shooting foul by J. Hill (drawn by P. Millsap)
0:15.0,,,111-106,,P. Millsap misses free throw 1 of 2
0:15.0,,,111-106,,Offensive rebound by Team
0:15.0,J. Lin enters the game for W. Johnson,,111-106,,
0:15.0,,,111-106,,T. Sefolosha enters the game for P. Antic
0:15.0,,,111-106,,P. Millsap misses free throw 2 of 2
0:13.0,,,111-106,,Offensive rebound by T. Sefolosha
0:08.0,,,111-109,3,K. Korver makes 3-pt shot from 27 ft (assist by T. Sefolosha)
0:08.0,,,111-109,,Personal take foul by K. Korver (drawn by R. Price)
0:08.0,R. Price misses free throw 1 of 2,,111-109,,
0:08.0,Offensive rebound by Team,,111-109,,
0:08.0,R. Price makes free throw 2 of 2,1,112-109,,
0:08.0,,,112-109,,Atlanta full timeout
0:08.0,,,112-109,,P. Antic enters the game for T. Sefolosha
0:08.0,W. Johnson enters the game for J. Lin,,112-109,,
0:04.0,,,112-109,,P. Antic misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by J. Hill,,112-109,,
0:01.0,,,112-109,,Personal take foul by P. Antic (drawn by J. Hill)
0:01.0,J. Hill makes free throw 1 of 2,1,113-109,,
0:01.0,J. Hill makes free throw 2 of 2,1,114-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
