time,LA Lakers,pts.away,score,pts.home,Atlanta
2:46.0,,,23-15,,Turnover by D. Schroder (bad pass; steal by E. Davis)
2:37.0,N. Young misses 3-pt shot from 23 ft,,23-15,,
2:37.0,,,23-15,,Defensive rebound by Team
2:37.0,LA Lakers full timeout,,23-15,,
2:26.0,,,23-15,,Turnover by D. Schroder (lost ball; steal by N. Young)
2:15.0,Shooting foul by K. Bazemore (drawn by K. Bryant),,23-15,,
2:15.0,K. Bryant makes free throw 1 of 2,1,24-15,,
2:15.0,K. Bryant makes free throw 2 of 2,1,25-15,,
1:58.0,,,25-15,,M. Scott misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by E. Davis,,25-15,,
1:42.0,R. Price misses 3-pt shot from 25 ft,,25-15,,
1:40.0,,,25-15,,Defensive rebound by P. Antic
1:34.0,,,25-15,,S. Mack misses 2-pt shot from 18 ft
1:31.0,Defensive rebound by R. Price,,25-15,,
1:24.0,E. Davis misses 2-pt shot from 2 ft,,25-15,,
1:22.0,,,25-15,,Defensive rebound by K. Bazemore
1:08.0,,,25-15,,Shooting foul by R. Price (drawn by K. Bazemore)
1:08.0,,,25-16,1,K. Bazemore makes free throw 1 of 2
1:08.0,,,25-17,1,K. Bazemore makes free throw 2 of 2
0:57.0,K. Bryant makes 2-pt shot from 15 ft (assist by R. Price),2,27-17,,
0:46.0,,,27-19,2,D. Schroder makes 2-pt shot from 2 ft
0:38.0,Shooting foul by P. Antic (drawn by R. Price),,27-19,,
0:38.0,R. Price makes free throw 1 of 2,1,28-19,,
0:38.0,,,28-19,,A. Horford enters the game for P. Antic
0:38.0,R. Price misses free throw 2 of 2,,28-19,,
0:38.0,,,28-19,,Defensive rebound by Team
0:20.0,,,28-19,,Shooting foul by R. Sacre (drawn by D. Schroder)
0:20.0,,,28-20,1,D. Schroder makes free throw 1 of 2
0:20.0,,,28-20,,D. Schroder misses free throw 2 of 2
0:20.0,Defensive rebound by R. Sacre,,28-20,,
