time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. J. Valanciunas (B. Knight gains possession),,,,Jump ball: Z. Pachulia vs. J. Valanciunas (B. Knight gains possession)
11:44.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by B. Knight)
11:24.0,K. Lowry makes 2-pt shot from 10 ft,2,2-2,,
11:06.0,,,2-2,,B. Knight misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by J. Valanciunas,,2-2,,
10:49.0,Turnover by J. Valanciunas (lost ball; steal by G. Antetokounmpo),,2-2,,
10:44.0,,,2-2,,B. Knight misses 2-pt shot at rim (block by K. Lowry)
10:42.0,,,2-2,,Offensive rebound by Z. Pachulia
10:37.0,,,2-4,2,J. O'Bryant makes 2-pt shot at rim (assist by Z. Pachulia)
10:20.0,,,2-4,,Personal foul by J. O'Bryant (drawn by K. Lowry)
10:10.0,D. DeRozan misses 2-pt shot from 19 ft,,2-4,,
10:09.0,,,2-4,,Defensive rebound by B. Knight
9:54.0,,,2-4,,K. Middleton misses 2-pt shot from 15 ft
9:53.0,Defensive rebound by D. DeRozan,,2-4,,
9:42.0,K. Lowry misses 2-pt shot from 16 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by Z. Pachulia
9:24.0,,,2-7,3,K. Middleton makes 3-pt shot from 24 ft (assist by B. Knight)
9:08.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,4-7,,
8:57.0,,,4-9,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by Z. Pachulia)
8:30.0,J. Valanciunas misses 2-pt shot from 7 ft,,4-9,,
8:29.0,Offensive rebound by A. Johnson,,4-9,,
8:09.0,A. Johnson makes 2-pt shot from 5 ft,2,6-9,,
7:45.0,,,6-9,,Shooting foul by A. Johnson (drawn by Z. Pachulia)
7:45.0,,,6-10,1,Z. Pachulia makes free throw 1 of 2
7:45.0,,,6-11,1,Z. Pachulia makes free throw 2 of 2
7:31.0,Turnover by D. DeRozan (lost ball; steal by Z. Pachulia),,6-11,,
7:17.0,,,6-13,2,J. O'Bryant makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:16.0,,,6-13,,Violation by Team (delay of game)
6:57.0,G. Vasquez misses 2-pt shot from 5 ft,,6-13,,
6:55.0,Offensive rebound by J. Valanciunas,,6-13,,
6:54.0,J. Valanciunas makes 2-pt shot at rim,2,8-13,,
6:34.0,,,8-13,,G. Antetokounmpo misses 2-pt shot from 8 ft
6:33.0,,,8-13,,Offensive rebound by J. O'Bryant
6:30.0,,,8-13,,J. O'Bryant misses 2-pt shot from 8 ft
6:29.0,Defensive rebound by J. Valanciunas,,8-13,,
6:19.0,A. Johnson makes 2-pt shot at rim (assist by G. Vasquez),2,10-13,,
6:03.0,,,10-13,,Turnover by K. Middleton (bad pass; steal by J. Valanciunas)
5:48.0,D. DeRozan misses 2-pt shot from 15 ft,,10-13,,
5:47.0,Offensive rebound by J. Valanciunas,,10-13,,
5:45.0,J. Valanciunas makes 2-pt shot at rim,2,12-13,,
5:30.0,,,12-13,,J. O'Bryant misses 2-pt shot from 14 ft
5:28.0,,,12-13,,Offensive rebound by Z. Pachulia
5:25.0,,,12-13,,G. Antetokounmpo misses 2-pt shot from 11 ft
5:24.0,,,12-13,,Offensive rebound by J. O'Bryant
5:20.0,,,12-13,,K. Middleton misses 3-pt shot from 24 ft
5:20.0,,,12-13,,Offensive rebound by Team
5:20.0,Loose ball foul by K. Lowry (drawn by G. Antetokounmpo),,12-13,,
5:20.0,,,12-13,,Milwaukee full timeout
5:20.0,P. Patterson enters the game for G. Vasquez,,12-13,,
