time,Sacramento,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,D. Rose misses 2-pt shot from 19 ft
12:00.0,Jump ball: P. Gasol vs. J. Thompson (D. Rose gains possession),,,,Jump ball: P. Gasol vs. J. Thompson (D. Rose gains possession)
11:41.0,Defensive rebound by J. Thompson,,0-0,,
11:23.0,D. Cousins misses 2-pt shot from 14 ft,,0-0,,
11:22.0,Offensive rebound by Team,,0-0,,
11:19.0,J. Thompson makes 2-pt shot from 18 ft (assist by R. Gay),2,2-0,,
11:00.0,,,2-2,2,D. Rose makes 2-pt shot from 2 ft
10:48.0,,,2-2,,Personal foul by J. Noah (drawn by D. Cousins)
10:40.0,R. Sessions misses 2-pt shot from 8 ft,,2-2,,
10:40.0,Offensive rebound by J. Thompson,,2-2,,
10:40.0,J. Thompson makes 2-pt shot at rim,2,4-2,,
10:28.0,,,4-2,,J. Butler misses 2-pt shot from 22 ft
10:27.0,Defensive rebound by R. Sessions,,4-2,,
10:25.0,Shooting foul by M. Dunleavy (drawn by R. Gay),,4-2,,
10:25.0,R. Gay misses free throw 1 of 2,,4-2,,
10:25.0,Offensive rebound by Team,,4-2,,
10:25.0,R. Gay makes free throw 2 of 2,1,5-2,,
10:05.0,,,5-4,2,P. Gasol makes 2-pt shot from 11 ft (assist by D. Rose)
9:52.0,,,5-4,,Violation by J. Noah (kicked ball)
9:42.0,B. McLemore misses 2-pt shot from 17 ft,,5-4,,
9:41.0,,,5-4,,Defensive rebound by J. Butler
9:31.0,,,5-4,,J. Noah misses 2-pt shot from 1 ft (block by B. McLemore)
9:29.0,Defensive rebound by D. Cousins,,5-4,,
9:26.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,7-4,,
9:18.0,,,7-7,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Rose)
8:54.0,D. Cousins misses 2-pt shot from 17 ft,,7-7,,
8:53.0,,,7-7,,Defensive rebound by D. Rose
8:45.0,,,7-7,,J. Butler misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by R. Gay,,7-7,,
8:30.0,D. Cousins misses 2-pt shot from 2 ft,,7-7,,
8:29.0,Offensive rebound by D. Cousins,,7-7,,
8:29.0,D. Cousins misses 2-pt shot from 2 ft (block by D. Rose),,7-7,,
8:29.0,Offensive rebound by Team,,7-7,,
8:20.0,Turnover by R. Sessions (bad pass; steal by D. Rose),,7-7,,
8:15.0,,,7-9,2,D. Rose makes 2-pt shot from 2 ft
8:00.0,,,7-9,,Personal foul by M. Dunleavy (drawn by B. McLemore)
7:47.0,B. McLemore makes 2-pt shot from 14 ft (assist by D. Cousins),2,9-9,,
