time,Atlanta,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Horford (M. McGary gains possession),,,,Jump ball: S. Adams vs. A. Horford (M. McGary gains possession)
11:42.0,,,0-0,,D. Waiters misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by A. Horford,,0-0,,
11:24.0,K. Bazemore misses 2-pt shot from 6 ft (block by S. Adams),,0-0,,
11:22.0,,,0-0,,Defensive rebound by R. Westbrook
11:17.0,,,0-0,,R. Westbrook misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by D. Carroll,,0-0,,
11:04.0,A. Horford makes 2-pt shot from 4 ft,2,2-0,,
10:48.0,,,2-0,,A. Roberson misses 3-pt shot from 22 ft
10:47.0,,,2-0,,Offensive rebound by Team
10:43.0,,,2-2,2,D. Waiters makes 2-pt shot from 2 ft (assist by A. Roberson)
10:35.0,D. Carroll misses 3-pt shot from 23 ft,,2-2,,
10:34.0,Offensive rebound by A. Horford,,2-2,,
10:17.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,4-2,,
10:06.0,,,4-2,,Turnover by M. McGary (lost ball; steal by P. Millsap)
10:02.0,Shooting foul by M. McGary (drawn by D. Carroll),,4-2,,
10:02.0,D. Carroll misses free throw 1 of 2,,4-2,,
10:02.0,Offensive rebound by Team,,4-2,,
10:02.0,D. Carroll makes free throw 2 of 2,1,5-2,,
9:52.0,,,5-4,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:52.0,,,5-4,,Shooting foul by K. Bazemore (drawn by S. Adams)
9:52.0,,,5-5,1,S. Adams makes free throw 1 of 1
9:36.0,Turnover by K. Bazemore (bad pass; steal by S. Adams),,5-5,,
9:31.0,,,5-7,2,R. Westbrook makes 2-pt shot from 1 ft
9:09.0,J. Teague misses 3-pt shot from 23 ft,,5-7,,
9:09.0,,,5-7,,Defensive rebound by A. Roberson
9:01.0,,,5-9,2,D. Waiters makes 2-pt shot from 1 ft
8:49.0,P. Millsap makes 2-pt shot from 2 ft,2,7-9,,
8:35.0,,,7-11,2,M. McGary makes 2-pt shot from 19 ft (assist by R. Westbrook)
8:15.0,J. Teague misses 3-pt shot from 24 ft,,7-11,,
8:14.0,,,7-11,,Defensive rebound by S. Adams
8:08.0,,,7-13,2,M. McGary makes 2-pt shot at rim (assist by R. Westbrook)
8:07.0,Atlanta full timeout,,7-13,,
7:47.0,P. Millsap misses 3-pt shot from 22 ft,,7-13,,
7:46.0,,,7-13,,Defensive rebound by M. McGary
7:29.0,,,7-13,,Shooting foul by A. Horford (drawn by S. Adams)
7:29.0,,,7-13,,S. Adams misses free throw 1 of 2
7:29.0,,,7-13,,Offensive rebound by Team
7:29.0,,,7-14,1,S. Adams makes free throw 2 of 2
7:14.0,A. Horford misses 2-pt shot from 4 ft,,7-14,,
7:13.0,,,7-14,,Defensive rebound by M. McGary
7:08.0,,,7-16,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
6:52.0,Turnover by A. Horford (offensive foul),,7-16,,
6:52.0,Offensive foul by A. Horford,,7-16,,
6:52.0,D. Schroder enters the game for K. Bazemore,,7-16,,
6:52.0,P. Antic enters the game for A. Horford,,7-16,,
6:43.0,,,7-16,,S. Adams misses 2-pt shot from 3 ft
6:42.0,Defensive rebound by P. Millsap,,7-16,,
6:32.0,P. Millsap makes 2-pt shot from 15 ft (assist by D. Schroder),2,9-16,,
6:20.0,,,9-18,2,D. Waiters makes 2-pt shot from 1 ft
5:58.0,P. Antic makes 3-pt shot from 24 ft (assist by D. Schroder),3,12-18,,
5:41.0,,,12-20,2,M. McGary makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:28.0,Shooting foul by S. Adams (drawn by D. Carroll),,12-20,,
5:28.0,D. Carroll makes free throw 1 of 2,1,13-20,,
5:28.0,,,13-20,,N. Collison enters the game for S. Adams
5:28.0,D. Carroll makes free throw 2 of 2,1,14-20,,
5:20.0,,,14-20,,Turnover by R. Westbrook (lost ball; steal by J. Teague)
5:17.0,Shooting foul by M. McGary (drawn by J. Teague),,14-20,,
5:17.0,J. Teague makes free throw 1 of 2,1,15-20,,
5:17.0,J. Teague makes free throw 2 of 2,1,16-20,,
5:05.0,,,16-20,,Turnover by R. Westbrook (step out of bounds)
4:54.0,Shooting foul by A. Roberson (drawn by P. Antic),,16-20,,
4:54.0,P. Antic makes free throw 1 of 2,1,17-20,,
4:54.0,,,17-20,,A. Morrow enters the game for M. McGary
4:54.0,,,17-20,,S. Novak enters the game for A. Roberson
4:54.0,P. Antic makes free throw 2 of 2,1,18-20,,
4:46.0,,,18-20,,D. Waiters misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by P. Millsap,,18-20,,
