time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. H. Sims (T. Wroten gains possession),,,,Jump ball: P. Gasol vs. H. Sims (T. Wroten gains possession)
11:43.0,,,0-2,2,H. Sims makes 2-pt shot from 15 ft (assist by T. Wroten)
11:22.0,P. Gasol misses 2-pt shot from 15 ft,,0-2,,
11:21.0,Offensive rebound by Team,,0-2,,
11:11.0,J. Butler makes 2-pt shot from 5 ft,2,2-2,,
11:11.0,Shooting foul by J. Sampson (drawn by J. Butler),,2-2,,
11:11.0,J. Butler makes free throw 1 of 1,1,3-2,,
11:00.0,,,3-4,2,H. Thompson makes 2-pt shot from 2 ft
10:38.0,J. Butler misses 2-pt shot from 19 ft,,3-4,,
10:37.0,,,3-4,,Defensive rebound by L. Mbah a Moute
10:30.0,,,3-4,,L. Mbah a Moute misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by M. Dunleavy,,3-4,,
10:14.0,Turnover by J. Noah (traveling),,3-4,,
10:02.0,,,3-4,,T. Wroten misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by J. Butler,,3-4,,
9:43.0,J. Butler makes 2-pt shot at rim (assist by J. Noah),2,5-4,,
9:33.0,,,5-4,,H. Thompson misses 2-pt shot from 3 ft (block by P. Gasol)
9:30.0,Defensive rebound by P. Gasol,,5-4,,
9:25.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by J. Butler),3,8-4,,
9:09.0,,,8-4,,T. Wroten misses 2-pt shot from 1 ft
9:07.0,,,8-4,,Offensive rebound by L. Mbah a Moute
9:05.0,,,8-6,2,H. Sims makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
8:39.0,J. Butler makes 2-pt shot from 15 ft,2,10-6,,
8:22.0,,,10-8,2,H. Thompson makes 2-pt shot from 1 ft (assist by H. Sims)
8:09.0,P. Gasol makes 2-pt shot from 1 ft (assist by M. Dunleavy),2,12-8,,
8:09.0,Shooting foul by H. Sims (drawn by P. Gasol),,12-8,,
8:09.0,P. Gasol makes free throw 1 of 1,1,13-8,,
7:57.0,,,13-10,2,H. Thompson makes 2-pt shot from 14 ft (assist by J. Sampson)
7:39.0,K. Hinrich misses 3-pt shot from 25 ft,,13-10,,
7:36.0,,,13-10,,Defensive rebound by L. Mbah a Moute
7:15.0,,,13-13,3,T. Wroten makes 3-pt shot from 25 ft (assist by H. Sims)
6:58.0,M. Dunleavy makes 2-pt shot from 21 ft (assist by K. Hinrich),2,15-13,,
6:44.0,,,15-13,,Shooting foul by J. Noah (drawn by H. Thompson)
6:44.0,,,15-13,,H. Thompson misses free throw 1 of 2
6:44.0,,,15-13,,Offensive rebound by Team
6:44.0,,,15-14,1,H. Thompson makes free throw 2 of 2
6:36.0,Turnover by K. Hinrich (lost ball),,15-14,,
6:27.0,,,15-14,,H. Thompson misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by J. Noah,,15-14,,
6:26.0,,,15-14,,Personal foul by H. Sims (drawn by J. Noah)
6:16.0,K. Hinrich misses 2-pt shot from 20 ft,,15-14,,
6:13.0,Offensive rebound by J. Butler,,15-14,,
6:04.0,Shooting foul by J. Sampson (drawn by P. Gasol),,15-14,,
6:04.0,P. Gasol makes free throw 1 of 2,1,16-14,,
6:04.0,,,16-14,,K. McDaniels enters the game for H. Thompson
6:04.0,,,16-14,,B. Davies enters the game for H. Sims
6:04.0,P. Gasol makes free throw 2 of 2,1,17-14,,
6:04.0,,,17-14,,Philadelphia full timeout
6:04.0,,,17-14,,C. Johnson enters the game for J. Sampson
5:50.0,,,17-16,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by K. McDaniels)
5:28.0,M. Dunleavy misses 3-pt shot from 24 ft,,17-16,,
5:24.0,Offensive rebound by P. Gasol,,17-16,,
5:21.0,P. Gasol makes 2-pt shot from 7 ft,2,19-16,,
5:09.0,,,19-16,,Turnover by B. Davies (bad pass; steal by J. Butler)
5:04.0,J. Butler makes 2-pt shot at rim,2,21-16,,
5:04.0,Shooting foul by C. Johnson (drawn by J. Butler),,21-16,,
5:04.0,A. Brooks enters the game for J. Noah,,21-16,,
5:04.0,T. Gibson enters the game for K. Hinrich,,21-16,,
5:04.0,J. Butler makes free throw 1 of 1,1,22-16,,
4:46.0,,,22-16,,K. McDaniels misses 3-pt shot from 27 ft
4:44.0,,,22-16,,Offensive rebound by B. Davies
4:41.0,,,22-16,,B. Davies misses 2-pt shot from 2 ft
4:41.0,,,22-16,,Offensive rebound by K. McDaniels
4:41.0,,,22-18,2,K. McDaniels makes 2-pt shot from 1 ft
4:41.0,,,22-18,,Shooting foul by T. Gibson (drawn by K. McDaniels)
4:41.0,,,22-19,1,K. McDaniels makes free throw 1 of 1
4:21.0,T. Gibson makes 2-pt shot at rim (assist by A. Brooks),2,24-19,,
4:10.0,,,24-19,,T. Wroten misses 3-pt shot from 25 ft
4:08.0,,,24-19,,Offensive rebound by L. Mbah a Moute
4:06.0,,,24-19,,L. Mbah a Moute misses 2-pt shot from 9 ft
4:05.0,Defensive rebound by T. Gibson,,24-19,,
3:56.0,Turnover by P. Gasol (lost ball),,24-19,,
3:56.0,,,24-19,,H. Thompson enters the game for L. Mbah a Moute
3:43.0,,,24-19,,Shooting foul by J. Butler (drawn by T. Wroten)
3:43.0,,,24-20,1,T. Wroten makes free throw 1 of 2
3:43.0,D. McDermott enters the game for M. Dunleavy,,24-20,,
3:43.0,,,24-21,1,T. Wroten makes free throw 2 of 2
3:19.0,P. Gasol misses 2-pt shot from 9 ft,,24-21,,
3:17.0,,,24-21,,Defensive rebound by C. Johnson
3:02.0,,,24-23,2,T. Wroten makes 2-pt shot from 1 ft
2:45.0,D. McDermott makes 3-pt shot from 25 ft (assist by T. Gibson),3,27-23,,
2:28.0,,,27-26,3,T. Wroten makes 3-pt shot from 25 ft (assist by H. Thompson)
2:15.0,Shooting foul by K. McDaniels (drawn by T. Gibson),,27-26,,
2:15.0,Chicago full timeout,,27-26,,
2:15.0,,,27-26,,A. Shved enters the game for T. Wroten
2:15.0,T. Gibson makes free throw 1 of 2,1,28-26,,
2:15.0,T. Gibson misses free throw 2 of 2,,28-26,,
2:14.0,,,28-26,,Defensive rebound by K. McDaniels
1:59.0,,,28-26,,Turnover by H. Thompson (bad pass)
1:39.0,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler),2,30-26,,
1:18.0,,,30-26,,H. Thompson misses 2-pt shot from 16 ft (block by J. Butler)
1:16.0,Defensive rebound by P. Gasol,,30-26,,
1:03.0,J. Butler misses 3-pt shot from 25 ft,,30-26,,
1:03.0,,,30-26,,Defensive rebound by Team
1:03.0,Loose ball foul by P. Gasol (drawn by H. Thompson),,30-26,,
0:50.0,,,30-28,2,B. Davies makes 2-pt shot at rim (assist by A. Shved)
0:37.0,P. Gasol misses 2-pt shot from 10 ft,,30-28,,
0:35.0,Offensive rebound by J. Butler,,30-28,,
0:34.0,J. Butler misses 2-pt shot from 3 ft,,30-28,,
0:32.0,,,30-28,,Defensive rebound by B. Davies
0:27.0,,,30-28,,B. Davies misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by P. Gasol,,30-28,,
0:04.0,J. Butler makes 3-pt shot from 25 ft (assist by T. Gibson),3,33-28,,
0:00.0,,,33-28,,A. Shved misses 3-pt shot from 31 ft
0:00.0,,,33-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. McDermott misses 3-pt shot from 25 ft,,33-28,,
11:39.0,Offensive rebound by N. Mirotic,,33-28,,
11:39.0,Shooting foul by C. Johnson (drawn by N. Mirotic),,33-28,,
11:39.0,N. Mirotic misses free throw 1 of 2,,33-28,,
11:39.0,Offensive rebound by Team,,33-28,,
11:39.0,N. Mirotic makes free throw 2 of 2,1,34-28,,
11:20.0,,,34-31,3,B. Davies makes 3-pt shot from 24 ft
11:00.0,A. Brooks misses 3-pt shot from 25 ft,,34-31,,
10:57.0,,,34-31,,Defensive rebound by C. Johnson
10:51.0,,,34-31,,Shooting foul by T. Snell (drawn by A. Shved)
10:51.0,,,34-32,1,A. Shved makes free throw 1 of 2
10:51.0,,,34-32,,L. Mbah a Moute enters the game for H. Thompson
10:51.0,,,34-32,,J. Sampson enters the game for C. Johnson
10:51.0,,,34-33,1,A. Shved makes free throw 2 of 2
10:36.0,D. McDermott makes 2-pt shot from 2 ft (assist by A. Brooks),2,36-33,,
10:30.0,,,36-33,,Turnover by K. McDaniels (offensive foul)
10:30.0,,,36-33,,Offensive charge foul by K. McDaniels
10:30.0,,,36-33,,H. Sims enters the game for B. Davies
10:15.0,N. Mirotic misses 2-pt shot from 3 ft,,36-33,,
10:13.0,,,36-33,,Defensive rebound by L. Mbah a Moute
10:07.0,,,36-35,2,A. Shved makes 2-pt shot from 1 ft
9:53.0,N. Mirotic misses 3-pt shot from 23 ft,,36-35,,
9:51.0,,,36-35,,Defensive rebound by J. Sampson
9:35.0,,,36-37,2,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by A. Shved)
9:17.0,A. Brooks makes 2-pt shot from 17 ft,2,38-37,,
8:55.0,,,38-39,2,H. Sims makes 2-pt shot from 5 ft
8:33.0,Turnover by D. McDermott (bad pass; steal by J. Sampson),,38-39,,
8:30.0,,,38-39,,Offensive charge foul by A. Shved
8:30.0,,,38-39,,Turnover by A. Shved (offensive foul)
8:30.0,Official timeout,,38-39,,
8:21.0,A. Brooks misses 2-pt shot from 7 ft,,38-39,,
8:19.0,,,38-39,,Defensive rebound by K. McDaniels
8:08.0,Personal foul by N. Mirotic (drawn by K. McDaniels),,38-39,,
8:08.0,K. Hinrich enters the game for A. Brooks,,38-39,,
8:08.0,J. Noah enters the game for N. Mirotic,,38-39,,
7:54.0,,,38-39,,K. McDaniels misses 2-pt shot from 13 ft
