time,Orlando,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (A. Johnson gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (A. Johnson gains possession)
11:43.0,,,0-2,2,A. Johnson makes 2-pt shot from 20 ft
11:26.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Fournier),3,3-2,,
11:08.0,,,3-2,,D. DeRozan misses 2-pt shot from 4 ft
11:07.0,Defensive rebound by N. Vucevic,,3-2,,
10:54.0,T. Harris misses 2-pt shot from 3 ft,,3-2,,
10:53.0,,,3-2,,Defensive rebound by K. Lowry
10:45.0,,,3-5,3,T. Ross makes 3-pt shot from 26 ft (assist by K. Lowry)
10:28.0,C. Frye makes 2-pt shot from 21 ft (assist by E. Payton),2,5-5,,
10:10.0,,,5-5,,J. Valanciunas misses 2-pt shot at rim
10:09.0,,,5-5,,Offensive rebound by J. Valanciunas
10:07.0,,,5-7,2,J. Valanciunas makes 2-pt shot from 1 ft
9:48.0,T. Harris misses 2-pt shot from 1 ft,,5-7,,
9:47.0,Offensive rebound by T. Harris,,5-7,,
9:45.0,T. Harris misses 2-pt shot from 1 ft,,5-7,,
9:44.0,Offensive rebound by T. Harris,,5-7,,
9:42.0,T. Harris makes 2-pt shot from 1 ft,2,7-7,,
9:25.0,,,7-7,,Shooting foul by E. Fournier (drawn by D. DeRozan)
9:25.0,,,7-8,1,D. DeRozan makes free throw 1 of 2
9:25.0,,,7-9,1,D. DeRozan makes free throw 2 of 2
9:13.0,E. Fournier misses 2-pt shot from 2 ft,,7-9,,
9:12.0,,,7-9,,Defensive rebound by A. Johnson
9:05.0,,,7-9,,K. Lowry misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by C. Frye,,7-9,,
8:55.0,,,7-9,,Personal block foul by A. Johnson (drawn by E. Payton)
8:46.0,C. Frye makes 3-pt shot from 24 ft (assist by T. Harris),3,10-9,,
8:20.0,,,10-9,,D. DeRozan misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by T. Harris,,10-9,,
8:12.0,Turnover by E. Fournier (lost ball; steal by T. Ross),,10-9,,
8:07.0,,,10-9,,Turnover by T. Ross (lost ball; steal by T. Harris)
7:58.0,C. Frye makes 3-pt shot from 26 ft (assist by N. Vucevic),3,13-9,,
7:35.0,,,13-11,2,A. Johnson makes 2-pt shot at rim (assist by J. Valanciunas)
7:12.0,T. Harris misses 3-pt shot from 24 ft,,13-11,,
7:10.0,,,13-11,,Defensive rebound by D. DeRozan
7:04.0,,,13-14,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
6:47.0,N. Vucevic makes 2-pt shot from 16 ft (assist by T. Harris),2,15-14,,
6:30.0,,,15-14,,J. Valanciunas misses 2-pt shot from 17 ft
6:29.0,Defensive rebound by E. Payton,,15-14,,
6:18.0,E. Fournier misses 2-pt shot from 2 ft,,15-14,,
6:17.0,Offensive rebound by T. Harris,,15-14,,
6:11.0,C. Frye misses 2-pt shot from 7 ft,,15-14,,
6:10.0,,,15-14,,Defensive rebound by T. Ross
6:05.0,,,15-14,,T. Ross misses 2-pt shot at rim
6:04.0,Defensive rebound by N. Vucevic,,15-14,,
5:53.0,E. Fournier makes 3-pt shot from 24 ft (assist by C. Frye),3,18-14,,
5:44.0,,,18-14,,Toronto full timeout
5:31.0,,,18-14,,D. DeRozan misses 2-pt shot from 15 ft
5:30.0,Defensive rebound by C. Frye,,18-14,,
5:22.0,E. Payton makes 2-pt shot from 1 ft,2,20-14,,
5:02.0,,,20-17,3,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan)
4:47.0,E. Fournier misses 2-pt shot from 3 ft,,20-17,,
4:46.0,,,20-17,,Defensive rebound by J. Valanciunas
4:38.0,,,20-17,,K. Lowry misses 3-pt shot from 25 ft
4:37.0,,,20-17,,Offensive rebound by J. Valanciunas
4:35.0,,,20-17,,Turnover by J. Valanciunas (lost ball; steal by E. Fournier)
4:31.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,22-17,,
4:10.0,,,22-19,2,D. DeRozan makes 2-pt shot from 19 ft
4:03.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,24-19,,
