time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. A. Jefferson (J. Calderon gains possession),,,,Jump ball: S. Dalembert vs. A. Jefferson (J. Calderon gains possession)
11:38.0,Turnover by S. Dalembert (bad pass),,0-0,,
11:20.0,,,0-0,,G. Henderson misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by S. Dalembert,,0-0,,
11:03.0,S. Dalembert misses 2-pt shot from 7 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by L. Stephenson
10:53.0,,,0-2,2,C. Zeller makes 2-pt shot from 20 ft (assist by L. Stephenson)
10:45.0,,,0-2,,Personal foul by C. Zeller (drawn by A. Stoudemire)
10:29.0,C. Anthony makes 2-pt shot from 10 ft,2,2-2,,
10:14.0,,,2-4,2,G. Henderson makes 2-pt shot from 1 ft
10:03.0,J. Calderon makes 2-pt shot from 17 ft,2,4-4,,
9:46.0,,,4-4,,L. Stephenson misses 3-pt shot from 25 ft
9:42.0,,,4-4,,Offensive rebound by C. Zeller
9:42.0,,,4-6,2,C. Zeller makes 2-pt shot at rim
9:28.0,A. Stoudemire misses 2-pt shot from 2 ft (block by C. Zeller),,4-6,,
9:26.0,Offensive rebound by C. Anthony,,4-6,,
9:26.0,C. Anthony makes 2-pt shot at rim,2,6-6,,
9:07.0,,,6-8,2,G. Henderson makes 2-pt shot from 16 ft (assist by C. Zeller)
8:56.0,C. Anthony misses 3-pt shot from 26 ft,,6-8,,
8:55.0,,,6-8,,Defensive rebound by C. Zeller
8:48.0,,,6-8,,L. Stephenson misses 2-pt shot at rim (block by S. Dalembert)
8:48.0,,,6-8,,Offensive rebound by Team
8:41.0,,,6-8,,A. Jefferson misses 2-pt shot from 9 ft
8:40.0,Defensive rebound by A. Stoudemire,,6-8,,
8:17.0,C. Anthony misses 2-pt shot from 3 ft,,6-8,,
8:15.0,Offensive rebound by C. Anthony,,6-8,,
8:15.0,C. Anthony misses 2-pt shot from 1 ft,,6-8,,
8:14.0,,,6-8,,Defensive rebound by K. Walker
8:14.0,Personal foul by A. Stoudemire (drawn by K. Walker),,6-8,,
7:57.0,,,6-8,,A. Jefferson misses 2-pt shot from 1 ft
7:57.0,,,6-8,,Offensive rebound by Team
7:53.0,,,6-8,,C. Zeller misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by I. Shumpert,,6-8,,
7:44.0,I. Shumpert makes 2-pt shot at rim,2,8-8,,
7:33.0,,,8-8,,Turnover by K. Walker (bad pass)
7:19.0,I. Shumpert misses 2-pt shot from 12 ft,,8-8,,
7:18.0,,,8-8,,Defensive rebound by L. Stephenson
7:11.0,,,8-8,,Turnover by G. Henderson (back court)
7:11.0,J. Smith enters the game for A. Stoudemire,,8-8,,
7:03.0,I. Shumpert misses 3-pt shot from 26 ft,,8-8,,
7:01.0,,,8-8,,Defensive rebound by L. Stephenson
6:53.0,,,8-8,,L. Stephenson misses 2-pt shot from 18 ft
6:52.0,,,8-8,,Offensive rebound by Team
6:52.0,,,8-8,,Technical foul by L. Stephenson
6:52.0,C. Anthony makes technical free throw,1,9-8,,
6:50.0,,,9-10,2,G. Henderson makes 2-pt shot at rim (assist by L. Stephenson)
6:37.0,I. Shumpert misses 2-pt shot from 16 ft,,9-10,,
6:33.0,,,9-10,,Defensive rebound by C. Zeller
6:29.0,,,9-10,,Turnover by L. Stephenson (bad pass; steal by I. Shumpert)
6:24.0,C. Aldrich enters the game for S. Dalembert,,9-10,,
6:12.0,C. Anthony makes 2-pt shot from 21 ft,2,11-10,,
5:55.0,,,11-12,2,A. Jefferson makes 2-pt shot from 1 ft
5:41.0,I. Shumpert misses 2-pt shot from 17 ft,,11-12,,
5:40.0,,,11-12,,Defensive rebound by A. Jefferson
5:29.0,,,11-14,2,K. Walker makes 2-pt shot from 5 ft
5:25.0,New York full timeout,,11-14,,
5:25.0,,,11-14,,P. Hairston enters the game for G. Henderson
5:25.0,J. Smith enters the game for I. Shumpert,,11-14,,
5:15.0,C. Aldrich makes 2-pt shot at rim (assist by J. Smith),2,13-14,,
5:03.0,Personal foul by C. Aldrich (drawn by K. Walker),,13-14,,
4:51.0,Personal foul by C. Aldrich (drawn by A. Jefferson),,13-14,,
4:42.0,,,13-14,,A. Jefferson misses 2-pt shot from 10 ft (block by C. Aldrich)
4:42.0,,,13-14,,Offensive rebound by C. Zeller
4:42.0,,,13-14,,Shooting foul by C. Aldrich (drawn by C. Zeller)
4:42.0,,,13-15,1,C. Zeller makes free throw 1 of 2
4:42.0,S. Dalembert enters the game for C. Aldrich,,13-15,,
4:42.0,,,13-16,1,C. Zeller makes free throw 2 of 2
4:25.0,J. Smith misses 2-pt shot from 17 ft,,13-16,,
4:24.0,,,13-16,,Defensive rebound by A. Jefferson
4:02.0,,,13-16,,P. Hairston misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by Team,,13-16,,
4:00.0,,,13-16,,Personal foul by L. Stephenson (drawn by S. Dalembert)
4:00.0,,,13-16,,G. Neal enters the game for L. Stephenson
4:00.0,,,13-16,,M. Williams enters the game for C. Zeller
4:00.0,S. Larkin enters the game for J. Calderon,,13-16,,
3:47.0,J. Smith misses 2-pt shot from 16 ft,,13-16,,
3:45.0,,,13-16,,Defensive rebound by P. Hairston
3:38.0,,,13-18,2,K. Walker makes 2-pt shot at rim
3:38.0,,,13-18,,Shooting foul by S. Larkin (drawn by K. Walker)
3:38.0,,,13-19,1,K. Walker makes free throw 1 of 1
3:19.0,Shooting foul by P. Hairston (drawn by C. Anthony),,13-19,,
3:19.0,C. Anthony makes free throw 1 of 2,1,14-19,,
3:19.0,Q. Acy enters the game for J. Smith,,14-19,,
3:19.0,,,14-19,,B. Biyombo enters the game for A. Jefferson
3:19.0,C. Anthony makes free throw 2 of 2,1,15-19,,
3:09.0,,,15-19,,K. Walker misses 2-pt shot from 6 ft
3:07.0,Defensive rebound by S. Dalembert,,15-19,,
2:55.0,Turnover by J. Smith (bad pass; steal by P. Hairston),,15-19,,
2:46.0,,,15-19,,P. Hairston misses 3-pt shot from 25 ft
2:45.0,,,15-19,,Offensive rebound by B. Biyombo
2:40.0,,,15-19,,Shooting foul by J. Smith (drawn by G. Neal)
2:40.0,,,15-19,,Charlotte full timeout
2:40.0,A. Stoudemire enters the game for S. Dalembert,,15-19,,
2:40.0,,,15-20,1,G. Neal makes free throw 1 of 2
2:40.0,,,15-21,1,G. Neal makes free throw 2 of 2
2:28.0,Shooting foul by B. Biyombo (drawn by A. Stoudemire),,15-21,,
2:28.0,A. Stoudemire misses free throw 1 of 2,,15-21,,
2:28.0,Offensive rebound by Team,,15-21,,
2:28.0,A. Stoudemire makes free throw 2 of 2,1,16-21,,
2:15.0,,,16-21,,K. Walker misses 2-pt shot from 15 ft
2:15.0,,,16-21,,Offensive rebound by Team
2:15.0,Loose ball foul by A. Stoudemire (drawn by B. Biyombo),,16-21,,
2:15.0,,,16-21,,B. Biyombo misses free throw 1 of 2
2:15.0,,,16-21,,Offensive rebound by Team
2:15.0,J. Smith enters the game for A. Stoudemire,,16-21,,
2:15.0,,,16-22,1,B. Biyombo makes free throw 2 of 2
1:57.0,J. Smith makes 2-pt shot from 12 ft (assist by J. Smith),2,18-22,,
1:41.0,,,18-25,3,P. Hairston makes 3-pt shot from 26 ft (assist by M. Williams)
1:26.0,Q. Acy misses 2-pt shot from 19 ft,,18-25,,
