time,Minnesota,pts.away,score,pts.home,Indiana
1:24.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,23-19,,
0:58.0,,,23-21,2,L. Allen makes 2-pt shot from 11 ft (assist by D. Sloan)
0:46.0,M. Williams misses 3-pt shot from 26 ft,,23-21,,
0:43.0,Offensive rebound by Team,,23-21,,
0:26.0,A. Bennett makes 2-pt shot from 20 ft (assist by M. Williams),2,25-21,,
0:02.0,,,25-21,,L. Allen misses 2-pt shot from 17 ft
0:02.0,,,25-21,,Offensive rebound by Team
0:02.0,,,25-21,,Turnover by Team (shot clock)
0:00.0,M. Williams misses 3-pt shot from 58 ft,,25-21,,
0:00.0,Offensive rebound by Team,,25-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Wiggins misses 2-pt shot from 7 ft,,25-21,,
11:46.0,,,25-21,,Defensive rebound by L. Allen
11:31.0,,,25-24,3,D. Rudez makes 3-pt shot from 23 ft (assist by R. Stuckey)
11:08.0,Offensive charge foul by C. Budinger,,25-24,,
11:08.0,Turnover by C. Budinger (offensive foul),,25-24,,
10:52.0,,,25-24,,L. Scola misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by R. Hummel,,25-24,,
10:40.0,A. Bennett misses 2-pt shot from 13 ft,,25-24,,
10:38.0,,,25-24,,Defensive rebound by R. Stuckey
10:23.0,,,25-24,,Shooting foul by R. Hummel (drawn by L. Scola)
10:23.0,,,25-24,,L. Scola misses free throw 1 of 2
10:23.0,,,25-24,,Offensive rebound by Team
10:23.0,,,25-25,1,L. Scola makes free throw 2 of 2
10:16.0,M. Williams makes 2-pt shot from 1 ft,2,27-25,,
9:58.0,,,27-27,2,D. Rudez makes 2-pt shot from 18 ft
9:44.0,Turnover by M. Williams (lost ball; steal by L. Allen),,27-27,,
9:40.0,,,27-29,2,R. Stuckey makes 2-pt shot from 2 ft
9:40.0,,,27-29,,Shooting foul by A. Wiggins (drawn by R. Stuckey)
9:40.0,Z. LaVine enters the game for M. Williams,,27-29,,
9:40.0,T. Young enters the game for A. Wiggins,,27-29,,
9:40.0,,,27-30,1,R. Stuckey makes free throw 1 of 1
9:26.0,C. Budinger misses 3-pt shot from 23 ft,,27-30,,
9:24.0,,,27-30,,Defensive rebound by L. Scola
9:17.0,,,27-32,2,R. Stuckey makes 2-pt shot at rim
9:15.0,Minnesota full timeout,,27-32,,
9:01.0,T. Young makes 2-pt shot at rim (assist by A. Bennett),2,29-32,,
8:45.0,,,29-32,,D. Rudez misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by T. Young,,29-32,,
8:26.0,Turnover by T. Young (bad pass; steal by R. Stuckey),,29-32,,
8:17.0,,,29-34,2,L. Scola makes 2-pt shot from 3 ft (assist by D. Rudez)
8:06.0,C. Budinger misses 3-pt shot from 26 ft,,29-34,,
8:05.0,,,29-34,,Defensive rebound by Team
7:59.0,Personal foul by Z. LaVine (drawn by D. Sloan),,29-34,,
7:59.0,T. Daniels enters the game for C. Budinger,,29-34,,
7:47.0,Personal foul by Z. LaVine (drawn by L. Allen),,29-34,,
7:47.0,,,29-34,,L. Allen misses free throw 1 of 2
7:47.0,,,29-34,,Offensive rebound by Team
7:47.0,,,29-34,,L. Allen misses free throw 2 of 2
7:46.0,Defensive rebound by T. Young,,29-34,,
7:28.0,Turnover by Z. LaVine (bad pass; steal by D. Sloan),,29-34,,
