time,Minnesota,pts.away,score,pts.home,Indiana
4:01.0,G. Dieng makes free throw 2 of 2,1,95-90,,
3:49.0,,,95-92,2,R. Stuckey makes 2-pt shot from 10 ft
3:35.0,A. Wiggins makes 2-pt shot from 3 ft,2,97-92,,
3:12.0,,,97-92,,R. Stuckey misses 2-pt shot from 18 ft
3:10.0,,,97-92,,Offensive rebound by L. Scola
3:02.0,Personal foul by T. Young (drawn by L. Scola),,97-92,,
3:02.0,,,97-93,1,L. Scola makes free throw 1 of 2
3:02.0,,,97-94,1,L. Scola makes free throw 2 of 2
2:53.0,M. Williams misses 2-pt shot from 9 ft,,97-94,,
2:52.0,,,97-94,,Defensive rebound by R. Stuckey
2:45.0,,,97-94,,C. Miles misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by R. Hummel,,97-94,,
2:37.0,Minnesota full timeout,,97-94,,
2:28.0,Turnover by G. Dieng (traveling),,97-94,,
2:17.0,,,97-94,,Turnover by R. Stuckey (bad pass; steal by T. Young)
2:00.0,A. Wiggins misses 2-pt shot from 11 ft,,97-94,,
1:59.0,Offensive rebound by T. Young,,97-94,,
1:48.0,R. Hummel makes 2-pt shot from 21 ft (assist by M. Williams),2,99-94,,
1:40.0,,,99-96,2,D. West makes 2-pt shot from 15 ft (assist by C. Watson)
1:19.0,M. Williams makes 3-pt shot from 28 ft,3,102-96,,
1:09.0,,,102-98,2,C. Watson makes 2-pt shot from 1 ft (assist by D. West)
0:50.0,T. Young makes 2-pt shot from 1 ft,2,104-98,,
0:50.0,,,104-98,,Indiana full timeout
0:37.0,,,104-98,,C. Miles misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by A. Wiggins,,104-98,,
0:36.0,,,104-98,,Loose ball foul by D. West (drawn by A. Wiggins)
0:36.0,A. Wiggins makes free throw 1 of 2,1,105-98,,
0:36.0,A. Wiggins makes free throw 2 of 2,1,106-98,,
0:36.0,,,106-98,,Indiana full timeout
0:36.0,,,106-98,,C. Copeland enters the game for L. Scola
0:36.0,,,106-98,,D. Rudez enters the game for R. Stuckey
0:33.0,,,106-101,3,C. Miles makes 3-pt shot from 26 ft (assist by D. Rudez)
0:33.0,,,106-101,,Personal foul by C. Watson (drawn by M. Williams)
0:33.0,M. Williams makes free throw 1 of 2,1,107-101,,
0:33.0,,,107-101,,L. Allen enters the game for C. Copeland
0:33.0,M. Williams makes free throw 2 of 2,1,108-101,,
0:33.0,,,108-101,,Indiana full timeout
0:33.0,,,108-101,,C. Copeland enters the game for L. Allen
0:33.0,C. Budinger enters the game for G. Dieng,,108-101,,
0:33.0,Violation by C. Budinger (kicked ball),,108-101,,
0:29.0,,,108-101,,Offensive foul by D. West
0:29.0,,,108-101,,Turnover by D. West (offensive foul)
0:29.0,,,108-101,,Technical foul by D. West
0:29.0,,,108-101,,D. West ejected from game
0:29.0,,,108-101,,L. Scola enters the game for D. West
0:29.0,,,108-101,,Technical foul by Team
0:29.0,M. Williams makes technical free throw,1,109-101,,
0:29.0,M. Williams makes technical free throw,1,110-101,,
0:05.0,M. Williams misses 3-pt shot from 25 ft,,110-101,,
0:05.0,Offensive rebound by Team,,110-101,,
0:05.0,Turnover by Team (shot clock),,110-101,,
0:00.0,,,110-101,,C. Miles misses 3-pt shot from 24 ft
0:00.0,,,110-101,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
