time,New Orleans,pts.away,score,pts.home,Indiana
0:48.0,,,84-95,,D. West misses free throw 1 of 2
0:48.0,,,84-95,,Offensive rebound by Team
0:48.0,,,84-96,1,D. West makes free throw 2 of 2
0:35.0,D. Cunningham misses 2-pt shot from 19 ft,,84-96,,
0:33.0,,,84-96,,Defensive rebound by C. Miles
0:06.0,,,84-96,,R. Hibbert misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by T. Evans,,84-96,,
0:00.0,T. Evans misses 3-pt shot from 39 ft,,84-96,,
0:00.0,Offensive rebound by Team,,84-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
