time,New Orleans,pts.away,score,pts.home,Indiana
7:26.0,L. Babbitt makes 3-pt shot from 22 ft (assist by J. Holiday),3,12-7,,
7:13.0,Personal foul by A. Davis (drawn by D. West),,12-7,,
7:02.0,,,12-10,3,R. Stuckey makes 3-pt shot from 22 ft (assist by D. West)
6:49.0,J. Holiday makes 2-pt shot from 7 ft,2,14-10,,
6:35.0,,,14-10,,Shooting foul by J. Holiday (drawn by R. Stuckey)
6:35.0,,,14-10,,R. Stuckey misses free throw 1 of 2
6:35.0,,,14-10,,Offensive rebound by Team
6:35.0,A. Rivers enters the game for J. Holiday,,14-10,,
6:35.0,,,14-11,1,R. Stuckey makes free throw 2 of 2
6:19.0,A. Davis misses 2-pt shot from 18 ft,,14-11,,
6:18.0,,,14-11,,Defensive rebound by C. Watson
6:13.0,,,14-11,,Indiana full timeout
6:02.0,,,14-11,,S. Hill misses 2-pt shot from 16 ft
6:00.0,Defensive rebound by T. Evans,,14-11,,
5:43.0,O. Asik misses 2-pt shot from 2 ft (block by R. Hibbert),,14-11,,
5:43.0,Offensive rebound by Team,,14-11,,
5:43.0,,,14-11,,L. Allen enters the game for R. Hibbert
5:39.0,A. Rivers makes 2-pt shot from 8 ft (assist by L. Babbitt),2,16-11,,
5:17.0,,,16-11,,D. West misses 2-pt shot from 6 ft
5:16.0,Defensive rebound by O. Asik,,16-11,,
5:11.0,T. Evans makes 2-pt shot from 2 ft,2,18-11,,
5:00.0,,,18-11,,Turnover by D. West (offensive foul)
5:00.0,,,18-11,,Offensive foul by D. West
5:00.0,R. Anderson enters the game for O. Asik,,18-11,,
5:00.0,,,18-11,,C. Miles enters the game for S. Hill
4:46.0,T. Evans misses 2-pt shot from 2 ft (block by R. Stuckey),,18-11,,
4:46.0,,,18-11,,Defensive rebound by Team
4:31.0,,,18-13,2,D. West makes 2-pt shot from 20 ft (assist by R. Stuckey)
4:08.0,A. Rivers misses 3-pt shot from 25 ft,,18-13,,
4:06.0,,,18-13,,Defensive rebound by C. Miles
3:56.0,,,18-16,3,C. Miles makes 3-pt shot from 25 ft
3:32.0,A. Davis misses 2-pt shot from 10 ft,,18-16,,
3:30.0,,,18-16,,Defensive rebound by R. Stuckey
3:21.0,,,18-16,,C. Miles misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by T. Evans,,18-16,,
3:12.0,T. Evans makes 2-pt shot from 3 ft,2,20-16,,
3:12.0,,,20-16,,Shooting block foul by R. Stuckey (drawn by T. Evans)
3:12.0,D. Cunningham enters the game for L. Babbitt,,20-16,,
3:12.0,,,20-16,,G. Hill enters the game for C. Watson
3:12.0,T. Evans misses free throw 1 of 1,,20-16,,
3:12.0,,,20-16,,Defensive rebound by L. Allen
2:59.0,,,20-18,2,C. Miles makes 2-pt shot from 15 ft (assist by R. Stuckey)
2:40.0,Shooting foul by R. Stuckey (drawn by A. Rivers),,20-18,,
2:40.0,New Orleans full timeout,,20-18,,
2:40.0,,,20-18,,S. Hill enters the game for R. Stuckey
2:40.0,A. Rivers makes free throw 1 of 2,1,21-18,,
2:40.0,A. Rivers makes free throw 2 of 2,1,22-18,,
2:18.0,,,22-18,,C. Miles misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by T. Evans,,22-18,,
1:59.0,R. Anderson misses 3-pt shot from 26 ft,,22-18,,
1:57.0,,,22-18,,Defensive rebound by G. Hill
1:43.0,,,22-18,,S. Hill misses 2-pt shot at rim
1:41.0,Defensive rebound by T. Evans,,22-18,,
1:34.0,R. Anderson misses 3-pt shot from 26 ft,,22-18,,
1:31.0,,,22-18,,Defensive rebound by S. Hill
1:18.0,,,22-20,2,C. Miles makes 2-pt shot from 1 ft (assist by G. Hill)
1:00.0,R. Anderson misses 2-pt shot from 1 ft (block by D. West),,22-20,,
0:58.0,,,22-20,,Defensive rebound by D. West
0:53.0,,,22-22,2,D. West makes 2-pt shot at rim (assist by G. Hill)
0:39.0,A. Davis makes 2-pt shot from 10 ft,2,24-22,,
0:32.0,,,24-24,2,G. Hill makes 2-pt shot from 15 ft
0:12.0,T. Evans makes 2-pt shot at rim,2,26-24,,
0:02.0,,,26-24,,G. Hill misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by T. Evans,,26-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,26-26,2,L. Allen makes 2-pt shot from 12 ft (assist by G. Hill)
11:37.0,,,26-26,,Personal foul by S. Hill (drawn by J. Salmons)
11:27.0,R. Anderson makes 2-pt shot at rim (assist by A. Rivers),2,28-26,,
11:02.0,,,28-26,,L. Scola misses 2-pt shot from 12 ft
11:00.0,Defensive rebound by A. Ajinca,,28-26,,
10:51.0,Offensive foul by A. Ajinca,,28-26,,
10:51.0,Turnover by A. Ajinca (offensive foul),,28-26,,
10:38.0,,,28-26,,Turnover by G. Hill (bad pass; steal by J. Salmons)
10:25.0,Turnover by A. Ajinca (bad pass; steal by S. Hill),,28-26,,
10:22.0,,,28-28,2,S. Hill makes 2-pt shot at rim
10:06.0,A. Rivers misses 2-pt shot from 8 ft,,28-28,,
10:04.0,,,28-28,,Defensive rebound by L. Allen
9:52.0,,,28-28,,C. Miles misses 2-pt shot from 21 ft
9:51.0,Defensive rebound by R. Anderson,,28-28,,
9:33.0,Shooting foul by L. Scola (drawn by R. Anderson),,28-28,,
9:33.0,R. Anderson makes free throw 1 of 2,1,29-28,,
9:33.0,R. Anderson makes free throw 2 of 2,1,30-28,,
9:19.0,,,30-28,,C. Miles misses 2-pt shot at rim
9:18.0,,,30-28,,Offensive rebound by L. Scola
9:15.0,,,30-30,2,L. Scola makes 2-pt shot from 2 ft
8:59.0,A. Ajinca makes 2-pt shot from 18 ft (assist by J. Salmons),2,32-30,,
8:43.0,,,32-32,2,S. Hill makes 2-pt shot from 1 ft (assist by C. Miles)
8:25.0,Turnover by A. Rivers (offensive goaltending),,32-32,,
8:25.0,Official timeout,,32-32,,
8:10.0,,,32-34,2,G. Hill makes 2-pt shot from 8 ft (assist by L. Scola)
7:45.0,Turnover by A. Rivers (bad pass; steal by G. Hill),,32-34,,
7:38.0,,,32-36,2,L. Allen makes 2-pt shot at rim (assist by L. Scola)
7:35.0,New Orleans full timeout,,32-36,,
7:35.0,J. Holiday enters the game for A. Ajinca,,32-36,,
7:35.0,A. Davis enters the game for J. Salmons,,32-36,,
7:17.0,A. Davis makes 2-pt shot from 1 ft (assist by A. Rivers),2,34-36,,
6:51.0,,,34-36,,C. Miles misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by A. Davis,,34-36,,
6:32.0,Shooting foul by C. Miles (drawn by A. Davis),,34-36,,
6:32.0,A. Davis makes free throw 1 of 2,1,35-36,,
6:32.0,,,35-36,,R. Hibbert enters the game for L. Allen
6:32.0,,,35-36,,C. Watson enters the game for G. Hill
6:32.0,A. Davis misses free throw 2 of 2,,35-36,,
6:31.0,,,35-36,,Defensive rebound by R. Hibbert
6:13.0,,,35-36,,C. Miles misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by A. Rivers,,35-36,,
5:54.0,A. Davis misses 2-pt shot from 2 ft (block by R. Hibbert),,35-36,,
5:54.0,Offensive rebound by Team,,35-36,,
5:51.0,R. Anderson misses 3-pt shot from 25 ft,,35-36,,
5:50.0,,,35-36,,Defensive rebound by C. Watson
5:42.0,Personal foul by R. Anderson (drawn by L. Scola),,35-36,,
5:42.0,,,35-36,,R. Stuckey enters the game for C. Miles
5:42.0,T. Evans enters the game for R. Anderson,,35-36,,
5:42.0,L. Babbitt enters the game for A. Rivers,,35-36,,
5:42.0,O. Asik enters the game for D. Cunningham,,35-36,,
5:37.0,,,35-36,,L. Scola misses 2-pt shot from 22 ft
5:35.0,Defensive rebound by O. Asik,,35-36,,
5:26.0,A. Davis misses 2-pt shot from 3 ft (block by R. Hibbert),,35-36,,
5:25.0,Offensive rebound by Team,,35-36,,
5:23.0,A. Davis misses 2-pt shot from 16 ft,,35-36,,
5:22.0,,,35-36,,Defensive rebound by R. Hibbert
5:17.0,,,35-38,2,S. Hill makes 2-pt shot from 3 ft
5:04.0,Turnover by J. Holiday (bad pass; steal by L. Scola),,35-38,,
4:58.0,,,35-38,,D. West enters the game for L. Scola
4:54.0,,,35-38,,Offensive charge foul by S. Hill
4:54.0,,,35-38,,Turnover by S. Hill (offensive foul)
4:42.0,T. Evans makes 2-pt shot from 2 ft,2,37-38,,
4:25.0,,,37-40,2,C. Watson makes 2-pt shot from 18 ft
4:19.0,Turnover by T. Evans (discontinued dribble),,37-40,,
4:06.0,,,37-40,,Turnover by R. Stuckey (bad pass; steal by T. Evans)
3:58.0,L. Babbitt makes 3-pt shot from 23 ft (assist by T. Evans),3,40-40,,
3:38.0,Personal foul by O. Asik (drawn by C. Watson),,40-40,,
3:38.0,,,40-40,,Indiana full timeout
3:38.0,,,40-40,,C. Miles enters the game for S. Hill
3:29.0,,,40-40,,Turnover by D. West (bad pass; steal by T. Evans)
3:22.0,J. Holiday misses 3-pt shot from 24 ft,,40-40,,
3:21.0,,,40-40,,Defensive rebound by D. West
3:12.0,,,40-40,,C. Watson misses 3-pt shot from 23 ft
3:11.0,Defensive rebound by T. Evans,,40-40,,
2:52.0,J. Holiday misses 2-pt shot from 17 ft,,40-40,,
2:51.0,Offensive rebound by O. Asik,,40-40,,
2:50.0,,,40-40,,Personal foul by R. Hibbert (drawn by O. Asik)
2:43.0,T. Evans misses 2-pt shot from 5 ft (block by R. Hibbert),,40-40,,
2:41.0,Offensive rebound by Team,,40-40,,
2:30.0,J. Holiday misses 3-pt shot from 23 ft,,40-40,,
2:28.0,,,40-40,,Defensive rebound by D. West
2:11.0,,,40-42,2,R. Hibbert makes 2-pt shot from 6 ft
2:01.0,T. Evans misses 2-pt shot from 2 ft (block by R. Hibbert),,40-42,,
1:59.0,,,40-42,,Defensive rebound by C. Miles
1:55.0,,,40-44,2,C. Miles makes 2-pt shot at rim
1:36.0,J. Holiday misses 2-pt shot from 11 ft,,40-44,,
1:35.0,Offensive rebound by O. Asik,,40-44,,
1:31.0,O. Asik misses 2-pt shot from 3 ft (block by R. Hibbert),,40-44,,
1:30.0,Offensive rebound by J. Holiday,,40-44,,
1:14.0,L. Babbitt misses 3-pt shot from 24 ft,,40-44,,
1:13.0,,,40-44,,Defensive rebound by D. West
1:06.0,,,40-44,,D. West misses 2-pt shot from 19 ft
1:04.0,Defensive rebound by J. Holiday,,40-44,,
1:00.0,J. Holiday misses 2-pt shot from 6 ft (block by C. Miles),,40-44,,
0:58.0,Offensive rebound by Team,,40-44,,
0:58.0,,,40-44,,L. Allen enters the game for R. Hibbert
0:58.0,R. Anderson enters the game for O. Asik,,40-44,,
0:58.0,A. Rivers enters the game for J. Holiday,,40-44,,
0:47.0,R. Anderson misses 3-pt shot from 24 ft,,40-44,,
0:46.0,,,40-44,,Defensive rebound by R. Stuckey
0:42.0,Personal foul by R. Anderson (drawn by D. West),,40-44,,
0:42.0,,,40-44,,Indiana full timeout
0:42.0,,,40-44,,G. Hill enters the game for R. Stuckey
0:42.0,,,40-44,,R. Hibbert enters the game for L. Allen
0:42.0,D. Cunningham enters the game for L. Babbitt,,40-44,,
0:36.0,,,40-44,,C. Miles misses 2-pt shot from 15 ft
0:36.0,Defensive rebound by A. Davis,,40-44,,
0:22.0,A. Davis misses 2-pt shot from 8 ft,,40-44,,
0:21.0,,,40-44,,Defensive rebound by R. Hibbert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,40-44,,C. Watson misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by L. Babbitt,,40-44,,
11:30.0,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans),2,42-44,,
11:10.0,,,42-46,2,D. West makes 2-pt shot from 16 ft (assist by C. Watson)
10:48.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,44-46,,
10:22.0,,,44-48,2,R. Stuckey makes 2-pt shot from 20 ft (assist by D. West)
10:12.0,,,44-48,,Personal block foul by R. Stuckey (drawn by T. Evans)
9:56.0,J. Holiday misses 3-pt shot from 26 ft,,44-48,,
9:55.0,,,44-48,,Defensive rebound by D. West
9:46.0,,,44-50,2,S. Hill makes 2-pt shot from 1 ft (assist by R. Hibbert)
9:31.0,T. Evans makes 2-pt shot from 3 ft,2,46-50,,
9:03.0,,,46-50,,R. Hibbert misses 2-pt shot from 8 ft
9:02.0,,,46-50,,Offensive rebound by Team
8:49.0,,,46-52,2,R. Hibbert makes 2-pt shot from 18 ft (assist by D. West)
8:32.0,,,46-52,,Personal foul by C. Watson (drawn by J. Holiday)
8:28.0,J. Holiday misses 2-pt shot at rim,,46-52,,
8:26.0,Offensive rebound by O. Asik,,46-52,,
8:26.0,O. Asik makes 2-pt shot at rim,2,48-52,,
8:10.0,,,48-52,,R. Stuckey misses 2-pt shot from 12 ft
8:09.0,Defensive rebound by T. Evans,,48-52,,
8:00.0,Shooting foul by S. Hill (drawn by L. Babbitt),,48-52,,
8:00.0,L. Babbitt misses free throw 1 of 2,,48-52,,
8:00.0,Offensive rebound by Team,,48-52,,
8:00.0,,,48-52,,L. Allen enters the game for R. Hibbert
8:00.0,L. Babbitt makes free throw 2 of 2,1,49-52,,
7:47.0,,,49-52,,Turnover by D. West (bad pass; steal by T. Evans)
7:41.0,T. Evans makes 2-pt shot from 3 ft,2,51-52,,
7:23.0,,,51-55,3,S. Hill makes 3-pt shot from 25 ft (assist by C. Watson)
7:08.0,J. Holiday misses 2-pt shot from 14 ft,,51-55,,
7:07.0,,,51-55,,Defensive rebound by L. Allen
6:59.0,,,51-57,2,C. Watson makes 2-pt shot from 1 ft
6:42.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,53-57,,
6:27.0,,,53-59,2,D. West makes 2-pt shot from 19 ft (assist by C. Watson)
6:02.0,Turnover by T. Evans (bad pass; steal by R. Stuckey),,53-59,,
5:53.0,,,53-61,2,L. Allen makes 2-pt shot at rim (assist by R. Stuckey)
5:52.0,New Orleans full timeout,,53-61,,
5:52.0,R. Anderson enters the game for L. Babbitt,,53-61,,
5:52.0,D. Cunningham enters the game for O. Asik,,53-61,,
5:28.0,Turnover by Team (shot clock),,53-61,,
5:19.0,Personal foul by J. Holiday (drawn by S. Hill),,53-61,,
5:11.0,,,53-63,2,D. West makes 2-pt shot at rim (assist by L. Allen)
5:02.0,Turnover by J. Holiday (lost ball; steal by C. Watson),,53-63,,
4:58.0,,,53-65,2,C. Watson makes 2-pt shot at rim
4:42.0,Turnover by A. Davis (offensive goaltending),,53-65,,
