time,Cleveland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. A. Varejao (K. Love gains possession),,,,Jump ball: D. Favors vs. A. Varejao (K. Love gains possession)
11:43.0,L. James misses 2-pt shot from 6 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by G. Hayward
11:19.0,,,0-0,,Turnover by Team (shot clock)
11:08.0,L. James misses 2-pt shot from 1 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by Team
10:51.0,,,0-3,3,E. Kanter makes 3-pt shot from 23 ft (assist by G. Hayward)
10:36.0,Turnover by L. James (bad pass),,0-3,,
10:18.0,,,0-5,2,D. Favors makes 2-pt shot from 2 ft
9:56.0,K. Love makes 2-pt shot from 20 ft,2,2-5,,
9:46.0,,,2-5,,E. Kanter misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by K. Love,,2-5,,
9:33.0,K. Love makes 3-pt shot from 24 ft,3,5-5,,
9:09.0,,,5-5,,T. Burke misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by K. Love,,5-5,,
8:46.0,S. Marion misses 2-pt shot from 14 ft,,5-5,,
8:45.0,,,5-5,,Defensive rebound by D. Favors
8:27.0,,,5-7,2,A. Burks makes 2-pt shot from 21 ft
8:16.0,Shooting foul by T. Burke (drawn by K. Irving),,5-7,,
8:16.0,K. Irving misses free throw 1 of 2,,5-7,,
8:16.0,Offensive rebound by Team,,5-7,,
8:16.0,K. Irving makes free throw 2 of 2,1,6-7,,
7:58.0,Violation by A. Varejao (kicked ball),,6-7,,
7:51.0,,,6-10,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
7:41.0,K. Irving makes 2-pt shot from 20 ft,2,8-10,,
7:22.0,,,8-12,2,D. Favors makes 2-pt shot from 1 ft (assist by E. Kanter)
7:09.0,A. Varejao misses 2-pt shot from 17 ft,,8-12,,
7:08.0,,,8-12,,Defensive rebound by E. Kanter
7:05.0,Personal foul by S. Marion (drawn by A. Burks),,8-12,,
6:58.0,,,8-14,2,G. Hayward makes 2-pt shot from 2 ft
6:52.0,A. Varejao makes 2-pt shot from 2 ft (assist by L. James),2,10-14,,
6:39.0,,,10-14,,Shooting foul by A. Varejao (drawn by G. Hayward)
6:39.0,,,10-15,1,G. Hayward makes free throw 1 of 2
6:39.0,,,10-16,1,G. Hayward makes free throw 2 of 2
6:22.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,12-16,,
6:10.0,,,12-18,2,E. Kanter makes 2-pt shot from 16 ft (assist by D. Favors)
5:45.0,Shooting foul by E. Kanter (drawn by K. Love),,12-18,,
5:45.0,,,12-18,,Utah full timeout
5:45.0,,,12-18,,R. Hood enters the game for G. Hayward
5:45.0,K. Love makes free throw 1 of 2,1,13-18,,
5:45.0,K. Love makes free throw 2 of 2,1,14-18,,
5:27.0,,,14-20,2,E. Kanter makes 2-pt shot from 3 ft
5:13.0,K. Love misses 3-pt shot from 25 ft,,14-20,,
5:11.0,,,14-20,,Defensive rebound by R. Hood
4:59.0,,,14-22,2,E. Kanter makes 2-pt shot from 17 ft (assist by A. Burks)
4:47.0,Turnover by K. Irving (bad pass; steal by R. Hood),,14-22,,
4:42.0,,,14-22,,T. Burke misses 2-pt shot from 1 ft
4:40.0,,,14-22,,Offensive rebound by R. Hood
4:40.0,,,14-22,,R. Hood misses 2-pt shot from 2 ft
4:38.0,,,14-22,,Offensive rebound by A. Burks
4:38.0,,,14-22,,A. Burks misses 2-pt shot from 2 ft (block by S. Marion)
4:38.0,Defensive rebound by Team,,14-22,,
4:38.0,D. Waiters enters the game for S. Marion,,14-22,,
4:38.0,T. Thompson enters the game for A. Varejao,,14-22,,
4:23.0,K. Irving makes 2-pt shot from 2 ft,2,16-22,,
4:01.0,,,16-24,2,E. Kanter makes 2-pt shot from 1 ft
3:51.0,,,16-24,,Def 3 sec tech foul by D. Favors
3:51.0,K. Love makes technical free throw,1,17-24,,
3:51.0,,,17-24,,T. Booker enters the game for E. Kanter
3:45.0,Shooting foul by D. Favors (drawn by D. Waiters),,17-24,,
3:45.0,D. Waiters makes free throw 1 of 2,1,18-24,,
3:45.0,D. Waiters misses free throw 2 of 2,,18-24,,
3:43.0,,,18-24,,Defensive rebound by D. Favors
3:23.0,,,18-26,2,D. Favors makes 2-pt shot from 2 ft (assist by A. Burks)
3:15.0,Turnover by L. James (bad pass),,18-26,,
2:52.0,,,18-26,,D. Favors misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by K. Love,,18-26,,
2:51.0,,,18-26,,Personal foul by T. Burke (drawn by K. Irving)
2:51.0,Cleveland full timeout,,18-26,,
2:51.0,M. Miller enters the game for K. Irving,,18-26,,
2:51.0,,,18-26,,D. Exum enters the game for T. Burke
2:39.0,Turnover by K. Love (bad pass),,18-26,,
2:15.0,,,18-29,3,A. Burks makes 3-pt shot from 25 ft
2:01.0,L. James makes 2-pt shot from 9 ft,2,20-29,,
1:47.0,,,20-29,,T. Booker misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Miller,,20-29,,
1:39.0,D. Waiters misses 2-pt shot from 2 ft,,20-29,,
1:38.0,,,20-29,,Defensive rebound by D. Exum
1:34.0,,,20-31,2,T. Booker makes 2-pt shot from 2 ft (assist by D. Exum)
1:34.0,,,20-31,,Shooting foul by M. Miller (drawn by T. Booker)
1:34.0,,,20-31,,J. Ingles enters the game for A. Burks
1:34.0,,,20-31,,R. Gobert enters the game for D. Favors
1:34.0,,,20-31,,T. Booker misses free throw 1 of 1
1:32.0,,,20-31,,Offensive rebound by R. Hood
1:19.0,,,20-31,,R. Hood misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by K. Love,,20-31,,
1:05.0,L. James misses 2-pt shot from 19 ft,,20-31,,
1:03.0,,,20-31,,Defensive rebound by R. Hood
0:53.0,Personal foul by D. Waiters (drawn by D. Exum),,20-31,,
0:53.0,,,20-32,1,D. Exum makes free throw 1 of 2
0:53.0,A. Varejao enters the game for K. Love,,20-32,,
0:53.0,K. Irving enters the game for L. James,,20-32,,
0:53.0,,,20-32,,D. Exum misses free throw 2 of 2
0:53.0,Defensive rebound by M. Miller,,20-32,,
0:35.0,M. Miller misses 3-pt shot from 23 ft,,20-32,,
0:34.0,,,20-32,,Defensive rebound by R. Gobert
0:10.0,,,20-32,,J. Ingles misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by A. Varejao,,20-32,,
0:00.0,K. Irving makes 3-pt shot from 24 ft,3,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-34,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Exum)
11:26.0,D. Waiters makes 2-pt shot from 7 ft,2,25-34,,
11:26.0,Shooting foul by T. Booker (drawn by D. Waiters),,25-34,,
11:26.0,D. Waiters misses free throw 1 of 1,,25-34,,
11:24.0,,,25-34,,Defensive rebound by Team
11:11.0,,,25-36,2,D. Exum makes 2-pt shot at rim (assist by T. Booker)
11:00.0,K. Irving makes 2-pt shot from 2 ft,2,27-36,,
10:39.0,,,27-38,2,G. Hayward makes 2-pt shot from 2 ft (assist by D. Exum)
10:27.0,K. Irving misses 2-pt shot from 15 ft,,27-38,,
10:27.0,Offensive rebound by Team,,27-38,,
10:27.0,,,27-38,,Personal foul by D. Exum (drawn by T. Thompson)
10:20.0,D. Waiters misses 2-pt shot from 3 ft (block by R. Gobert),,27-38,,
10:19.0,Offensive rebound by Team,,27-38,,
10:05.0,K. Irving misses 3-pt shot from 23 ft,,27-38,,
10:04.0,,,27-38,,Defensive rebound by T. Booker
9:59.0,,,27-40,2,G. Hayward makes 2-pt shot from 5 ft
9:59.0,,,27-40,,Shooting foul by D. Waiters (drawn by G. Hayward)
9:59.0,Cleveland full timeout,,27-40,,
9:59.0,L. James enters the game for D. Waiters,,27-40,,
9:59.0,,,27-41,1,G. Hayward makes free throw 1 of 1
9:42.0,Turnover by A. Varejao (lost ball),,27-41,,
9:30.0,,,27-41,,Turnover by R. Gobert (offensive goaltending)
9:22.0,Shooting foul by G. Hayward (drawn by L. James),,27-41,,
9:22.0,L. James makes free throw 1 of 2,1,28-41,,
9:22.0,L. James makes free throw 2 of 2,1,29-41,,
9:03.0,,,29-43,2,G. Hayward makes 2-pt shot from 19 ft
8:47.0,A. Varejao makes 2-pt shot from 6 ft,2,31-43,,
8:24.0,,,31-43,,R. Gobert misses 2-pt shot from 2 ft (block by A. Varejao)
8:22.0,,,31-43,,Offensive rebound by T. Booker
8:18.0,,,31-43,,D. Exum misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by A. Varejao,,31-43,,
8:03.0,Turnover by L. James (traveling),,31-43,,
7:49.0,,,31-43,,G. Hayward misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by T. Thompson,,31-43,,
7:39.0,A. Varejao misses 2-pt shot from 4 ft (block by R. Gobert),,31-43,,
7:37.0,Offensive rebound by T. Thompson,,31-43,,
7:29.0,Shooting foul by J. Ingles (drawn by L. James),,31-43,,
