time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Len (T. Parker gains possession),,,,Jump ball: T. Duncan vs. A. Len (T. Parker gains possession)
11:36.0,T. Duncan makes 2-pt shot from 18 ft,2,2-0,,
11:11.0,,,2-0,,M. Morris misses 2-pt shot from 9 ft
11:10.0,Defensive rebound by T. Splitter,,2-0,,
11:01.0,T. Parker misses 2-pt shot from 9 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by M. Morris
10:54.0,,,2-0,,B. Knight misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by K. Leonard,,2-0,,
10:45.0,D. Green makes 2-pt shot from 18 ft,2,4-0,,
10:23.0,,,4-0,,M. Morris misses 2-pt shot from 2 ft
10:22.0,Defensive rebound by T. Duncan,,4-0,,
10:08.0,K. Leonard misses 2-pt shot from 12 ft,,4-0,,
10:07.0,,,4-0,,Defensive rebound by A. Len
9:59.0,,,4-0,,E. Bledsoe misses 2-pt shot from 21 ft
9:58.0,Defensive rebound by T. Duncan,,4-0,,
9:44.0,T. Splitter makes 2-pt shot from 1 ft (assist by D. Green),2,6-0,,
9:44.0,Shooting foul by P. Tucker (drawn by T. Splitter),,6-0,,
9:44.0,T. Splitter misses free throw 1 of 1,,6-0,,
9:43.0,Offensive rebound by T. Splitter,,6-0,,
9:27.0,T. Splitter makes 2-pt shot from 7 ft,2,8-0,,
9:03.0,,,8-0,,A. Len misses 2-pt shot from 1 ft (block by T. Duncan)
9:02.0,Jump ball: T. Duncan vs. A. Len (T. Splitter gains possession),,,,Jump ball: T. Duncan vs. A. Len (T. Splitter gains possession)
9:02.0,Offensive rebound by T. Duncan,,8-0,,
8:41.0,T. Parker misses 2-pt shot from 20 ft,,8-0,,
8:40.0,,,8-0,,Defensive rebound by P. Tucker
8:28.0,,,8-0,,Shooting foul by K. Leonard (drawn by E. Bledsoe)
8:28.0,,,8-1,1,E. Bledsoe makes free throw 1 of 2
8:28.0,,,8-2,1,E. Bledsoe makes free throw 2 of 2
8:09.0,T. Duncan misses 2-pt shot from 17 ft,,8-2,,
8:06.0,,,8-2,,Defensive rebound by P. Tucker
8:01.0,,,8-4,2,M. Morris makes 2-pt shot from 2 ft
8:01.0,,,8-4,,Shooting foul by T. Splitter (drawn by M. Morris)
8:01.0,,,8-5,1,M. Morris makes free throw 1 of 1
7:50.0,T. Parker misses 2-pt shot from 17 ft,,8-5,,
7:49.0,,,8-5,,Defensive rebound by P. Tucker
7:33.0,,,8-5,,Turnover by A. Len (bad pass; steal by K. Leonard)
7:29.0,Shooting foul by A. Len (drawn by D. Green),,8-5,,
7:29.0,D. Green makes free throw 1 of 2,1,9-5,,
7:29.0,D. Green makes free throw 2 of 2,1,10-5,,
7:12.0,,,10-7,2,E. Bledsoe makes 2-pt shot from 2 ft
6:50.0,T. Duncan misses 2-pt shot from 19 ft,,10-7,,
6:49.0,,,10-7,,Defensive rebound by P. Tucker
6:42.0,,,10-7,,B. Knight misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by D. Green,,10-7,,
6:25.0,K. Leonard makes 2-pt shot from 13 ft,2,12-7,,
6:05.0,,,12-7,,P. Tucker misses 2-pt shot from 5 ft (block by D. Green)
6:04.0,,,12-7,,Offensive rebound by Team
6:04.0,M. Ginobili enters the game for D. Green,,12-7,,
5:59.0,,,12-7,,E. Bledsoe misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by K. Leonard,,12-7,,
5:52.0,T. Splitter makes 2-pt shot from 1 ft (assist by M. Ginobili),2,14-7,,
5:44.0,,,14-7,,Phoenix full timeout
5:44.0,,,14-7,,G. Green enters the game for M. Morris
5:44.0,,,14-7,,B. Wright enters the game for B. Knight
5:37.0,,,14-7,,A. Len misses 2-pt shot from 15 ft
5:36.0,Defensive rebound by T. Duncan,,14-7,,
5:29.0,T. Parker misses 2-pt shot from 19 ft,,14-7,,
5:28.0,,,14-7,,Defensive rebound by A. Len
5:13.0,,,14-7,,Turnover by G. Green (bad pass)
5:13.0,B. Diaw enters the game for T. Splitter,,14-7,,
4:57.0,K. Leonard makes 2-pt shot from 8 ft,2,16-7,,
