time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Duncan (R. Rondo gains possession),,,,Jump ball: T. Chandler vs. T. Duncan (R. Rondo gains possession)
11:43.0,,,0-0,,C. Parsons misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by T. Splitter,,0-0,,
11:25.0,T. Splitter misses 2-pt shot from 2 ft (block by C. Parsons),,0-0,,
11:24.0,,,0-0,,Defensive rebound by R. Rondo
11:11.0,,,0-0,,C. Parsons misses 2-pt shot from 3 ft (block by T. Duncan)
11:10.0,Defensive rebound by K. Leonard,,0-0,,
11:05.0,K. Leonard makes 2-pt shot from 14 ft,2,2-0,,
10:43.0,,,2-2,2,M. Ellis makes 2-pt shot from 21 ft
10:16.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker),2,4-2,,
10:08.0,,,4-2,,M. Ellis misses 2-pt shot from 6 ft (block by K. Leonard)
10:06.0,Defensive rebound by T. Duncan,,4-2,,
9:59.0,K. Leonard misses 3-pt shot from 23 ft,,4-2,,
9:58.0,,,4-2,,Defensive rebound by R. Rondo
9:50.0,,,4-4,2,R. Rondo makes 2-pt shot from 1 ft
9:31.0,D. Green misses 2-pt shot from 5 ft,,4-4,,
9:30.0,,,4-4,,Defensive rebound by D. Nowitzki
9:18.0,,,4-7,3,M. Ellis makes 3-pt shot from 25 ft (assist by C. Parsons)
9:02.0,K. Leonard misses 3-pt shot from 24 ft,,4-7,,
9:01.0,,,4-7,,Defensive rebound by R. Rondo
8:55.0,,,4-9,2,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo)
8:41.0,T. Duncan makes 2-pt shot at rim (assist by T. Splitter),2,6-9,,
8:30.0,,,6-9,,D. Nowitzki misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by D. Green,,6-9,,
8:15.0,T. Splitter makes 2-pt shot from 3 ft,2,8-9,,
8:08.0,,,8-9,,Turnover by R. Rondo (bad pass; steal by D. Green)
8:03.0,D. Green makes 2-pt shot from 1 ft,2,10-9,,
7:46.0,,,10-9,,D. Nowitzki misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by D. Green,,10-9,,
7:36.0,T. Parker misses 2-pt shot from 17 ft,,10-9,,
7:34.0,,,10-9,,Defensive rebound by T. Chandler
7:27.0,,,10-9,,R. Rondo misses 2-pt shot from 18 ft
7:26.0,,,10-9,,Offensive rebound by T. Chandler
7:24.0,,,10-11,2,T. Chandler makes 2-pt shot from 5 ft
6:59.0,T. Splitter makes 2-pt shot from 4 ft,2,12-11,,
6:45.0,,,12-11,,D. Nowitzki misses 2-pt shot from 14 ft
6:44.0,Defensive rebound by D. Green,,12-11,,
6:27.0,T. Splitter makes 2-pt shot from 3 ft,2,14-11,,
6:25.0,,,14-11,,Dallas full timeout
