time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. L. Sanders (L. Scola gains possession),,,,Jump ball: R. Hibbert vs. L. Sanders (L. Scola gains possession)
11:40.0,,,0-2,2,S. Hill makes 2-pt shot from 16 ft
11:23.0,J. Parker misses 2-pt shot at rim (block by R. Hibbert),,0-2,,
11:21.0,,,0-2,,Defensive rebound by R. Hibbert
10:57.0,,,0-2,,R. Hibbert misses 2-pt shot from 16 ft
10:57.0,,,0-2,,Offensive rebound by Team
10:57.0,,,0-2,,Turnover by Team (shot clock)
10:41.0,E. Ilyasova misses 2-pt shot from 6 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by L. Scola
10:19.0,,,0-4,2,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan)
10:08.0,B. Knight misses 2-pt shot from 1 ft,,0-4,,
10:07.0,Offensive rebound by E. Ilyasova,,0-4,,
10:07.0,E. Ilyasova misses 2-pt shot at rim,,0-4,,
10:06.0,,,0-4,,Defensive rebound by L. Scola
9:49.0,,,0-4,,L. Scola misses 2-pt shot from 15 ft
9:48.0,Defensive rebound by L. Sanders,,0-4,,
9:35.0,E. Ilyasova misses 3-pt shot from 27 ft,,0-4,,
9:34.0,,,0-4,,Defensive rebound by R. Hibbert
9:22.0,,,0-6,2,R. Hibbert makes 2-pt shot from 20 ft (assist by D. Sloan)
9:01.0,Turnover by B. Knight (bad pass; steal by L. Scola),,0-6,,
8:48.0,,,0-6,,C. Miles misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by L. Sanders,,0-6,,
8:35.0,Turnover by L. Sanders (lost ball; steal by S. Hill),,0-6,,
8:31.0,,,0-6,,Shooting foul by J. Dudley (drawn by S. Hill)
8:31.0,,,0-6,,S. Hill misses free throw 1 of 2
8:31.0,,,0-6,,Offensive rebound by Team
8:31.0,,,0-7,1,S. Hill makes free throw 2 of 2
8:12.0,B. Knight makes 2-pt shot from 21 ft,2,2-7,,
7:54.0,,,2-7,,Turnover by D. Sloan (bad pass; steal by E. Ilyasova)
7:49.0,,,2-7,,Violation by L. Scola (def goaltending)
7:49.0,J. Parker makes 2-pt shot at rim (assist by B. Knight),2,4-7,,
7:31.0,,,4-7,,Shooting foul by L. Sanders (drawn by R. Hibbert)
7:31.0,,,4-7,,R. Hibbert misses free throw 1 of 2
7:31.0,,,4-7,,Offensive rebound by Team
7:31.0,,,4-8,1,R. Hibbert makes free throw 2 of 2
7:18.0,L. Sanders misses 2-pt shot at rim (block by C. Miles),,4-8,,
7:16.0,,,4-8,,Defensive rebound by D. Sloan
7:11.0,,,4-8,,Offensive charge foul by L. Scola
7:11.0,,,4-8,,Turnover by L. Scola (offensive foul)
7:01.0,,,4-8,,Personal block foul by R. Hibbert (drawn by B. Knight)
6:56.0,B. Knight makes 2-pt shot from 11 ft,2,6-8,,
6:34.0,,,6-8,,D. Sloan misses 3-pt shot from 27 ft
6:34.0,Defensive rebound by L. Sanders,,6-8,,
6:25.0,B. Knight misses 2-pt shot from 1 ft (block by R. Hibbert),,6-8,,
6:24.0,,,6-8,,Defensive rebound by L. Scola
6:16.0,,,6-8,,R. Hibbert misses 2-pt shot at rim (block by L. Sanders)
6:15.0,Defensive rebound by B. Knight,,6-8,,
6:08.0,B. Knight makes 2-pt shot at rim,2,8-8,,
6:00.0,,,8-8,,Indiana full timeout
