time,Golden State,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (S. Curry gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (S. Curry gains possession)
11:37.0,Turnover by A. Bogut (lost ball; steal by M. Plumlee),,0-0,,
11:13.0,,,0-2,2,A. Anderson makes 2-pt shot from 7 ft
10:53.0,Shooting foul by M. Brown (drawn by D. Green),,0-2,,
10:53.0,D. Green misses free throw 1 of 2,,0-2,,
10:53.0,Offensive rebound by Team,,0-2,,
10:53.0,D. Green makes free throw 2 of 2,1,1-2,,
10:40.0,Personal foul by D. Green (drawn by J. Johnson),,1-2,,
10:32.0,,,1-2,,M. Brown misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by A. Bogut,,1-2,,
10:17.0,H. Barnes misses 2-pt shot from 1 ft,,1-2,,
10:16.0,Offensive rebound by A. Bogut,,1-2,,
10:14.0,A. Bogut makes 2-pt shot at rim,2,3-2,,
9:55.0,,,3-4,2,J. Johnson makes 2-pt shot from 8 ft
9:48.0,Turnover by S. Curry (lost ball; steal by M. Plumlee),,3-4,,
9:44.0,,,3-6,2,M. Plumlee makes 2-pt shot at rim
9:26.0,H. Barnes misses 2-pt shot from 13 ft,,3-6,,
9:25.0,Offensive rebound by A. Bogut,,3-6,,
9:22.0,A. Bogut misses 2-pt shot from 5 ft,,3-6,,
9:21.0,,,3-6,,Defensive rebound by J. Johnson
9:14.0,,,3-6,,Turnover by D. Williams (lost ball; steal by H. Barnes)
8:55.0,K. Thompson misses 2-pt shot from 15 ft,,3-6,,
8:54.0,Offensive rebound by A. Bogut,,3-6,,
8:52.0,A. Bogut makes 2-pt shot from 2 ft,2,5-6,,
8:34.0,,,5-6,,J. Johnson misses 2-pt shot from 14 ft
8:33.0,Defensive rebound by K. Thompson,,5-6,,
8:23.0,K. Thompson misses 2-pt shot from 21 ft,,5-6,,
8:22.0,Offensive rebound by H. Barnes,,5-6,,
8:15.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,7-6,,
8:11.0,,,7-6,,Brooklyn full timeout
8:02.0,,,7-6,,M. Plumlee misses 2-pt shot from 2 ft (block by A. Bogut)
8:01.0,,,7-6,,Offensive rebound by M. Brown
8:00.0,,,7-8,2,M. Brown makes 2-pt shot from 3 ft
7:35.0,A. Bogut makes 2-pt shot from 7 ft (assist by S. Curry),2,9-8,,
7:22.0,,,9-10,2,D. Williams makes 2-pt shot from 12 ft
7:12.0,Turnover by S. Curry (bad pass),,9-10,,
7:12.0,,,9-10,,B. Lopez enters the game for M. Plumlee
6:59.0,,,9-12,2,A. Anderson makes 2-pt shot from 4 ft
6:45.0,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry),2,11-12,,
6:26.0,,,11-14,2,B. Lopez makes 2-pt shot from 13 ft (assist by D. Williams)
6:15.0,S. Curry misses 3-pt shot from 23 ft,,11-14,,
6:14.0,,,11-14,,Defensive rebound by Team
6:02.0,,,11-14,,Turnover by D. Williams (lost ball; steal by D. Green)
