time,Atlanta,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. D. Howard (P. Beverley gains possession),,,,Jump ball: A. Horford vs. D. Howard (P. Beverley gains possession)
11:41.0,,,0-2,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden)
11:22.0,D. Carroll misses 2-pt shot from 5 ft (block by D. Motiejunas),,0-2,,
11:20.0,,,0-2,,Defensive rebound by J. Harden
10:59.0,,,0-2,,Turnover by P. Beverley (traveling)
10:50.0,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder),2,2-2,,
10:35.0,,,2-2,,T. Ariza misses 3-pt shot from 24 ft
10:34.0,,,2-2,,Offensive rebound by D. Howard
10:30.0,,,2-5,3,P. Beverley makes 3-pt shot from 23 ft (assist by D. Howard)
10:11.0,P. Millsap makes 2-pt shot from 10 ft,2,4-5,,
10:11.0,Shooting foul by D. Howard (drawn by P. Millsap),,4-5,,
10:11.0,P. Millsap makes free throw 1 of 1,1,5-5,,
10:11.0,,,5-5,,Violation by D. Howard (def goaltending)
9:50.0,,,5-5,,Turnover by P. Beverley (bad pass; steal by P. Millsap)
9:36.0,D. Carroll makes 3-pt shot from 23 ft (assist by A. Horford),3,8-5,,
9:23.0,,,8-5,,Shooting foul by P. Millsap (drawn by D. Howard)
9:23.0,,,8-6,1,D. Howard makes free throw 1 of 2
9:23.0,,,8-7,1,D. Howard makes free throw 2 of 2
9:11.0,D. Schroder misses 2-pt shot from 8 ft,,8-7,,
9:09.0,Offensive rebound by A. Horford,,8-7,,
9:06.0,D. Carroll makes 3-pt shot from 24 ft (assist by A. Horford),3,11-7,,
8:48.0,,,11-10,3,P. Beverley makes 3-pt shot from 23 ft (assist by D. Howard)
8:35.0,A. Horford makes 2-pt shot from 11 ft,2,13-10,,
8:16.0,,,13-12,2,D. Motiejunas makes 2-pt shot from 5 ft
8:05.0,P. Millsap misses 2-pt shot from 16 ft,,13-12,,
8:03.0,,,13-12,,Defensive rebound by D. Howard
7:55.0,,,13-12,,T. Ariza misses 2-pt shot from 4 ft (block by A. Horford)
7:54.0,Defensive rebound by A. Horford,,13-12,,
7:49.0,D. Carroll misses 2-pt shot from 2 ft,,13-12,,
7:48.0,,,13-12,,Defensive rebound by D. Motiejunas
7:35.0,,,13-12,,Turnover by J. Harden (bad pass; steal by P. Millsap)
7:30.0,Offensive foul by P. Millsap,,13-12,,
7:30.0,Turnover by P. Millsap (offensive foul),,13-12,,
7:30.0,M. Scott enters the game for P. Millsap,,13-12,,
7:20.0,,,13-14,2,D. Howard makes 2-pt shot at rim (assist by P. Beverley)
7:02.0,D. Schroder misses 2-pt shot from 4 ft (block by J. Harden),,13-14,,
7:01.0,,,13-14,,Defensive rebound by D. Howard
6:56.0,,,13-16,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
6:56.0,Atlanta full timeout,,13-16,,
6:36.0,M. Scott makes 2-pt shot from 1 ft (assist by K. Korver),2,15-16,,
6:19.0,,,15-16,,D. Motiejunas misses 3-pt shot from 23 ft
6:18.0,,,15-16,,Offensive rebound by D. Motiejunas
6:11.0,,,15-16,,P. Beverley misses 2-pt shot from 2 ft (block by A. Horford)
6:08.0,,,15-16,,Offensive rebound by P. Beverley
6:01.0,,,15-19,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
5:40.0,A. Horford misses 2-pt shot from 13 ft,,15-19,,
5:39.0,,,15-19,,Defensive rebound by J. Harden
5:20.0,,,15-19,,T. Ariza misses 3-pt shot from 22 ft
5:19.0,Defensive rebound by D. Schroder,,15-19,,
5:11.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,18-19,,
4:52.0,,,18-19,,J. Harden misses 2-pt shot from 19 ft
4:50.0,Defensive rebound by D. Schroder,,18-19,,
4:42.0,D. Schroder makes 2-pt shot from 1 ft,2,20-19,,
4:16.0,,,20-21,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by D. Howard)
4:04.0,Turnover by D. Schroder (lost ball),,20-21,,
4:04.0,P. Antic enters the game for D. Carroll,,20-21,,
4:04.0,T. Sefolosha enters the game for A. Horford,,20-21,,
4:04.0,,,20-21,,K. Papanikolaou enters the game for D. Motiejunas
4:04.0,,,20-21,,J. Terry enters the game for P. Beverley
3:54.0,Shooting block foul by P. Antic (drawn by J. Harden),,20-21,,
3:54.0,,,20-22,1,J. Harden makes free throw 1 of 2
3:54.0,S. Mack enters the game for D. Schroder,,20-22,,
3:54.0,,,20-23,1,J. Harden makes free throw 2 of 2
3:31.0,M. Scott misses 3-pt shot from 25 ft,,20-23,,
3:30.0,,,20-23,,Defensive rebound by J. Terry
3:25.0,,,20-23,,Turnover by J. Harden (lost ball; steal by T. Sefolosha)
3:13.0,S. Mack misses 3-pt shot from 25 ft,,20-23,,
3:12.0,,,20-23,,Defensive rebound by J. Harden
3:08.0,,,20-23,,Turnover by J. Terry (palming)
